期間,合計_原始值,合計_年增率(%),合計_原始值,合計_年增率(%),合計_原始值,合計_年增率(%),公司債_原始值,公司債_年增率(%),公司債_原始值,公司債_年增率(%),公司債_原始值,公司債_年增率(%),金融債券_原始值,金融債券_年增率(%),金融債券_原始值,金融債券_年增率(%),金融債券_原始值,金融債券_年增率(%)
1998M02,"9,941",80.75,"8,465",...,"407,534",55.20,"3,750",-31.82,"8,163",307.95,"333,592",27.52,"6,191",--,302,...,"73,942","7,294.20"
1998M03,"15,541",76.84,"11,233",-23.31,"411,842",21.42,"5,620",-24.56,"4,703",261.77,"334,509",24.94,"9,921",641.48,"6,530",-51.08,"77,333",8.23
1998M04,"16,650",57.31,"9,259",63.62,"419,233",25.51,"11,250",23.90,"1,064",-56.34,"344,695",25.63,"5,400",259.04,"8,195",154.35,"74,538",24.95
1998M05,"29,454",114.99,"4,738",22.94,"443,949",29.39,"25,400",179.12,"2,763",17.77,"367,332",30.66,"4,054",-11.87,"1,975",30.97,"76,617",23.65
1998M06,"35,247",47.66,"5,101",-49.12,"474,095",32.78,"33,320",68.79,"3,179",-63.48,"397,473",36.04,"1,927",-53.35,"1,922",45.72,"76,622",18.09
1998M07,"24,523",62.65,"4,374",-15.46,"494,245",35.07,"23,000",72.03,"2,441",-50.85,"418,032",39.08,"1,523",-10.78,"1,933",829.33,"76,213",16.62
1998M08,"33,540",100.84,656,-71.64,"527,128",38.24,"24,600",47.31,325,-85.61,"442,307",40.41,"8,940",--,331,512.96,"84,821",27.92
1998M09,"14,600",141.60,"2,020",51.20,"539,708",40.54,"8,600",104.76,673,-48.86,"450,234",41.63,"6,000",225.56,"1,347","6,635.00","89,474",35.30
1998M10,"33,650",416.90,"2,498",-74.55,"570,860",49.55,"29,150",559.50,"1,537",-45.88,"477,847",49.57,"4,500",115.31,961,-86.23,"93,013",49.44
1998M11,"10,720",36.80,"3,305",-67.68,"578,276",49.69,"10,720",181.36,"3,217",149.38,"485,350",50.73,0,-100.00,88,-99.02,"92,926",44.49
1998M12,"42,250",209.12,"9,171",16.10,"611,355",55.93,"41,750",454.45,"8,165",29.54,"518,935",60.55,500,-91.85,"1,006",-36.97,"92,420",34.23
1999M01,"18,150",1.95,"2,246",-41.30,"627,259",54.48,"17,850",2.59,"2,242",-14.53,"534,543",58.15,300,-25.37,4,-99.67,"92,716",36.24
1999M02,"5,000",-49.70,"3,585",-57.65,"610,674",49.85,"4,800",28.00,"2,125",-73.97,"519,218",55.64,200,-96.77,"1,460",383.44,"91,456",23.69
1999M03,"16,550",6.49,"4,421",-60.64,"640,803",55.59,"6,000",6.76,"4,391",-6.63,"538,827",61.08,"10,550",6.34,30,-99.54,"101,976",31.87
1999M04,50,-99.70,"3,165",-65.82,"637,687",52.11,0,-100.00,"3,129",194.08,"535,698",55.41,50,-99.07,36,-99.56,"101,989",36.83
1999M05,"24,950",-15.29,"9,191",93.98,"653,446",47.19,"24,900",-1.97,"3,676",33.04,"556,922",51.61,50,-98.77,"5,515",179.24,"96,524",25.98
1999M06,"18,870",-46.46,"13,077",156.36,"659,239",39.05,"18,000",-45.98,"10,267",222.96,"564,655",42.06,870,-54.85,"2,810",46.20,"94,584",23.44
1999M07,"41,119",67.68,"17,850",308.09,"682,508",38.09,"19,840",-13.74,"15,872",550.23,"568,623",36.02,"21,279","1,297.18","1,978",2.33,"113,885",49.43
1999M08,"6,371",-81.00,"3,406",419.21,"685,473",30.04,"5,550",-77.44,"2,483",664.00,"571,690",29.25,821,-90.82,923,178.85,"113,783",34.14
1999M09,"8,550",-41.44,"5,467",170.64,"688,556",27.58,"8,470",-1.51,"1,563",132.24,"578,597",28.51,80,-98.67,"3,904",189.83,"109,959",22.89
1999M10,"21,450",-36.26,"7,092",183.91,"702,914",23.13,"21,400",-26.59,"4,638",201.76,"595,359",24.59,50,-98.89,"2,454",155.36,"107,555",15.63
1999M11,"10,130",-5.50,"8,365",153.10,"704,679",21.86,"8,550",-20.24,"3,216",-0.03,"600,693",23.76,"1,580",--,"5,149","5,751.14","103,986",11.90
1999M12,"2,250",-94.67,"18,984",107.00,"687,945",12.53,"2,150",-94.85,"12,694",55.47,"590,149",13.72,100,-80.00,"6,290",525.25,"97,796",5.82
2000M01,"29,574",62.94,"6,508",189.76,"711,011",13.35,"29,274",64.00,"4,613",105.75,"614,810",15.02,300,0.00,"1,895","47,275.00","96,201",3.76
2000M02,"2,125",-57.50,"8,928",149.04,"704,208",15.32,"2,075",-56.77,"3,545",66.82,"613,340",18.13,50,-75.00,"5,383",268.70,"90,868",-0.64
2000M03,"8,070",-51.24,"13,114",196.63,"699,164",9.11,0,-100.00,"3,805",-13.35,"609,535",13.12,"8,070",-23.51,"9,309","30,930.00","89,629",-12.11
2000M04,"25,790","51,480.00","11,836",273.97,"713,118",11.83,"22,240",--,"3,482",11.28,"628,293",17.28,"3,550","7,000.00","8,354","23,105.56","84,825",-16.83
2000M05,"10,350",-58.52,"6,846",-25.51,"716,623",9.67,"7,300",-70.68,"5,525",50.30,"630,068",13.13,"3,050","6,000.00","1,321",-76.05,"86,555",-10.33
2000M06,"41,220",118.44,"14,197",8.56,"743,646",12.80,"41,170",128.72,"11,404",11.07,"659,834",16.86,50,-94.25,"2,793",-0.60,"83,812",-11.39
2000M07,"20,605",-49.89,"9,825",-44.96,"754,425",10.54,"20,555",3.60,"7,127",-55.10,"673,262",18.40,50,-99.77,"2,698",36.40,"81,163",-28.73
2000M08,"14,200",122.88,"9,493",178.71,"759,133",10.75,"9,100",63.96,"1,211",-51.23,"681,151",19.15,"5,100",521.19,"8,282",797.29,"77,982",-31.46
2000M09,"4,030",-52.87,"6,541",19.65,"756,622",9.89,"3,930",-53.60,505,-67.69,"684,576",18.32,100,25.00,"6,036",54.61,"72,046",-34.48
2000M10,"14,380",-32.96,"7,841",10.56,"763,161",8.57,"6,480",-69.72,"2,825",-39.09,"688,231",15.60,"7,900","15,700.00","5,016",104.40,"74,930",-30.33
2000M11,"18,286",80.51,"3,720",-55.53,"777,727",10.37,"9,780",14.39,"3,105",-3.45,"694,906",15.68,"8,506",438.35,615,-88.06,"82,821",-20.35
2000M12,"38,710","1,620.44","17,465",-8.00,"798,972",16.14,"29,340","1,264.65","16,942",33.46,"707,304",19.85,"9,370","9,270.00",523,-91.69,"91,668",-6.27
2001M01,"7,530",-74.54,"6,653",2.23,"799,850",12.49,"3,990",-86.37,"6,386",38.43,"704,908",14.65,"3,540","1,080.00",267,-85.91,"94,942",-1.31
2001M02,"18,150",754.12,"2,687",-69.90,"815,313",15.78,"15,450",644.58,"2,440",-31.17,"717,918",17.05,"2,700","5,300.00",247,-95.41,"97,395",7.18
2001M03,"2,900",-64.06,"4,869",-62.87,"813,344",16.33,550,--,"3,331",-12.46,"715,137",17.33,"2,350",-70.88,"1,538",-83.48,"98,207",9.57
2001M04,"16,680",-35.32,"3,392",-71.34,"826,632",15.92,"15,000",-32.55,"3,283",-5.72,"726,854",15.69,"1,680",-52.68,109,-98.70,"99,778",17.63
2001M05,"26,200",153.14,"7,169",4.72,"845,664",18.01,"18,900",158.90,"7,125",28.96,"738,629",17.23,"7,300",139.34,44,-96.67,"107,035",23.66
2001M06,"30,550",-25.89,"18,624",31.18,"857,590",15.32,"29,050",-29.44,"15,965",39.99,"751,714",13.92,"1,500","2,900.00","2,659",-4.80,"105,876",26.33
2001M07,"32,850",59.43,"9,680",-1.48,"880,759",16.75,"29,750",44.73,"9,594",34.61,"771,870",14.65,"3,100","6,100.00",86,-96.81,"108,889",34.16
2001M08,"36,650",158.10,"3,032",-68.06,"914,377",20.45,"19,500",114.29,"2,958",144.26,"788,412",15.75,"17,150",236.27,74,-99.11,"125,965",61.53
2001M09,"23,850",491.81,"2,991",-54.27,"935,237",23.61,"2,600",-33.84,"2,933",480.79,"788,079",15.12,"21,250","21,150.00",58,-99.04,"147,158",104.26
2001M10,"24,710",71.84,"9,631",22.83,"950,316",24.52,"15,650",141.51,"8,187",189.81,"795,542",15.59,"9,060",14.68,"1,444",-71.21,"154,774",106.56
2001M11,"58,159",218.05,"5,990",61.02,"1,002,485",28.90,"27,700",183.23,"4,596",48.02,"818,646",17.81,"30,459",258.09,"1,394",126.67,"183,839",121.97
2001M12,"38,809",0.26,"30,161",72.69,"1,011,133",26.55,"19,909",-32.14,"30,033",77.27,"808,522",14.31,"18,900",101.71,128,-75.53,"202,611",121.03
2002M01,"39,220",420.85,"1,733",-73.95,"1,048,620",31.10,"29,000",626.82,"1,380",-78.39,"836,142",18.62,"10,220",188.70,353,32.21,"212,478",123.80
2002M02,"15,242",-16.02,"2,989",11.24,"1,060,873",30.12,"8,702",-43.68,"2,931",20.12,"841,913",17.27,"6,540",142.22,58,-76.52,"218,960",124.82
2002M03,"36,150","1,146.55","15,104",210.21,"1,081,920",33.02,"10,100","1,736.36","6,327",89.94,"845,686",18.26,"26,050","1,008.51","8,777",470.68,"236,234",140.55
2002M04,"33,854",102.96,"8,237",142.84,"1,107,537",33.98,"21,804",45.36,"4,523",37.77,"862,967",18.73,"12,050",617.26,"3,714","3,307.34","244,570",145.11
2002M05,"50,150",91.41,"8,426",17.53,"1,149,261",35.90,"32,500",71.96,"5,265",-26.11,"890,202",20.52,"17,650",141.78,"3,161","7,084.09","259,059",142.03
2002M06,"30,035",-1.69,"9,346",-49.82,"1,169,950",36.42,"10,785",-62.87,"8,481",-46.88,"892,506",18.73,"19,250","1,183.33",865,-67.47,"277,444",162.05
2002M07,"65,400",99.09,"13,266",37.05,"1,222,084",38.75,"32,750",10.08,"13,148",37.04,"912,108",18.17,"32,650",953.23,118,37.21,"309,976",184.67
2002M08,"31,630",-13.70,"21,140",597.23,"1,232,574",34.80,"21,130",8.36,"15,962",439.62,"917,276",16.34,"10,500",-38.78,"5,178","6,897.30","315,298",150.31
2002M09,"54,555",128.74,"5,144",71.98,"1,281,985",37.08,"26,755",929.04,"5,026",71.36,"939,005",19.15,"27,800",30.82,118,103.45,"342,980",133.07
2002M10,"41,457",67.77,"14,049",45.87,"1,309,393",37.79,"14,704",-6.04,"6,260",-23.54,"947,449",19.09,"26,753",195.29,"7,789",439.40,"361,944",133.85
2002M11,"30,080",-48.28,"15,229",154.24,"1,324,244",32.10,"17,130",-38.16,"8,303",80.66,"956,276",16.81,"12,950",-57.48,"6,926",396.84,"367,968",100.16
2002M12,"72,005",85.54,"11,709",-61.18,"1,384,540",36.93,"60,405",203.41,"9,444",-68.55,"1,007,237",24.58,"11,600",-38.62,"2,265","1,669.53","377,303",86.22
2003M01,"20,150",-48.62,"4,944",185.29,"1,399,746",33.48,"10,250",-64.66,"2,010",45.65,"1,015,477",21.45,"9,900",-3.13,"2,934",731.16,"384,269",80.85
2003M02,"15,770",3.46,"5,972",99.80,"1,409,544",32.87,"1,900",-78.17,"5,415",84.75,"1,011,962",20.20,"13,870",112.08,557,860.34,"397,582",81.58
2003M03,"3,970",-89.02,"4,996",-66.92,"1,408,518",30.19,"2,470",-75.54,"1,457",-76.97,"1,012,975",19.78,"1,500",-94.24,"3,539",-59.68,"395,543",67.44
2003M04,"25,330",-25.18,"3,911",-52.52,"1,429,937",29.11,"21,980",0.81,"3,380",-25.27,"1,031,575",19.54,"3,350",-72.20,531,-85.70,"398,362",62.88
2003M05,"44,460",-11.35,"12,777",51.64,"1,461,620",27.18,"29,510",-9.20,"12,503",137.47,"1,048,582",17.79,"14,950",-15.30,274,-91.33,"413,038",59.44
2003M06,"79,420",164.42,"21,279",127.68,"1,519,761",29.90,"67,520",526.05,"20,779",145.01,"1,095,323",22.72,"11,900",-38.18,500,-42.20,"424,438",52.98
2003M07,"30,450",-53.44,"11,088",-16.42,"1,539,123",25.94,"23,950",-26.87,"10,935",-16.83,"1,108,338",21.51,"6,500",-80.09,153,29.66,"430,785",38.97
2003M08,"34,390",8.73,"5,191",-75.44,"1,568,322",27.24,"27,940",32.23,"4,986",-68.76,"1,131,292",23.33,"6,450",-38.57,205,-96.04,"437,030",38.61
2003M09,"50,976",-6.56,"6,419",24.79,"1,612,879",25.81,"23,570",-11.90,"5,213",3.72,"1,149,649",22.43,"27,406",-1.42,"1,206",922.03,"463,230",35.06
2003M10,"43,386",4.65,"7,803",-44.46,"1,648,462",25.90,"18,230",23.98,"7,602",21.44,"1,160,277",22.46,"25,156",-5.97,201,-97.42,"488,185",34.88
2003M11,"28,908",-3.90,"15,024",-1.35,"1,662,346",25.53,"5,070",-70.40,"12,968",56.18,"1,152,379",20.51,"23,838",84.08,"2,056",-70.31,"509,967",38.59
2003M12,"84,149",16.87,"28,354",142.16,"1,718,140",24.09,"46,490",-23.04,"21,955",132.48,"1,176,914",16.85,"37,659",224.65,"6,399",182.52,"541,226",43.45
2004M01,"20,388",1.18,"18,939",283.07,"1,719,589",22.85,"13,000",26.83,"18,224",806.67,"1,171,690",15.38,"7,388",-25.37,715,-75.63,"547,899",42.58
2004M02,"29,392",86.38,"14,543",143.52,"1,734,438",23.05,"19,892",946.95,"12,664",133.87,"1,178,918",16.50,"9,500",-31.51,"1,879",237.34,"555,520",39.72
2004M03,"56,980","1,335.26","17,605",252.38,"1,773,813",25.93,"7,580",206.88,"14,656",905.90,"1,171,842",15.68,"49,400","3,193.33","2,949",-16.67,"601,971",52.19
2004M04,"37,211",46.90,"6,351",62.39,"1,804,674",26.21,"28,811",31.08,"4,918",45.50,"1,195,735",15.91,"8,400",150.75,"1,433",169.87,"608,939",52.86
2004M05,"47,870",7.67,"19,551",53.02,"1,832,993",25.41,"31,370",6.30,"18,132",45.02,"1,208,973",15.30,"16,500",10.37,"1,419",417.88,"624,020",51.08
2004M06,"58,507",-26.33,"54,531",156.27,"1,836,969",20.87,"45,657",-32.38,"51,006",145.47,"1,203,624",9.89,"12,850",7.98,"3,525",605.00,"633,345",49.22
2004M07,"54,439",78.78,"37,629",239.37,"1,853,779",20.44,"35,196",46.96,"12,532",14.60,"1,226,288",10.64,"19,243",196.05,"25,097","16,303.27","627,491",45.66
2004M08,"33,589",-2.33,"23,457",351.88,"1,863,911",18.85,"18,052",-35.39,"21,472",330.65,"1,222,868",8.09,"15,537",140.88,"1,985",868.29,"641,043",46.68
2004M09,"23,198",-54.49,"20,029",212.03,"1,867,080",15.76,"9,635",-59.12,"14,951",186.80,"1,217,552",5.91,"13,563",-50.51,"5,078",321.06,"649,528",40.22
2004M10,"31,976",-26.30,"8,980",15.08,"1,890,076",14.66,"8,976",-50.76,"8,652",13.81,"1,217,876",4.96,"23,000",-8.57,328,63.18,"672,200",37.69
2004M11,"18,159",-37.18,"12,527",-16.62,"1,895,708",14.04,"8,229",62.31,"8,007",-38.26,"1,218,098",5.70,"9,930",-58.34,"4,520",119.84,"677,610",32.87
2004M12,"38,007",-54.83,"9,070",-68.01,"1,924,645",12.02,"5,050",-89.14,"7,554",-65.59,"1,215,594",3.29,"32,957",-12.49,"1,516",-76.31,"709,051",31.01
2005M01,"19,900",-2.39,"12,155",-35.82,"1,932,391",12.38,"3,600",-72.31,"9,842",-45.99,"1,209,352",3.21,"16,300",120.63,"2,313",223.50,"723,039",31.97
2005M02,"5,648",-80.78,"6,603",-54.60,"1,931,435",11.36,148,-99.26,"5,255",-58.50,"1,204,245",2.15,"5,500",-42.11,"1,348",-28.26,"727,190",30.90
2005M03,"18,608",-67.34,"11,855",-32.66,"1,938,189",9.27,"11,900",56.99,"8,835",-39.72,"1,207,310",3.03,"6,708",-86.42,"3,020",2.41,"730,879",21.41
2005M04,"26,162",-29.69,"11,690",84.07,"1,952,660",8.20,"19,870",-31.03,"10,395",111.37,"1,216,785",1.76,"6,292",-25.10,"1,295",-9.63,"735,875",20.85
2005M05,"19,532",-59.20,"28,206",44.27,"1,943,985",6.06,"5,859",-81.32,"21,393",17.98,"1,201,251",-0.64,"13,673",-17.13,"6,813",380.13,"742,734",19.02
2005M06,"63,694",8.87,"17,778",-67.40,"1,989,901",8.33,"26,300",-42.40,"16,377",-67.89,"1,211,174",0.63,"37,394",191.00,"1,401",-60.26,"778,727",22.95
2005M07,"26,700",-50.95,"37,188",-1.17,"1,979,414",6.78,"22,200",-36.92,"36,434",190.73,"1,196,940",-2.39,"4,500",-76.61,754,-97.00,"782,474",24.70
2005M08,"23,943",-28.72,"28,617",22.00,"1,974,740",5.95,"20,943",16.01,"27,393",27.58,"1,190,490",-2.65,"3,000",-80.69,"1,224",-38.34,"784,250",22.34
2005M09,"42,826",84.61,"15,755",-21.34,"2,001,811",7.22,"42,826",344.48,"15,711",5.08,"1,217,605",0.00,...,...,44,-99.13,"784,206",20.73
2005M10,"16,651",-47.93,"26,126",190.94,"1,992,336",5.41,"9,251",3.06,"19,634",126.93,"1,207,222",-0.87,"7,400",-67.83,"6,492","1,879.27","785,114",16.80
2005M11,"19,578",7.81,"25,873",106.54,"1,986,041",4.77,"5,050",-38.63,"24,094",200.91,"1,188,178",-2.46,"14,528",46.30,"1,779",-60.64,"797,863",17.75
2005M12,"51,949",36.68,"34,875",284.51,"2,003,115",4.08,"36,000",612.87,"32,255",326.99,"1,191,923",-1.95,"15,949",-51.61,"2,620",72.82,"811,192",14.41
2006M01,"10,420",-47.64,"6,003",-50.61,"2,007,533",3.89,"6,700",86.11,"5,322",-45.93,"1,193,301",-1.33,"3,720",-77.18,681,-70.56,"814,232",12.61
2006M02,"6,100",8.00,"22,925",247.19,"1,990,707",3.07,"1,100",643.24,"22,261",323.62,"1,172,140",-2.67,"5,000",-9.09,664,-50.74,"818,567",12.57
2006M03,"12,000",-35.51,"15,228",28.45,"1,987,479",2.54,"5,000",-57.98,"12,091",36.85,"1,165,049",-3.50,"7,000",4.35,"3,137",3.87,"822,430",12.53
2006M04,"29,340",12.15,"17,306",48.04,"1,999,514",2.40,"6,700",-66.28,"17,194",65.41,"1,154,555",-5.11,"22,640",259.82,112,-91.35,"844,959",14.82
2006M05,"29,510",51.09,"29,973",6.26,"1,999,050",2.83,"13,000",121.88,"26,202",22.48,"1,141,353",-4.99,"16,510",20.75,"3,771",-44.65,"857,697",15.48
2006M06,"30,720",-51.77,"37,077",108.56,"1,992,693",0.14,"14,100",-46.39,"35,768",118.40,"1,119,685",-7.55,"16,620",-55.55,"1,309",-6.57,"873,008",12.11
2006M07,"18,320",-31.39,"31,046",-16.52,"1,979,967",0.03,"15,130",-31.85,"30,867",-15.28,"1,103,948",-7.77,"3,190",-29.11,179,-76.26,"876,019",11.96
2006M08,"29,000",21.12,"24,197",-15.45,"1,984,770",0.51,"23,000",9.82,"13,545",-50.55,"1,113,403",-6.48,"6,000",100.00,"10,652",770.26,"871,367",11.11
2006M09,"16,400",-61.71,"32,928",109.00,"1,968,241",-1.68,"13,300",-68.94,"20,825",32.55,"1,105,878",-9.18,"3,100",...,"12,103","27,406.82","862,363",9.97
2006M10,"39,649",138.12,"17,474",-33.12,"1,990,416",-0.10,"25,600",176.73,"15,890",-19.07,"1,115,588",-7.59,"14,049",89.85,"1,584",-75.60,"874,828",11.43
2006M11,"82,557",321.68,"34,056",31.63,"2,038,917",2.66,"58,400","1,056.44","27,598",14.54,"1,146,390",-3.52,"24,157",66.28,"6,458",263.01,"892,527",11.86
2006M12,"98,570",89.74,"60,124",72.40,"2,077,363",3.71,"48,100",33.61,"43,042",33.44,"1,151,448",-3.40,"50,470",216.45,"17,082",551.98,"925,915",14.14
2007M01,"5,430",-47.89,"23,935",298.72,"2,058,858",2.56,"5,430",-18.96,"21,835",310.28,"1,135,043",-4.88,...,...,"2,100",208.37,"923,815",13.46
2007M02,"15,600",155.74,"7,879",-65.63,"2,066,579",3.81,"8,400",663.64,"6,994",-68.58,"1,136,449",-3.04,"7,200",44.00,885,33.28,"930,130",13.63
2007M03,"30,900",157.50,"21,153",38.91,"2,076,326",4.47,"6,700",34.00,"8,837",-26.91,"1,134,312",-2.64,"24,200",245.71,"12,316",292.60,"942,014",14.54
2007M04,"14,240",-51.47,"32,378",87.09,"2,058,188",2.93,"10,340",54.33,"21,233",23.49,"1,123,419",-2.70,"3,900",-82.77,"11,145","9,850.89","934,769",10.63
2007M05,"10,700",-63.74,"26,688",-10.96,"2,042,200",2.16,"9,200",-29.23,"19,134",-26.98,"1,113,485",-2.44,"1,500",-90.91,"7,554",100.32,"928,715",8.28
2007M06,"29,540",-3.84,"31,081",-16.17,"2,040,659",2.41,"13,820",-1.99,"14,159",-60.41,"1,113,146",-0.58,"15,720",-5.42,"16,922","1,192.74","927,513",6.24
2007M07,"24,200",32.10,"54,155",74.43,"2,010,704",1.55,"24,200",59.95,"28,137",-8.84,"1,109,209",0.48,...,...,"26,018","14,435.20","901,495",2.91
2007M08,"10,130",-65.07,"21,690",-10.36,"1,999,144",0.72,"5,130",-77.70,"12,286",-9.29,"1,102,053",-1.02,"5,000",-16.67,"9,404",-11.72,"897,091",2.95
2007M09,"43,928",167.85,"21,169",-35.71,"2,021,903",2.73,"10,808",-18.74,"10,630",-48.96,"1,102,231",-0.33,"33,120",968.39,"10,539",-12.92,"919,672",6.65
2007M10,"10,150",-74.40,"45,921",162.80,"1,986,132",-0.22,"10,150",-60.35,"10,804",-32.01,"1,101,577",-1.26,...,...,"35,117","2,116.98","884,555",1.11
2007M11,"33,825",-59.03,"18,362",-46.08,"2,001,594",-1.83,"21,740",-62.77,"10,552",-61.77,"1,112,765",-2.93,"12,085",-49.97,"7,810",20.94,"888,829",-0.41
2007M12,"126,505",28.34,"106,148",76.55,"2,021,951",-2.67,"37,000",-23.08,"44,907",4.33,"1,104,858",-4.05,"89,805",77.94,"61,241",258.51,"917,393",-0.92
2008M01,"22,860",320.99,"25,111",4.91,"2,019,700",-1.90,"1,660",-69.43,"16,122",-26.16,"1,090,396",-3.93,"21,200",...,"8,989",328.05,"929,604",0.63
2008M02,"6,700",-57.05,"15,659",98.74,"2,010,741",-2.70,"3,700",-55.95,"4,179",-40.25,"1,089,917",-4.09,"3,000",-58.33,"11,480","1,197.18","921,124",-0.97
2008M03,"17,650",-42.88,"12,420",-41.28,"2,015,971",-2.91,"1,600",-76.12,"8,506",-3.75,"1,083,011",-4.52,"16,050",-33.68,"3,914",-68.22,"933,260",-0.93
2008M04,"48,500",240.59,"32,382",0.01,"2,032,089",-1.27,"19,500",88.59,"16,080",-24.27,"1,086,431",-3.29,"29,000",643.59,"16,302",46.27,"945,958",1.20
2008M05,"49,239",360.18,"27,443",2.83,"2,052,838",0.52,"20,900",127.17,"23,742",24.08,"1,083,589",-2.68,"28,339","1,789.27","3,701",-51.01,"969,549",4.40
2008M06,"69,625",135.70,"69,108",122.35,"2,053,355",0.62,"43,625",215.67,"64,550",355.89,"1,062,664",-4.54,"26,000",65.39,"4,558",-73.06,"990,991",6.84
2008M07,"19,250",-20.45,"27,939",-48.41,"2,044,667",1.69,"18,150",-25.00,"22,194",-21.12,"1,058,620",-4.56,"1,100",...,"5,745",-77.92,"986,347",9.41
2008M08,"11,850",16.98,"24,933",14.95,"2,031,584",1.62,"11,850",130.99,"21,471",74.76,"1,048,999",-4.81,...,...,"3,462",-63.19,"982,885",9.56
2008M09,"26,000",-40.81,"37,448",76.90,"2,020,136",-0.09,"18,100",67.47,"15,355",44.45,"1,051,744",-4.58,"7,900",-76.15,"22,093",109.63,"968,692",5.33
2008M10,"13,850",36.45,"22,809",-50.33,"2,011,176",1.26,"9,050",-10.84,"6,020",-44.28,"1,054,774",-4.25,"4,800",...,"16,789",-52.19,"956,702",8.16
2008M11,"34,460",1.88,"46,451",152.97,"1,999,185",-0.12,"34,460",58.51,"18,792",78.09,"1,070,442",-3.80,...,...,"27,659",254.15,"929,043",4.52
2008M12,"128,460",1.55,"94,700",-10.78,"2,032,945",0.54,"104,680",182.92,"36,108",-19.59,"1,139,014",3.09,"23,780",-73.52,"56,792",-7.26,"896,031",-2.33
2009M01,"9,000",-60.63,"49,370",96.61,"1,992,875",-1.33,"6,000",261.45,"33,289",106.48,"1,111,725",1.96,"3,000",-85.85,"10,581",17.71,"888,450",-4.43
2009M02,"6,000",-10.45,"25,297",61.55,"1,973,578",-1.85,"5,000",35.14,"7,868",88.27,"1,108,857",1.74,"1,000",-66.67,"17,429",51.82,"872,021",-5.33
2009M03,500,-97.17,"56,768",357.07,"1,917,310",-4.89,...,...,"3,457",-59.36,"1,105,400",2.07,500,-96.88,"53,311","1,262.06","819,210",-12.22
2009M04,"32,790",-32.39,"24,276",-25.03,"1,925,824",-5.23,"24,690",26.62,"21,139",31.46,"1,108,951",2.07,"8,100",-72.07,"3,137",-80.76,"824,173",-12.87
2009M05,"14,700",-70.15,"35,017",27.60,"1,905,507",-7.18,"8,000",-61.72,"24,617",3.69,"1,092,334",0.81,"6,700",-76.36,"10,400",181.01,"820,473",-15.38
2009M06,"16,320",-76.56,"46,191",-33.16,"1,875,636",-8.66,"4,200",-90.37,"34,380",-46.74,"1,062,154",-0.05,"12,120",-53.38,"11,811",159.13,"820,782",-17.18
2009M07,"14,490",-24.73,"31,182",11.61,"1,866,244",-8.73,"10,090",-44.41,"16,241",-26.82,"1,056,003",-0.25,"4,400",300.00,"14,941",160.07,"810,241",-17.85
2009M08,"29,400",148.10,"23,498",-5.76,"1,872,146",-7.85,"28,400",139.66,"23,480",9.36,"1,060,923",1.14,"1,000",...,18,-99.48,"811,223",-17.47
2009M09,"22,700",-12.69,"16,972",-54.68,"1,877,874",-7.04,"13,700",-24.31,"6,535",-57.44,"1,068,088",1.55,"9,000",13.92,"10,437",-52.76,"809,786",-16.40
