期間,授信部門--中央銀行,授信部門--存款貨幣機構,授信部門--保險公司及退休基金,授信部門--其他金融機構,受信部門--其他金融機構,受信部門--政府,受信部門--公營事業,受信部門--民營企業,受信部門--家庭及非營利團體
1982,"9,173","1,254,062","18,378","59,467","4,210","45,169","244,558","504,822","542,321"
1983,"5,077","1,454,693","23,477","65,484","4,370","46,135","242,554","586,727","668,945"
1984,"4,220","1,629,288","30,297","64,109","3,468","40,843","230,707","684,106","768,790"
1985,"3,081","1,718,958","36,962","67,642","3,020","41,731","214,573","745,510","821,809"
1986,"2,816","1,891,776","37,697","63,660","4,615","45,187","211,267","849,956","884,924"
1987,"2,483","2,264,015","48,636","99,511","14,778","53,034","164,029","1,074,537","1,108,267"
1988,"2,049","3,140,109","61,285","159,369","21,772","72,699","177,108","1,542,833","1,548,400"
1989,"2,044","4,121,401","95,472","164,599","10,251","328,450","209,087","1,838,873","1,996,855"
1990,"2,043","4,624,067","149,181","245,458","16,918","350,513","242,054","2,024,941","2,386,323"
1991,"2,042","5,669,063","168,799","348,390","22,348","419,431","300,457","2,517,742","2,928,316"
1992,"2,041","7,236,286","231,827","298,651","21,134","499,371","340,008","3,227,477","3,680,815"
1993,"2,041","8,414,225","311,270","426,087","54,644","627,125","355,296","3,701,492","4,415,066"
1994,"2,040","9,904,293","392,864","480,041","105,786","828,674","360,739","4,325,938","5,158,101"
1995,"2,040","10,757,669","460,880","404,825","81,141","959,654","371,437","4,520,904","5,692,278"
1996,"2,040","11,163,758","498,457","777,037","238,294","1,199,742","385,974","4,380,117","6,237,165"
1997,"2,040","12,461,352","615,813","847,382","527,901","1,422,512","392,342","5,152,588","6,431,244"
1998,"2,040","13,131,810","744,732","1,009,263","791,084","1,574,842","337,468","5,677,353","6,507,098"
1999,"2,040","13,850,486","843,324","970,673","979,405","1,756,678","373,612","6,010,296","6,546,531"
2000,"2,040","14,543,869","957,241","781,039","1,090,085","2,092,357","400,957","6,189,147","6,511,643"
2001,"2,040","14,118,757","1,029,709","1,134,410","1,354,747","2,153,628","468,458","6,101,263","6,206,821"
2002,"2,040","13,814,285","1,037,434","979,770","870,362","1,950,742","491,901","5,973,357","6,547,167"
2003,...,"14,598,912","985,446","1,206,057","1,166,174","1,951,683","474,952","6,209,623","6,987,983"
2004,...,"16,003,440","955,775","1,230,019","1,140,634","1,917,494","492,346","6,989,343","7,649,416"
