期間,合計_原始值,合計_年增率(%),合計_原始值,合計_年增率(%),合計_原始值,合計_年增率(%),中央政府發行_原始值,中央政府發行_年增率(%),中央政府發行_原始值,中央政府發行_年增率(%),中央政府發行_原始值,中央政府發行_年增率(%),直轄市政府發行_原始值,直轄市政府發行_年增率(%),直轄市政府發行_原始值,直轄市政府發行_年增率(%),直轄市政府發行_原始值,直轄市政府發行_年增率(%)
1997,"174,000",-28.98,"135,446",16.90,"1,034,831",3.87,"160,000",-28.89,"120,752",28.51,"975,394",4.19,"14,000",-30.00,"14,694",-32.90,"59,437",-1.15
1998,"146,000",-16.09,"136,932",1.10,"1,043,899",0.88,"120,000",-25.00,"125,972",4.32,"969,422",-0.61,"26,000",85.71,"10,960",-25.41,"74,477",25.30
1999,"282,820",93.71,"81,487",-40.49,"1,245,232",19.29,"282,820",135.68,"70,312",-44.18,"1,181,930",21.92,-,-,"11,175",1.96,"63,302",-15.00
2000,"362,500",28.17,"127,397",56.34,"1,480,335",18.88,"346,500",22.52,"119,394",69.81,"1,409,036",19.21,"16,000",-,"8,003",-28.38,"71,299",12.63
2001,"457,000",26.07,"79,031",-37.96,"1,858,304",25.53,"437,000",26.12,"73,423",-38.50,"1,772,613",25.80,"20,000",25.00,"5,608",-29.93,"85,691",20.19
2002,"436,200",-4.55,"79,968",1.19,"2,214,536",19.17,"426,200",-2.47,"74,684",1.72,"2,124,129",19.83,"10,000",-50.00,"5,284",-5.78,"90,407",5.50
2003,"454,750",4.25,"80,791",1.03,"2,588,495",16.89,"454,750",6.70,"75,246",0.75,"2,503,633",17.87,-,-,"5,545",4.94,"84,862",-6.13
2004,"507,000",11.49,"242,828",200.56,"2,852,667",10.21,"465,000",2.25,"239,400",218.16,"2,729,233",9.01,"42,000",-,"3,428",-38.18,"123,434",45.45
2005,"469,000",-7.50,"179,439",-26.10,"3,142,228",10.15,"445,000",-4.30,"161,161",-32.68,"3,013,072",10.40,"24,000",-42.86,"18,278",433.20,"129,156",4.64
2006,"468,000",-0.21,"225,505",25.67,"3,384,723",7.72,"440,000",-1.12,"213,733",32.62,"3,239,339",7.51,"28,000",16.67,"11,772",-35.59,"145,384",12.56
2007,"402,151",-14.07,"267,027",18.41,"3,519,847",3.99,"393,151",-10.65,"222,460",4.08,"3,410,030",5.27,"9,000",-67.86,"44,567",278.58,"109,817",-24.46
2008,"438,700",9.09,"222,363",-16.73,"3,736,184",6.15,"410,000",4.29,"210,299",-5.47,"3,609,731",5.86,"28,700",218.89,"12,064",-72.93,"126,453",15.15
2009,"495,600",12.97,"260,844",17.31,"3,970,940",6.28,"470,000",14.63,"250,151",18.95,"3,829,580",6.09,"25,600",-10.80,"10,693",-11.36,"141,360",11.79
2010,"629,300",26.98,"265,942",1.95,"4,334,298",9.15,"610,000",29.79,"251,989",0.73,"4,187,591",9.35,"19,300",-24.61,"13,953",30.49,"146,707",3.78
2011,"640,000",1.70,"329,941",24.07,"4,644,357",7.15,"620,000",1.64,"298,013",18.26,"4,509,578",7.69,"20,000",3.63,"31,928",128.83,"134,779",-8.13
2012,"688,400",7.56,"398,289",20.72,"4,934,468",6.25,"665,000",7.26,"398,238",33.63,"4,776,340",5.92,"23,400",17.00,51,-99.84,"158,128",17.32
2013,"641,857",-6.76,"366,809",-7.90,"5,209,516",5.57,"641,857",-3.48,"350,009",-12.11,"5,068,188",6.11,-,-,"16,800","32,841.18","141,328",-10.62
