期間,出口外匯收入金額_原始值,出口外匯收入金額_年增率(%),出口外匯收入金額_原始值,出口外匯收入金額_年增率(%),出口外匯收入金額_原始值,出口外匯收入金額_年增率(%),進口外匯支出金額_原始值,進口外匯支出金額_年增率(%),進口外匯支出金額_原始值,進口外匯支出金額_年增率(%),進口外匯支出金額_原始值,進口外匯支出金額_年增率(%)
1997M01,"4,314",0.09,"6,809",15.94,"11,123",9.23,"4,475",-5.21,"4,376",22.58,"8,851",6.75
1997M02,"3,299",-15.37,"5,420",3.89,"8,719",-4.34,"3,757",-4.77,"3,983",20.51,"7,740",6.76
1997M03,"3,904",9.08,"6,425",14.18,"10,329",12.20,"4,386",-11.55,"4,689",15.41,"9,075",0.59
1997M04,"4,052",-9.29,"6,549",5.34,"10,601",-0.78,"4,239",-15.25,"4,777",14.80,"9,016",-1.60
1997M05,"4,364",-3.02,"6,731",9.39,"11,095",4.15,"4,604",-1.39,"5,101",23.42,"9,705",10.26
1997M06,"3,899",-1.17,"6,158",-2.28,"10,057",-1.85,"4,621",-4.35,"4,621",1.69,"9,242",-1.42
1997M07,"4,280",4.93,"6,786",12.31,"11,066",9.34,"4,485",17.35,"5,437",29.39,"9,922",23.65
1997M08,"3,576",-18.71,"6,686",2.72,"10,262",-5.92,"4,195",-7.15,"4,734",2.49,"8,929",-2.28
1997M09,"3,688",-0.22,"6,852",22.49,"10,540",13.46,"4,717",6.72,"5,159",22.02,"9,876",14.20
1997M10,"3,571",-16.68,"7,835",20.82,"11,406",5.90,"5,286",16.25,"5,392",20.71,"10,678",18.46
1997M11,"2,934",-32.78,"8,132",15.51,"11,066",-2.97,"4,133",-8.96,"5,683",10.24,"9,816",1.25
1997M12,"2,892",-31.52,"8,997",34.22,"11,889",8.81,"4,072",-12.69,"6,305",30.48,"10,377",9.28
1998M01,"2,435",-43.56,"6,526",-4.16,"8,961",-19.44,"3,484",-22.15,"4,685",7.06,"8,169",-7.71
1998M02,"2,355",-28.61,"7,291",34.52,"9,646",10.63,"4,462",18.76,"5,530",38.84,"9,992",29.10
1998M03,"2,930",-24.95,"7,868",22.46,"10,798",4.54,"4,931",12.43,"5,808",23.86,"10,739",18.34
1998M04,"2,837",-29.99,"7,529",14.96,"10,366",-2.22,"3,821",-9.86,"5,538",15.93,"9,359",3.80
1998M05,"2,727",-37.51,"7,011",4.16,"9,738",-12.23,"3,465",-24.74,"5,200",1.94,"8,665",-10.72
1998M06,"2,588",-33.62,"7,812",26.86,"10,400",3.41,"4,182",-9.50,"5,670",22.70,"9,852",6.60
1998M07,"2,660",-37.85,"7,971",17.46,"10,631",-3.93,"3,716",-17.15,"5,253",-3.38,"8,969",-9.60
1998M08,"2,421",-32.30,"7,201",7.70,"9,622",-6.24,"3,703",-11.73,"5,215",10.16,"8,918",-0.12
1998M09,"2,407",-34.73,"7,700",12.38,"10,107",-4.11,"4,006",-15.07,"5,292",2.58,"9,298",-5.85
1998M10,"2,546",-28.70,"8,336",6.39,"10,882",-4.59,"4,248",-19.64,"6,046",12.13,"10,294",-3.60
1998M11,"2,344",-20.11,"7,304",-10.18,"9,648",-12.81,"3,326",-19.53,"5,163",-9.15,"8,489",-13.52
1998M12,"3,001",3.77,"9,159",1.80,"12,160",2.28,"3,923",-3.66,"6,535",3.65,"10,458",0.78
