期間,出口外匯收入金額_原始值,出口外匯收入金額_年增率(%),出口外匯收入金額_原始值,出口外匯收入金額_年增率(%),出口外匯收入金額_原始值,出口外匯收入金額_年增率(%),進口外匯支出金額_原始值,進口外匯支出金額_年增率(%),進口外匯支出金額_原始值,進口外匯支出金額_年增率(%),進口外匯支出金額_原始值,進口外匯支出金額_年增率(%)
1999M01,"2,842",16.71,"7,764",18.97,"10,606",18.36,"3,441",-1.23,"5,026",7.28,"8,467",3.65
1999M02,"2,191",-6.96,"6,319",-13.33,"8,510",-11.78,"2,966",-33.53,"3,982",-27.99,"6,948",-30.46
1999M03,"2,709",-7.54,"8,480",7.78,"11,189",3.62,"3,814",-22.65,"6,268",7.92,"10,082",-6.12
1999M04,"2,743",-3.31,"8,481",12.64,"11,224",8.28,"3,389",-11.31,"5,627",1.61,"9,016",-3.66
1999M05,"2,759",1.17,"8,162",16.42,"10,921",12.15,"3,701",6.81,"5,789",11.33,"9,490",9.52
1999M06,"2,880",11.28,"7,889",0.99,"10,769",3.55,"4,109",-1.75,"5,306",-6.42,"9,415",-4.44
1999M07,"3,032",13.98,"9,725",22.00,"12,757",20.00,"4,377",17.79,"7,053",34.27,"11,430",27.44
1999M08,"2,844",17.47,"8,190",13.73,"11,034",14.67,"3,430",-7.37,"5,988",14.82,"9,418",5.61
1999M09,"2,948",22.48,"8,358",8.55,"11,306",11.86,"3,383",-15.55,"5,846",10.47,"9,229",-0.74
1999M10,"3,022",18.70,"9,636",15.60,"12,658",16.32,"3,966",-6.64,"7,815",29.26,"11,781",14.45
1999M11,"2,883",22.99,"8,910",21.99,"11,793",22.23,"3,762",13.11,"6,773",31.18,"10,535",24.10
1999M12,"3,546",18.16,"11,901",29.94,"15,447",27.03,"4,611",17.54,"8,906",36.28,"13,517",29.25
2000M01,"3,140",10.49,"9,284",19.58,"12,424",17.14,"3,531",2.62,"6,485",29.03,"10,016",18.29
2000M02,"2,456",12.09,"7,990",26.44,"10,446",22.75,"3,393",14.40,"6,608",65.95,"10,001",43.94
2000M03,"3,358",23.96,"10,843",27.87,"14,201",26.92,"5,203",36.42,"8,622",37.56,"13,825",37.13
2000M04,"3,117",13.63,"9,901",16.74,"13,018",15.98,"3,926",15.85,"7,759",37.89,"11,685",29.60
2000M05,"3,267",18.41,"9,720",19.09,"12,987",18.92,"4,122",11.38,"7,593",31.16,"11,715",23.45
2000M06,"3,334",15.76,"10,722",35.91,"14,056",30.52,"4,259",3.65,"8,784",65.55,"13,043",38.53
2000M07,"3,246",7.06,"10,439",7.34,"13,685",7.27,"4,443",1.51,"8,807",24.87,"13,250",15.92
2000M08,"3,143",10.51,"11,049",34.91,"14,192",28.62,"4,108",19.77,"8,767",46.41,"12,875",36.71
2000M09,"3,033",2.88,"11,297",35.16,"14,330",26.75,"4,558",34.73,"8,998",53.92,"13,556",46.88
2000M10,"2,583",-14.53,"11,112",15.32,"13,695",8.19,"4,213",6.23,"8,079",3.38,"12,292",4.34
2000M11,"2,566",-11.00,"11,327",27.13,"13,893",17.81,"3,821",1.57,"8,582",26.71,"12,403",17.73
2000M12,"2,329",-34.32,"11,954",0.45,"14,283",-7.54,"4,281",-7.16,"9,530",7.01,"13,811",2.18
2001M01,"2,230",-28.98,"9,776",5.30,"12,006",-3.36,"3,458",-2.07,"6,375",-1.70,"9,833",-1.83
2001M02,"2,148",-12.54,"8,651",8.27,"10,799",3.38,"3,057",-9.90,"6,754",2.21,"9,811",-1.90
2001M03,"2,571",-23.44,"10,237",-5.59,"12,808",-9.81,"3,868",-25.66,"8,043",-6.72,"11,911",-13.84
2001M04,"2,274",-27.05,"9,368",-5.38,"11,642",-10.57,"3,114",-20.68,"6,871",-11.44,"9,985",-14.55
2001M05,"2,396",-26.66,"9,785",0.67,"12,181",-6.21,"3,848",-6.65,"7,010",-7.68,"10,858",-7.32
2001M06,"1,876",-43.73,"9,089",-15.23,"10,965",-21.99,"3,405",-20.05,"6,570",-25.20,"9,975",-23.52
2001M07,"1,836",-43.44,"8,971",-14.06,"10,807",-21.03,"2,892",-34.91,"6,929",-21.32,"9,821",-25.88
2001M08,"2,263",-28.00,"10,073",-8.83,"12,336",-13.08,"2,922",-28.87,"6,690",-23.69,"9,612",-25.34
2001M09,"1,816",-40.13,"7,779",-31.14,"9,595",-33.04,"2,542",-44.23,"5,385",-40.15,"7,927",-41.52
2001M10,"2,129",-17.58,"9,504",-14.47,"11,633",-15.06,"3,215",-23.69,"6,623",-18.02,"9,838",-19.96
2001M11,"1,956",-23.77,"8,947",-21.01,"10,903",-21.52,"2,875",-24.76,"6,312",-26.45,"9,187",-25.93
2001M12,"1,876",-19.45,"9,683",-19.00,"11,559",-19.07,"3,120",-27.12,"7,041",-26.12,"10,161",-26.43
2002M01,"1,836",-17.67,"9,511",-2.71,"11,347",-5.49,"2,870",-17.00,"6,216",-2.49,"9,086",-7.60
2002M02,"1,466",-31.75,"7,467",-13.69,"8,933",-17.28,"2,066",-32.42,"4,863",-28.00,"6,929",-29.38
2002M03,"1,891",-26.45,"9,474",-7.45,"11,365",-11.27,"3,180",-17.79,"7,125",-11.41,"10,305",-13.48
2002M04,"1,964",-13.63,"9,476",1.15,"11,440",-1.74,"2,797",-10.18,"6,980",1.59,"9,777",-2.08
2002M05,"2,314",-3.42,"9,951",1.70,"12,265",0.69,"2,928",-23.91,"6,975",-0.50,"9,903",-8.80
2002M06,"2,222",18.44,"9,367",3.06,"11,589",5.69,"2,871",-15.68,"6,560",-0.15,"9,431",-5.45
2002M07,"2,771",50.93,"10,363",15.52,"13,134",21.53,"3,117",7.78,"7,736",11.65,"10,853",10.51
2002M08,"2,227",-1.59,"9,898",-1.74,"12,125",-1.71,"2,926",0.14,"7,323",9.46,"10,249",6.63
2002M09,"1,978",8.92,"9,344",20.12,"11,322",18.00,"3,307",30.09,"7,300",35.56,"10,607",33.81
2002M10,"2,026",-4.84,"10,823",13.88,"12,849",10.45,"3,461",7.65,"8,227",24.22,"11,688",18.80
2002M11,"1,879",-3.94,"10,161",13.57,"12,040",10.43,"3,188",10.89,"7,392",17.11,"10,580",15.16
2002M12,"2,094",11.62,"11,985",23.77,"14,079",21.80,"3,662",17.37,"9,141",29.83,"12,803",26.00
2003M01,"2,168",18.08,"11,123",16.95,"13,291",17.13,"3,284",14.43,"8,330",34.01,"11,614",27.82
2003M02,"1,545",5.39,"9,035",21.00,"10,580",18.44,"2,536",22.75,"7,088",45.75,"9,624",38.89
2003M03,"2,033",7.51,"11,368",19.99,"13,401",17.91,"3,525",10.85,"8,573",20.32,"12,098",17.40
2003M04,"2,021",2.90,"10,659",12.48,"12,680",10.84,"3,219",15.09,"8,335",19.41,"11,554",18.18
2003M05,"1,945",-15.95,"10,625",6.77,"12,570",2.49,"3,377",15.33,"8,471",21.45,"11,848",19.64
2003M06,"1,885",-15.17,"11,214",19.72,"13,099",13.03,"3,409",18.74,"8,720",32.93,"12,129",28.61
2003M07,"2,131",-23.10,"11,765",13.53,"13,896",5.80,"3,429",10.01,"8,503",9.91,"11,932",9.94
2003M08,"1,908",-14.32,"10,909",10.21,"12,817",5.71,"2,907",-0.65,"8,175",11.63,"11,082",8.13
2003M09,"2,148",8.59,"11,853",26.85,"14,001",23.66,"3,049",-7.80,"9,303",27.44,"12,352",16.45
2003M10,"2,394",18.16,"12,708",17.42,"15,102",17.53,"3,130",-9.56,"9,821",19.38,"12,951",10.81
2003M11,"1,963",4.47,"12,090",18.98,"14,053",16.72,"3,093",-2.98,"8,768",18.61,"11,861",12.11
2003M12,"2,277",8.74,"15,387",28.39,"17,664",25.46,"4,278",16.82,"12,455",36.25,"16,733",30.70
2004M01,"2,101",-3.09,"12,857",15.59,"14,958",12.54,"3,125",-4.84,"8,652",3.87,"11,777",1.40
2004M02,"2,133",38.06,"13,082",44.79,"15,215",43.81,"3,416",34.70,"10,326",45.68,"13,742",42.79
2004M03,"2,322",14.22,"14,545",27.95,"16,867",25.86,"4,152",17.79,"12,347",44.02,"16,499",36.38
2004M04,"2,271",12.37,"14,046",31.78,"16,317",28.68,"3,619",12.43,"11,192",34.28,"14,811",28.19
2004M05,"2,255",15.94,"13,798",29.86,"16,053",27.71,"3,524",4.35,"11,131",31.40,"14,655",23.69
2004M06,"2,344",24.35,"14,041",25.21,"16,385",25.09,"3,912",14.76,"11,883",36.27,"15,795",30.23
2004M07,"2,348",10.18,"14,524",23.45,"16,872",21.42,"3,936",14.79,"12,129",42.64,"16,065",34.64
2004M08,"2,237",17.24,"14,580",33.65,"16,817",31.21,"4,008",37.87,"12,177",48.95,"16,185",46.05
2004M09,"2,238",4.19,"15,388",29.82,"17,626",25.89,"4,321",41.72,"12,667",36.16,"16,988",37.53
2004M10,"2,146",-10.36,"14,952",17.66,"17,098",13.22,"4,167",33.13,"12,936",31.72,"17,102",32.05
2004M11,"2,354",19.92,"16,257",34.47,"18,611",32.43,"4,710",52.28,"14,474",65.08,"19,184",61.74
2004M12,"2,520",10.67,"18,715",21.63,"21,235",20.22,"4,731",10.59,"15,770",26.62,"20,500",22.51
2005M01,"2,181",3.81,"14,817",15.24,"16,998",13.64,"3,974",27.17,"12,562",45.19,"16,536",40.41
2005M02,"1,869",-12.38,"12,394",-5.26,"14,263",-6.26,"3,051",-10.69,"9,662",-6.43,"12,713",-7.49
2005M03,"2,829",21.83,"17,645",21.31,"20,474",21.38,"4,530",9.10,"15,715",27.28,"20,245",22.70
2005M04,"2,201",-3.08,"15,580",10.92,"17,781",8.97,"3,937",8.79,"14,059",25.62,"17,996",21.50
2005M05,"2,303",2.13,"15,543",12.65,"17,846",11.17,"4,122",16.97,"13,475",21.06,"17,597",20.08
2005M06,"2,420",3.24,"16,332",16.32,"18,752",14.45,"4,185",6.98,"14,353",20.79,"18,538",17.37
2005M07,"2,235",-4.81,"14,042",-3.32,"16,277",-3.53,"3,769",-4.24,"13,344",10.02,"17,113",6.52
2005M08,"2,531",13.14,"15,258",4.65,"17,789",5.78,"3,832",-4.39,"13,379",9.87,"17,211",6.34
2005M09,"2,223",-0.67,"15,428",0.26,"17,651",0.14,"4,004",-7.34,"13,720",8.31,"17,724",4.33
2005M10,"1,997",-6.94,"15,049",0.65,"17,045",-0.31,"3,829",-8.11,"13,798",6.66,"17,627",3.07
2005M11,"1,942",-17.50,"16,200",-0.35,"18,142",-2.52,"4,150",-11.89,"13,350",-7.77,"17,500",-8.78
2005M12,"2,102",-16.59,"17,163",-8.29,"19,265",-9.28,"4,695",-0.76,"15,079",-4.38,"19,774",-3.54
2006M01,"2,173",-0.37,"14,634",-1.24,"16,806",-1.13,"3,990",0.40,"12,933",2.95,"16,923",2.34
2006M02,"1,696",-9.26,"13,349",7.71,"15,045",5.48,"3,051",0.00,"11,091",14.79,"14,142",11.24
2006M03,"2,375",-16.05,"16,924",-4.09,"19,299",-5.74,"4,171",-7.92,"15,392",-2.06,"19,563",-3.37
2006M04,"1,808",-17.86,"14,260",-8.47,"16,068",-9.63,"4,060",3.12,"12,447",-11.47,"16,507",-8.27
2006M05,"2,334",1.35,"15,888",2.22,"18,222",2.11,"3,647",-11.52,"14,774",9.64,"18,421",4.68
2006M06,"2,485",2.69,"17,691",8.32,"20,176",7.59,"3,996",-4.52,"15,420",7.43,"19,416",4.74
2006M07,"2,202",-1.48,"16,213",15.46,"18,415",13.14,"3,611",-4.19,"13,541",1.48,"17,152",0.23
2006M08,"2,380",-5.97,"17,339",13.64,"19,719",10.85,"3,998",4.33,"14,496",8.35,"18,494",7.45
2006M09,"2,178",-2.02,"16,960",9.93,"19,138",8.42,"3,816",-4.70,"14,596",6.38,"18,412",3.88
2006M10,"2,249",12.62,"17,059",13.36,"19,308",13.28,"4,284",11.88,"14,695",6.50,"18,978",7.66
2006M11,"2,070",6.59,"18,082",11.62,"20,152",11.08,"4,807",15.83,"14,622",9.53,"19,428",11.02
2006M12,"2,250",7.04,"18,327",6.78,"20,576",6.81,"4,304",-8.33,"16,418",8.88,"20,722",4.79
2007M01,"2,514",15.69,"18,978",29.68,"21,491",27.88,"4,085",2.38,"14,618",13.03,"18,703",10.52
2007M02,"1,867",10.08,"13,759",3.07,"15,626",3.86,"2,719",-10.88,"10,037",-9.50,"12,756",-9.80
2007M03,"2,421",1.94,"19,357",14.38,"21,778",12.85,"4,385",5.13,"15,401",0.06,"19,786",1.14
2007M04,"2,236",23.67,"16,908",18.57,"19,144",19.14,"4,082",0.54,"13,908",11.74,"17,990",8.98
2007M05,"2,330",-0.17,"18,016",13.39,"20,346",11.66,"4,695",28.74,"14,754",-0.14,"19,449",5.58
2007M06,"2,147",-13.60,"17,727",0.20,"19,874",-1.50,"4,264",6.71,"14,989",-2.80,"19,252",-0.84
2007M07,"2,255",2.41,"18,861",16.33,"21,116",14.67,"4,134",14.48,"16,366",20.86,"20,500",19.52
2007M08,"2,439",2.48,"19,800",14.19,"22,239",12.78,"3,847",-3.78,"16,220",11.89,"20,067",8.51
2007M09,"2,140",-1.74,"19,121",12.74,"21,261",11.09,"4,036",5.77,"15,807",8.30,"19,843",7.77
2007M10,"2,178",-3.16,"19,938",16.88,"22,116",14.54,"4,336",1.21,"16,678",13.49,"21,014",10.73
2007M11,"2,514",21.45,"21,123",16.82,"23,637",17.29,"4,192",-12.79,"16,809",14.96,"21,002",8.10
2007M12,"2,335",3.78,"22,067",20.41,"24,402",18.59,"5,047",17.26,"18,198",10.84,"23,245",12.18
2008M01,"2,523",0.36,"22,135",16.64,"24,658",14.74,"4,688",14.76,"18,219",24.63,"22,907",22.48
2008M02,"1,752",-6.16,"17,974",30.63,"19,726",26.24,"4,210",54.84,"15,857",57.99,"20,066",57.31
2008M03,"2,584",6.73,"21,449",10.81,"24,034",10.36,"4,174",-4.81,"18,571",20.58,"22,745",14.96
2008M04,"2,474",10.64,"21,479",27.03,"23,953",25.12,"4,464",9.36,"17,904",28.73,"22,368",24.34
2008M05,"2,531",8.63,"20,567",14.16,"23,098",13.53,"4,705",0.21,"18,895",28.07,"23,600",21.34
2008M06,"2,220",3.40,"21,028",18.62,"23,248",16.98,"4,928",15.57,"18,700",24.76,"23,627",22.72
2008M07,"2,530",12.20,"23,278",23.42,"25,808",22.22,"5,314",28.54,"20,152",23.13,"25,465",24.22
2008M08,"2,243",-8.04,"21,079",6.46,"23,322",4.87,"4,818",25.24,"19,608",20.89,"24,426",21.72
2008M09,"2,079",-2.85,"20,767",8.61,"22,846",7.45,"4,641",14.99,"18,308",15.82,"22,949",15.65
2008M10,"2,432",11.66,"22,573",13.22,"25,005",13.06,"4,516",4.15,"19,006",13.96,"23,522",11.93
2008M11,"1,756",-30.15,"17,928",-15.13,"19,684",-16.72,"3,703",-11.67,"15,418",-8.28,"19,121",-8.96
2008M12,"1,943",-16.79,"19,779",-10.37,"21,722",-10.98,"4,857",-3.76,"14,807",-18.63,"19,664",-15.41
2009M01,"1,527",-39.48,"12,663",-42.79,"14,191",-42.45,"2,454",-47.65,"9,261",-49.17,"11,715",-48.86
2009M02,"1,588",-9.36,"15,594",-13.24,"17,182",-12.90,"3,381",-19.69,"11,026",-30.47,"14,407",-28.20
2009M03,"1,536",-40.56,"14,311",-33.28,"15,847",-34.06,"3,139",-24.80,"10,340",-44.32,"13,479",-40.74
2009M04,"1,488",-39.85,"13,020",-39.38,"14,508",-39.43,"2,720",-39.07,"9,687",-45.89,"12,407",-44.53
2009M05,"1,242",-50.93,"12,088",-41.23,"13,330",-42.29,"2,608",-44.57,"9,267",-50.96,"11,875",-49.68
2009M06,"1,877",-15.45,"16,815",-20.04,"18,692",-19.60,"3,390",-31.21,"13,180",-29.52,"16,570",-29.87
2009M07,"1,623",-35.85,"16,573",-28.80,"18,196",-29.49,"3,556",-33.08,"13,293",-34.04,"16,849",-33.83
2009M08,"1,541",-31.30,"16,568",-21.40,"18,109",-22.35,"2,944",-38.90,"13,633",-30.47,"16,577",-32.13
2009M09,"1,490",-28.33,"18,246",-12.14,"19,736",-13.61,"3,862",-16.79,"14,835",-18.97,"18,697",-18.53
2009M10,"1,687",-30.63,"18,265",-19.08,"19,952",-20.21,"3,121",-30.89,"14,526",-23.57,"17,647",-24.98
2009M11,"1,587",-9.62,"18,511",3.25,"20,098",2.10,"3,099",-16.31,"14,872",-3.54,"17,971",-6.01
2009M12,"1,936",-0.36,"22,597",14.25,"24,533",12.94,"4,470",-7.97,"18,212",23.00,"22,682",15.35
2010M01,"1,620",6.09,"17,644",39.34,"19,264",35.75,"3,568",45.40,"14,648",58.17,"18,216",55.49
2010M02,"1,613",1.57,"16,221",4.02,"17,834",3.79,"2,536",-24.99,"13,216",19.86,"15,752",9.34
2010M03,"1,869",21.68,"22,497",57.20,"24,366",53.76,"4,002",27.49,"17,738",71.55,"21,740",61.29
2010M04,"1,821",22.38,"20,108",54.44,"21,929",51.15,"3,788",39.26,"17,277",78.35,"21,065",69.78
2010M05,"2,118",70.53,"21,023",73.92,"23,141",73.60,"3,442",31.98,"16,602",79.15,"20,044",68.79
2010M06,"2,011",7.14,"21,456",27.60,"23,467",25.55,"4,038",19.12,"17,740",34.60,"21,778",31.43
2010M07,"1,934",19.16,"21,933",32.34,"23,867",31.17,"3,902",9.73,"17,560",32.10,"21,462",27.38
2010M08,"2,016",30.82,"22,485",35.71,"24,501",35.30,"4,100",39.27,"18,287",34.14,"22,387",35.05
2010M09,"1,769",18.72,"21,983",20.48,"23,752",20.35,"4,714",22.06,"18,052",21.69,"22,766",21.76
2010M10,"1,809",7.23,"22,772",24.68,"24,581",23.20,"4,285",37.30,"18,520",27.50,"22,805",29.23
2010M11,"2,119",33.52,"22,736",22.82,"24,855",23.67,"4,956",59.92,"19,022",27.90,"23,978",33.43
2010M12,"2,072",7.02,"25,978",14.96,"28,050",14.34,"4,810",7.61,"21,310",17.01,"26,120",15.16
2011M01,"2,183",34.75,"22,099",25.25,"24,282",26.05,"4,181",17.18,"19,379",32.30,"23,560",29.34
2011M02,"1,737",7.69,"18,115",11.68,"19,852",11.32,"2,923",15.26,"14,103",6.71,"17,026",8.09
2011M03,"2,378",27.23,"27,695",23.11,"30,073",23.42,"5,269",31.66,"23,979",35.18,"29,248",34.54
2011M04,"1,869",2.64,"23,233",15.54,"25,102",14.47,"4,570",20.64,"20,367",17.89,"24,937",18.38
2011M05,"2,252",6.33,"24,891",18.40,"27,143",17.29,"4,556",32.36,"20,958",26.24,"25,514",27.29
2011M06,"2,246",11.69,"25,826",20.37,"28,072",19.62,"4,622",14.46,"21,912",23.52,"26,534",21.84
2011M07,"2,164",11.89,"23,809",8.55,"25,973",8.82,"4,510",15.58,"19,607",11.66,"24,117",12.37
2011M08,"2,706",34.23,"26,848",19.40,"29,554",20.62,"4,440",8.29,"21,232",16.10,"25,672",14.67
2011M09,"2,513",42.06,"25,032",13.87,"27,545",15.97,"4,902",3.99,"21,706",20.24,"26,608",16.88
2011M10,"1,921",6.19,"22,772",0.00,"24,693",0.46,"4,434",3.48,"18,574",0.29,"23,008",0.89
2011M11,"2,210",4.29,"24,653",8.43,"26,863",8.08,"4,551",-8.17,"18,004",-5.35,"22,555",-5.93
2011M12,"2,120",2.32,"25,183",-3.06,"27,303",-2.66,"5,144",6.94,"20,909",-1.88,"26,053",-0.26
2012M01,"1,752",-19.74,"20,894",-5.45,"22,646",-6.74,"4,188",0.17,"17,179",-11.35,"21,367",-9.31
2012M02,"1,790",3.05,"19,914",9.93,"21,704",9.33,"3,925",34.28,"18,115",28.45,"22,040",29.45
2012M03,"2,230",-6.22,"24,895",-10.11,"27,125",-9.80,"4,856",-7.84,"20,409",-14.89,"25,265",-13.62
2012M04,"1,898",1.55,"22,339",-3.85,"24,237",-3.45,"4,400",-3.72,"20,420",0.26,"24,820",-0.47
2012M05,"2,312",2.66,"23,347",-6.20,"25,659",-5.47,"4,056",-10.97,"20,476",-2.30,"24,532",-3.85
2012M06,"1,979",-11.89,"22,903",-11.32,"24,882",-11.36,"4,179",-9.58,"19,446",-11.25,"23,625",-10.96
2012M07,"2,141",-1.06,"23,923",0.48,"26,064",0.35,"3,843",-14.79,"20,001",2.01,"23,844",-1.13
2012M08,"2,083",-23.02,"24,550",-8.56,"26,633",-9.88,"4,438",-0.05,"20,514",-3.38,"24,952",-2.80
2012M09,"1,798",-28.45,"23,103",-7.71,"24,901",-9.60,"4,718",-3.75,"19,235",-11.38,"23,953",-9.98
2012M10,"1,880",-2.13,"24,991",9.74,"26,871",8.82,"4,484",1.13,"20,883",12.43,"25,367",10.25
2012M11,"1,841",-16.70,"24,388",-1.07,"26,229",-2.36,"4,160",-8.59,"20,279",12.64,"24,439",8.35
2012M12,"1,853",-12.59,"24,841",-1.36,"26,694",-2.23,"4,554",-11.47,"19,450",-6.98,"24,004",-7.86
2013M01,"2,168",23.74,"26,213",25.46,"28,381",25.32,"4,493",7.28,"21,569",25.55,"26,062",21.97
2013M02,"1,482",-17.21,"19,335",-2.91,"20,817",-4.09,"3,062",-21.99,"16,074",-11.27,"19,136",-13.18
2013M03,"1,868",-16.23,"25,632",2.96,"27,500",1.38,"4,381",-9.78,"22,583",10.65,"26,964",6.72
2013M04,"1,701",-10.38,"23,864",6.83,"25,565",5.48,"3,776",-14.18,"18,942",-7.24,"22,718",-8.47
2013M05,"2,083",-9.90,"24,732",5.93,"26,815",4.51,"3,712",-8.48,"18,856",-7.91,"22,568",-8.01
2013M06,"1,728",-12.68,"22,997",0.41,"24,725",-0.63,"3,829",-8.38,"18,800",-3.32,"22,629",-4.22
2013M07,"1,868",-12.75,"25,230",5.46,"27,098",3.97,"3,973",3.38,"20,479",2.39,"24,452",2.55
2013M08,"1,888",-9.36,"23,829",-2.94,"25,717",-3.44,"3,655",-17.64,"19,463",-5.12,"23,118",-7.35
2013M09,"1,604",-10.79,"23,838",3.18,"25,442",2.17,"4,460",-5.47,"18,384",-4.42,"22,844",-4.63
2013M10,"1,891",0.59,"25,865",3.50,"27,756",3.29,"4,080",-9.01,"20,201",-3.27,"24,281",-4.28
2013M11,"1,790",-2.77,"22,939",-5.94,"24,729",-5.72,"3,686",-11.39,"18,377",-9.38,"22,063",-9.72
2013M12,"1,982",6.96,"26,825",7.99,"28,807",7.92,"4,568",0.31,"22,177",14.02,"26,745",11.42
2014M01,"2,062",-4.89,"23,920",-8.75,"25,982",-8.45,"3,816",-15.07,"18,695",-13.32,"22,511",-13.63
2014M02,"1,604",8.23,"21,338",10.36,"22,942",10.21,"3,223",5.26,"17,008",5.81,"20,231",5.72
2014M03,"1,940",3.85,"25,286",-1.35,"27,226",-1.00,"4,389",0.18,"20,998",-7.02,"25,387",-5.85
2014M04,"1,812",6.53,"24,714",3.56,"26,526",3.76,"4,144",9.75,"20,481",8.12,"24,625",8.39
2014M05,"1,894",-9.07,"25,230",2.01,"27,124",1.15,"4,202",13.20,"19,628",4.09,"23,830",5.59
2014M06,"1,819",5.27,"24,225",5.34,"26,044",5.33,"4,491",17.29,"19,846",5.56,"24,337",7.55
2014M07,"2,044",9.42,"26,841",6.39,"28,885",6.59,"3,925",-1.21,"21,475",4.86,"25,400",3.88
