期間,名目本金餘額_原始值,名目本金餘額_年增率(%),名目本金餘額-店頭市場_原始值,名目本金餘額-店頭市場_年增率(%),名目本金餘額-店頭市場-遠期契約_原始值,名目本金餘額-店頭市場-遠期契約_年增率(%),名目本金餘額-店頭市場-交換_原始值,名目本金餘額-店頭市場-交換_年增率(%),名目本金餘額-店頭市場-買入選擇權_原始值,名目本金餘額-店頭市場-買入選擇權_年增率(%),名目本金餘額-店頭市場-賣出選擇權_原始值,名目本金餘額-店頭市場-賣出選擇權_年增率(%),名目本金餘額-交易所_原始值,名目本金餘額-交易所_年增率(%),名目本金餘額-交易所-期貨-長部位_原始值,名目本金餘額-交易所-期貨-長部位_年增率(%),名目本金餘額-交易所-期貨-短部位_原始值,名目本金餘額-交易所-期貨-短部位_年增率(%),名目本金餘額-交易所-買入選擇權_原始值,名目本金餘額-交易所-買入選擇權_年增率(%),名目本金餘額-交易所-賣出選擇權_原始值,名目本金餘額-交易所-賣出選擇權_年增率(%),名目本金餘額_原始值,名目本金餘額_年增率(%),名目本金餘額-交易目的之契約總額_原始值,名目本金餘額-交易目的之契約總額_年增率(%),名目本金餘額-非交易目的之契約總額_原始值,名目本金餘額-非交易目的之契約總額_年增率(%)
1998Q1,"2,014,909",...,"2,013,202",...,"1,346,925",...,"390,593",...,"146,671",...,"129,013",...,"1,707",...,0,...,"1,707",...,0,...,0,...,"2,014,909",...,"1,918,836",...,"96,073",...
1998Q2,"2,672,155",...,"2,671,674",...,"1,655,402",...,"597,420",...,"216,311",...,"202,541",...,481,...,412,...,69,...,0,...,0,...,"2,672,155",...,"2,550,862",...,"121,293",...
1998Q3,"2,277,598",...,"2,277,402",...,"1,075,056",...,"654,874",...,"275,263",...,"272,209",...,196,...,0,...,196,...,0,...,0,...,"2,277,598",...,"2,131,940",...,"145,658",...
1998Q4,"1,688,570",...,"1,688,570",...,"748,218",...,"602,049",...,"170,691",...,"167,612",...,0,...,0,...,0,...,0,...,0,...,"1,688,570",...,"1,557,251",...,"131,319",...
1999Q1,"1,850,087",-8.18,"1,850,070",-8.10,"843,932",-37.34,"636,474",62.95,"186,722",27.31,"182,942",41.80,17,-99.00,0,--,0,-100.00,17,--,0,--,"1,850,087",-8.18,"1,698,184",-11.50,"151,903",58.11
1999Q2,"1,984,429",-25.74,"1,984,429",-25.72,"890,546",-46.20,"718,566",20.28,"194,895",-9.90,"180,422",-10.92,0,-100.00,0,-100.00,0,-100.00,0,--,0,--,"1,984,429",-25.74,"1,819,339",-28.68,"165,090",36.11
1999Q3,"2,029,484",-10.89,"2,029,484",-10.89,"841,079",-21.76,"693,872",5.96,"254,867",-7.41,"239,666",-11.96,0,-100.00,0,--,0,-100.00,0,--,0,--,"2,029,484",-10.89,"1,865,614",-12.49,"163,870",12.50
1999Q4,"2,145,967",27.09,"2,145,967",27.09,"847,603",13.28,"858,706",42.63,"222,423",30.31,"217,235",29.61,0,--,0,--,0,--,0,--,0,--,"2,145,967",27.09,"1,960,701",25.91,"185,266",41.08
2000Q1,"2,371,223",28.17,"2,371,223",28.17,"895,285",6.08,"772,937",21.44,"353,216",89.17,"349,785",91.20,0,-100.00,0,--,0,--,0,-100.00,0,--,"2,371,223",28.17,"2,151,946",26.72,"219,277",44.35
2000Q2,"2,451,390",23.53,"2,403,518",21.12,"866,948",-2.65,"785,241",9.28,"381,007",95.49,"370,322",105.25,"47,872",--,0,--,0,--,"23,936",--,"23,936",--,"2,451,390",23.53,"2,257,882",24.10,"193,508",17.21
2000Q3,"2,689,879",32.54,"2,649,157",30.53,"1,007,970",19.84,"860,937",24.08,"395,566",55.20,"384,684",60.51,"40,722",--,0,--,0,--,"20,361",--,"20,361",--,"2,689,879",32.54,"2,574,888",38.02,"114,991",-29.83
2000Q4,"3,104,173",44.65,"3,056,571",42.43,"1,440,898",70.00,"968,093",12.74,"326,313",46.71,"321,267",47.89,"47,602",--,0,--,0,--,"23,801",--,"23,801",--,"3,104,173",44.65,"2,943,339",50.12,"160,834",-13.19
2001Q1,"3,236,938",36.51,"3,236,938",36.51,"1,378,876",54.02,"1,050,972",35.97,"410,478",16.21,"396,612",13.39,0,--,0,--,0,--,0,--,0,--,"3,236,938",36.51,"2,850,304",32.45,"386,634",76.32
2001Q2,"3,882,483",58.38,"3,882,483",61.53,"1,731,517",99.73,"1,317,427",67.77,"422,209",10.81,"411,330",11.07,0,-100.00,0,--,0,--,0,-100.00,0,-100.00,"3,882,483",58.38,"3,537,752",56.68,"344,731",78.15
2001Q3,"4,494,885",67.10,"4,479,650",69.10,"1,811,639",79.73,"1,756,726",104.05,"456,715",15.46,"454,570",18.17,"15,235",-62.59,"8,118",--,"7,117",--,0,-100.00,0,-100.00,"4,494,885",67.10,"4,110,450",59.64,"384,435",234.32
2001Q4,"4,724,467",52.20,"4,716,885",54.32,"1,875,632",30.17,"1,964,075",102.88,"443,449",35.90,"433,729",35.01,"7,582",-84.07,0,--,"7,582",--,0,-100.00,0,-100.00,"4,724,467",52.20,"4,569,927",55.26,"154,540",-3.91
2002Q1,"5,482,050",69.36,"5,479,889",69.29,"2,024,328",46.81,"2,327,086",121.42,"571,192",39.15,"557,283",40.51,"2,161",--,"1,330",--,831,--,0,--,0,--,"5,482,050",69.36,"5,327,714",86.92,"154,336",-60.08
2002Q2,"6,971,839",79.57,"6,968,684",79.49,"2,586,044",49.35,"2,844,765",115.93,"770,503",82.49,"767,372",86.56,"3,155",--,"2,282",--,873,--,0,--,0,--,"6,971,839",79.57,"6,740,290",90.52,"231,549",-32.83
2002Q3,"7,596,575",69.00,"7,594,201",69.53,"2,764,187",52.58,"3,215,313",83.03,"813,642",78.15,"801,059",76.22,"2,374",-84.42,"2,374",-70.76,0,-100.00,0,--,0,--,"7,596,575",69.00,"7,594,201",84.75,"2,374",-99.38
2002Q4,"7,285,569",54.21,"7,274,075",54.21,"2,299,115",22.58,"3,553,941",80.95,"704,981",58.98,"716,038",65.09,"11,494",51.60,697,--,"10,797",42.40,0,--,0,--,"7,285,569",54.21,"7,050,100",54.27,"235,469",52.37
2003Q1,"8,399,189",53.21,"8,374,849",52.83,"2,296,477",13.44,"4,301,822",84.86,"869,541",52.23,"907,009",62.76,"24,340","1,026.33","21,616","1,525.26","1,961",135.98,0,--,763,--,"8,399,189",53.21,"8,129,188",52.58,"270,001",74.94
2003Q2,"9,938,028",42.55,"9,916,838",42.31,"2,876,386",11.23,"5,086,761",78.81,"999,031",29.66,"954,660",24.41,"21,190",571.63,"13,180",477.56,"3,581",310.19,566,--,"3,863",--,"9,938,028",42.55,"9,595,244",42.36,"342,784",48.04
2003Q3,"12,543,205",65.12,"12,509,216",64.72,"3,844,538",39.08,"6,230,635",93.78,"1,200,329",47.53,"1,233,714",54.01,"33,989","1,331.72","6,961",193.22,"26,954",--,54,--,20,--,"12,543,205",65.12,"12,182,687",60.42,"360,518","15,086.10"
2003Q4,"13,562,069",86.15,"13,537,970",86.11,"3,499,630",52.22,"7,506,211",111.21,"1,312,586",86.19,"1,219,543",70.32,"24,099",109.67,"3,546",408.75,"20,553",90.36,0,--,0,--,"13,562,069",86.15,"13,099,187",85.80,"462,882",96.58
2004Q1,"18,206,563",116.77,"18,180,442",117.08,"4,608,519",100.68,"9,055,314",110.50,"2,131,170",145.09,"2,385,439",163.00,"26,121",7.32,"5,201",-75.94,"20,595",950.23,0,--,325,-57.40,"18,206,563",116.77,"17,415,573",114.24,"790,990",192.96
2004Q2,"20,343,223",104.70,"20,296,855",104.67,"4,964,231",72.59,"10,950,954",115.28,"2,017,760",101.97,"2,363,910",147.62,"46,368",118.82,"13,970",5.99,"32,274",801.26,1,-99.82,123,-96.82,"20,343,223",104.70,"19,487,457",103.09,"855,766",149.65
2004Q3,"20,879,273",66.46,"20,839,327",66.59,"4,978,449",29.49,"11,537,766",85.18,"1,977,069",64.71,"2,346,043",90.16,"39,946",17.53,"6,313",-9.31,"33,154",23.00,244,351.85,235,"1,075.00","20,879,273",66.46,"19,754,449",62.15,"1,124,824",212.00
2004Q4,"21,777,919",60.58,"21,744,959",60.62,"5,074,444",45.00,"12,368,768",64.78,"2,007,761",52.96,"2,293,986",88.10,"32,960",36.77,"3,286",-7.33,"28,777",40.01,448,--,449,--,"21,777,919",60.58,"20,489,251",56.42,"1,288,668",178.40
2005Q1,"23,646,478",29.88,"23,631,543",29.98,"5,184,049",12.49,"14,131,104",56.05,"1,977,572",-7.21,"2,338,818",-1.95,"14,935",-42.82,"3,464",-33.40,"11,469",-44.31,2,--,0,-100.00,"23,646,478",29.88,"22,363,567",28.41,"1,282,911",62.19
2005Q2,"25,644,074",26.06,"25,606,989",26.16,"5,484,853",10.49,"15,792,699",44.21,"1,974,503",-2.14,"2,354,934",-0.38,"37,085",-20.02,"5,282",-62.19,"31,794",-1.49,0,-100.00,9,-92.68,"25,644,074",26.06,"24,684,403",26.67,"959,671",12.14
2005Q3,"28,322,041",35.65,"28,262,367",35.62,"5,708,155",14.66,"17,707,961",53.48,"2,237,391",13.17,"2,608,860",11.20,"59,674",49.39,"12,538",98.61,"47,136",42.17,0,-100.00,0,-100.00,"28,322,041",35.65,"27,353,596",38.47,"968,445",-13.90
2005Q4,"30,020,099",37.85,"29,971,624",37.83,"7,257,529",43.02,"17,927,328",44.94,"2,193,957",9.27,"2,592,810",13.03,"48,475",47.07,"24,399",642.51,"24,076",-16.34,0,-100.00,0,-100.00,"30,020,099",37.85,"29,139,960",42.22,"880,139",-31.70
2006Q1,"32,290,957",36.56,"32,256,080",36.50,"7,142,953",37.79,"19,635,981",38.96,"2,500,658",26.45,"2,976,488",27.26,"34,877",133.53,"22,460",548.38,"12,098",5.48,189,"9,350.00",130,--,"32,290,957",36.56,"31,750,066",41.97,"540,891",-57.84
2006Q2,"36,349,067",41.74,"36,317,347",41.83,"7,867,575",43.44,"22,417,874",41.95,"2,758,516",39.71,"3,273,382",39.00,"31,720",-14.47,"6,825",29.21,"24,329",-23.48,296,--,270,"2,900.00","36,349,067",41.74,"35,812,841",45.08,"536,226",-44.12
2006Q3,"38,368,673",35.47,"38,255,793",35.36,"7,410,774",29.83,"24,727,363",39.64,"2,771,701",23.88,"3,345,955",28.25,"112,880",89.16,"65,768",424.55,"46,709",-0.91,403,--,0,--,"38,368,673",35.47,"37,783,938",38.13,"584,735",-39.62
2006Q4,"40,531,801",35.02,"40,478,678",35.06,"7,809,415",7.60,"26,007,906",45.07,"3,101,264",41.35,"3,560,093",37.31,"53,123",9.59,"30,542",25.18,"22,167",-7.93,414,--,0,--,"40,531,801",35.02,"39,957,903",37.12,"573,898",-34.79
2007Q1,"43,308,309",34.12,"42,919,959",33.06,"9,389,881",31.46,"26,886,132",36.92,"3,039,319",21.54,"3,604,627",21.10,"388,350","1,013.48","167,053",643.78,"221,048","1,727.14",203,7.41,46,-64.62,"43,308,309",34.12,"42,746,030",34.63,"562,279",3.95
2007Q2,"49,575,317",36.39,"47,486,839",30.76,"9,951,331",26.49,"30,065,246",34.11,"3,482,931",26.26,"3,987,331",21.81,"2,088,478","6,484.10","1,018,731","14,826.46","1,033,774","4,149.14","22,339","7,446.96","13,634","4,949.63","49,575,317",36.39,"49,005,580",36.84,"569,737",6.25
2007Q3,"52,785,698",37.57,"49,984,496",30.66,"9,231,510",24.57,"32,058,063",29.65,"4,125,868",48.86,"4,569,055",36.55,"2,801,202","2,381.58","1,315,572","1,900.32","1,464,140","3,034.60","9,952","2,369.48","11,538",--,"52,785,698",37.57,"52,208,298",38.18,"577,400",-1.25
2007Q4,"54,684,140",34.92,"51,795,153",27.96,"9,593,630",22.85,"33,253,829",27.86,"4,241,122",36.75,"4,706,572",32.20,"2,888,987","5,338.30","1,384,916","4,434.46","1,488,720","6,615.93","7,479","1,706.52","7,872",--,"54,684,140",34.92,"54,373,244",36.08,"310,896",-45.83
2008Q1,"57,720,819",33.28,"56,716,170",32.14,"10,981,262",16.95,"36,340,183",35.16,"4,547,036",49.61,"4,847,689",34.49,"1,004,649",158.70,"530,682",217.67,"452,641",104.77,"12,319","5,968.47","9,007","19,480.43","57,720,819",33.28,"57,381,288",34.24,"339,531",-39.62
2008Q2,"57,821,733",16.63,"56,667,734",19.33,"10,555,914",6.08,"38,032,178",26.50,"3,738,687",7.34,"4,340,955",8.87,"1,153,999",-44.74,"559,394",-45.09,"566,769",-45.17,"15,945",-28.62,"11,891",-12.78,"57,821,733",16.63,"57,533,532",17.40,"288,201",-49.42
2008Q3,"61,006,601",15.57,"60,053,734",20.14,"11,661,609",26.32,"40,736,256",27.07,"3,537,837",-14.25,"4,118,032",-9.87,"952,867",-65.98,"457,279",-65.24,"458,974",-68.65,"24,100",142.16,"12,514",8.46,"61,006,601",15.57,"60,732,431",16.33,"274,170",-52.52
2008Q4,"59,679,044",9.13,"58,683,316",13.30,"9,752,834",1.66,"41,873,940",25.92,"3,416,784",-19.44,"3,639,758",-22.67,"995,728",-65.53,"484,492",-65.02,"494,730",-66.77,"13,691",83.06,"2,815",-64.24,"59,679,044",9.13,"59,432,285",9.30,"246,759",-20.63
2009Q1,"63,533,238",10.07,"62,654,930",10.47,"9,949,401",-9.40,"46,059,052",26.74,"3,247,353",-28.58,"3,399,124",-29.88,"878,308",-12.58,"403,387",-23.99,"388,785",-14.11,"82,867",572.68,"3,269",-63.71,"63,533,238",10.07,"63,298,528",10.31,"234,710",-30.87
2009Q2,"66,819,124",15.56,"66,001,291",16.47,"10,961,627",3.84,"48,844,786",28.43,"3,043,259",-18.60,"3,151,619",-27.40,"817,833",-29.13,"371,105",-33.66,"358,489",-36.75,"81,729",412.57,"6,510",-45.25,"66,819,124",15.56,"66,599,378",15.76,"219,746",-23.75
2009Q3,"64,890,724",6.37,"64,080,784",6.71,"10,792,850",-7.45,"47,336,178",16.20,"2,942,163",-16.84,"3,009,593",-26.92,"809,940",-15.00,"362,930",-20.63,"350,225",-23.69,"87,027",261.11,"9,758",-22.02,"64,890,724",6.37,"64,675,209",6.49,"215,515",-21.39
2009Q4,"63,474,364",6.36,"62,935,307",7.25,"10,440,974",7.06,"47,086,904",12.45,"2,682,156",-21.50,"2,725,273",-25.12,"539,057",-45.86,"227,680",-53.01,"213,583",-56.83,"85,633",525.47,"12,161",332.01,"63,474,364",6.36,"62,988,300",5.98,"486,064",96.98
2010Q1,"58,202,083",-8.39,"57,715,723",-7.88,"11,796,163",18.56,"39,924,143",-13.32,"2,993,908",-7.80,"3,001,509",-11.70,"486,360",-44.63,"182,740",-54.70,"206,566",-46.87,"86,663",4.58,"10,391",217.86,"58,202,083",-8.39,"57,943,939",-8.46,"258,144",9.98
