期間,總計_原始值,總計_年增率(%),一般政務支出_原始值,一般政務支出_年增率(%),國防支出_原始值,國防支出_年增率(%),教育科學文化支出-合計_原始值,教育科學文化支出-合計_年增率(%),教育支出_原始值,教育支出_年增率(%),科學支出_原始值,科學支出_年增率(%),文化支出_原始值,文化支出_年增率(%),經濟發展支出-合計_原始值,經濟發展支出-合計_年增率(%),農業支出_原始值,農業支出_年增率(%),工業支出_原始值,工業支出_年增率(%),交通支出_原始值,交通支出_年增率(%),其他經濟服務支出_原始值,其他經濟服務支出_年增率(%),社會福利支出-合計_原始值,社會福利支出-合計_年增率(%),社會保險支出_原始值,社會保險支出_年增率(%),社會救助支出_原始值,社會救助支出_年增率(%),福利服務支出_原始值,福利服務支出_年增率(%),國民就業支出_原始值,國民就業支出_年增率(%),醫療保健支出_原始值,醫療保健支出_年增率(%),社區發展及環境保護支出-合計_原始值,社區發展及環境保護支出-合計_年增率(%),社區發展支出_原始值,社區發展支出_年增率(%),環境保護支出_原始值,環境保護支出_年增率(%),退休撫恤支出_原始值,退休撫恤支出_年增率(%),債務支出_原始值,債務支出_年增率(%),雜項支出_原始值,雜項支出_年增率(%)
1977,"187,660,328",28.01,"22,493,383",25.95,"47,004,775",26.99,"28,277,156",18.90,...,...,...,...,...,...,"66,693,298",40.10,...,...,...,...,...,...,...,...,"20,428,159",20.59,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"593,432",-22.20,"2,170,125",-17.56
1978,"221,479,429",18.02,"21,739,729",-3.35,"62,446,154",32.85,"38,989,763",37.88,...,...,...,...,...,...,"71,280,379",6.88,...,...,...,...,...,...,...,...,"24,489,167",19.88,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"368,455",-37.91,"2,165,782",-0.20
1979,"246,888,081",11.47,"24,936,438",14.70,"70,464,144",12.84,"41,227,731",5.74,...,...,...,...,...,...,"77,566,993",8.82,...,...,...,...,...,...,...,...,"29,117,728",18.90,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"338,920",-8.02,"3,236,127",49.42
1980,"340,362,650",37.86,"32,030,564",28.45,"103,141,034",46.37,"52,845,986",28.18,...,...,...,...,...,...,"108,859,513",40.34,...,...,...,...,...,...,...,...,"38,223,855",31.27,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"1,826,529",438.93,"3,435,169",6.15
1981,"425,731,392",25.08,"42,218,998",31.81,"104,623,350",1.44,"75,408,911",42.70,...,...,...,...,...,...,"145,365,077",33.53,...,...,...,...,...,...,...,...,"51,294,988",34.20,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"1,756,296",-3.85,"5,063,772",47.41
1982,"487,253,354",14.45,"50,137,264",18.76,"119,640,527",14.35,"87,421,674",15.93,...,...,...,...,...,...,"147,480,238",1.46,...,...,...,...,...,...,...,...,"71,818,948",40.01,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"2,391,035",36.14,"8,363,668",65.17
1983,"489,894,459",0.54,"54,479,854",8.66,"134,155,473",12.13,"96,266,845",10.12,...,...,...,...,...,...,"121,183,834",-17.83,...,...,...,...,...,...,...,...,"32,518,200",-54.72,...,...,...,...,...,...,...,...,...,...,"12,334,489",...,...,...,...,...,"30,936,101",...,"4,196,548",75.51,"3,823,115",-54.29
1984,"506,223,779",3.33,"53,647,863",-1.53,"123,417,611",-8.00,"98,563,617",2.39,...,...,...,...,...,...,"138,612,897",14.38,...,...,...,...,...,...,...,...,"33,911,201",4.28,...,...,...,...,...,...,...,...,...,...,"13,187,689",6.92,...,...,...,...,"34,863,023",12.69,"5,657,004",34.80,"4,362,874",14.12
1985,"546,337,833",7.92,"61,968,012",15.51,"135,242,585",9.58,"111,522,051",13.15,...,...,...,...,...,...,"138,021,357",-0.43,...,...,...,...,...,...,...,...,"34,279,484",1.09,...,...,...,...,...,...,...,...,...,...,"14,001,480",6.17,...,...,...,...,"40,462,210",16.06,"6,031,789",6.63,"4,808,865",10.22
1986,"616,717,846",12.88,"70,076,529",13.09,"153,587,770",13.56,"129,018,453",15.69,...,...,...,...,...,...,"154,534,271",11.96,...,...,...,...,...,...,...,...,"40,591,479",18.41,...,...,...,...,...,...,...,...,...,...,"15,785,575",12.74,...,...,...,...,"42,888,311",6.00,"5,394,101",-10.57,"4,841,357",0.68
1987,"641,910,820",4.09,"72,073,513",2.85,"148,798,300",-3.12,"133,700,061",3.63,...,...,...,...,...,...,"171,363,968",10.89,...,...,...,...,...,...,...,...,"37,085,134",-8.64,...,...,...,...,...,...,...,...,...,...,"18,265,813",15.71,...,...,...,...,"47,724,184",11.28,"6,988,774",29.56,"5,911,073",22.10
1988,"726,468,366",13.17,"80,222,307",11.31,"160,374,536",7.78,"147,182,528",10.08,...,...,...,...,...,...,"192,405,725",12.28,...,...,...,...,...,...,...,...,"55,169,160",48.76,...,...,...,...,...,...,...,...,...,...,"21,882,739",19.80,...,...,...,...,"55,242,402",15.75,"8,000,490",14.48,"5,988,479",1.31
1989,"1,207,350,774",66.19,"97,298,843",21.29,"187,907,780",17.17,"205,000,812",39.28,...,...,...,...,...,...,"541,384,677",181.38,...,...,...,...,...,...,...,...,"65,488,382",18.70,...,...,...,...,...,...,...,...,...,...,"26,103,761",19.29,...,...,...,...,"61,982,583",12.20,"10,701,208",33.76,"11,482,728",91.75
1990,"1,097,517,620",-9.10,"125,786,116",29.28,"210,974,301",12.28,"227,271,390",10.86,...,...,...,...,...,...,"302,280,978",-44.17,...,...,...,...,...,...,...,...,"96,207,023",46.91,...,...,...,...,...,...,...,...,...,...,"31,248,194",19.71,...,...,...,...,"76,245,588",23.01,"16,755,409",56.57,"10,748,621",-6.39
1991,"1,275,612,966",16.23,"153,277,555",21.86,"227,099,170",7.64,"288,076,713",26.75,"204,697,110",...,"45,678,509",...,"37,701,094",...,"322,087,225",6.55,"69,533,949",...,"28,024,490",...,"185,715,276",...,"38,813,510",...,"117,771,908",22.42,"33,378,237",...,"13,581,114",...,"46,373,817",...,"2,851,351",...,"21,587,389",...,"33,089,405",5.89,"8,199,618",...,"24,889,787",...,"88,320,429",15.84,"33,398,450",99.33,"12,492,111",16.22
1992,"1,561,930,419",22.45,"198,347,532",29.40,"239,397,750",5.42,"324,834,496",12.76,"260,857,835",27.44,"45,094,216",-1.28,"18,882,445",-49.92,"461,820,660",43.38,"196,127,272",182.06,"76,753,332",173.88,"108,383,334",-41.64,"80,556,722",107.55,"135,040,121",14.66,"46,765,305",40.11,"6,333,501",-53.37,"53,780,006",15.97,"2,800,759",-1.77,"25,360,550",17.48,"63,041,974",90.52,"16,414,338",100.18,"46,627,636",87.34,"94,974,892",7.53,"33,936,270",1.61,"10,536,724",-15.65
1993,"1,756,306,405",12.44,"208,961,440",5.35,"253,510,856",5.90,"350,350,636",7.86,"282,419,012",8.27,"44,142,594",-2.11,"23,789,030",25.98,"545,650,731",18.15,"71,604,248",-63.49,"128,415,516",67.31,"257,712,650",137.78,"87,918,317",9.14,"145,758,829",7.94,"47,640,393",1.87,"9,607,098",51.69,"57,838,334",7.55,"3,254,224",16.19,"27,418,780",8.12,"72,162,750",14.47,"18,676,812",13.78,"53,485,938",14.71,"102,076,160",7.48,"63,893,884",88.28,"13,941,119",32.31
1994,"1,826,367,353",3.99,"216,068,756",3.40,"321,821,071",26.95,"382,197,378",9.09,"313,143,923",10.88,"43,001,734",-2.58,"26,051,721",9.51,"468,080,258",-14.22,"129,709,888",81.15,"54,617,296",-57.47,"216,267,494",-16.08,"67,485,580",-23.24,"158,523,241",8.76,"50,490,710",5.98,"9,745,276",1.44,"65,957,161",14.04,"3,545,353",8.95,"28,784,741",4.98,"81,543,082",13.00,"22,968,344",22.98,"58,574,738",9.51,"111,237,222",8.97,"75,179,093",17.66,"11,717,252",-15.95
1995,"1,910,066,033",4.58,"222,402,786",2.93,"269,959,596",-16.12,"357,487,107",-6.47,"287,895,764",-8.06,"43,990,589",2.30,"25,600,754",-1.73,"438,151,793",-6.39,"89,798,540",-30.77,"36,028,060",-34.04,"264,186,155",22.16,"48,139,038",-28.67,"231,765,959",46.20,"94,748,863",87.66,"20,967,654",115.16,"83,448,718",26.52,"3,312,578",-6.57,"29,288,146",1.75,"65,308,700",-19.91,"17,077,372",-25.65,"48,231,328",-17.66,"118,121,466",6.19,"194,890,438",159.23,"11,978,188",2.23
1996,"1,843,786,165",-3.47,"243,973,347",9.70,"284,925,872",5.54,"374,401,210",4.73,"297,999,459",3.51,"50,453,333",14.69,"25,948,418",1.36,"329,134,666",-24.88,"86,219,699",-3.99,"24,728,502",-31.36,"168,164,969",-36.35,"50,021,496",3.91,"290,002,141",25.13,"125,545,340",32.50,"30,221,953",44.14,"100,833,486",20.83,"4,368,643",31.88,"29,032,719",-0.87,"68,035,315",4.17,"18,785,115",10.00,"49,250,200",2.11,"137,117,578",16.08,"106,061,008",-45.58,"10,135,028",-15.39
1997,"1,878,763,513",1.90,"244,756,745",0.32,"291,919,522",2.45,"375,822,384",0.38,"296,075,771",-0.65,"51,689,179",2.45,"28,057,434",8.13,"295,035,356",-10.36,"103,823,237",20.42,"18,415,768",-25.53,"132,232,818",-21.37,"40,563,533",-18.91,"294,982,386",1.72,"114,479,778",-8.81,"36,000,330",19.12,"111,140,605",10.22,"4,980,913",14.02,"28,380,760",-2.25,"68,614,425",0.85,"16,838,375",-10.36,"51,776,050",5.13,"179,722,760",31.07,"115,630,059",9.02,"12,279,876",21.16
1998,"1,992,593,487",6.06,"257,264,520",5.11,"312,285,876",6.98,"411,513,339",9.50,"326,163,029",10.16,"55,076,952",6.55,"30,273,358",7.90,"335,012,037",13.55,"109,785,707",5.74,"20,675,979",12.27,"141,243,177",6.81,"63,307,174",56.07,"282,766,789",-4.14,"116,843,162",2.06,"24,999,736",-30.56,"110,149,276",-0.89,"3,466,247",-30.41,"27,308,368",-3.78,"74,850,497",9.09,"16,801,309",-0.22,"58,049,188",12.12,"187,673,352",4.42,"115,895,991",0.23,"15,331,086",24.85
1999,"2,050,003,571",2.88,"279,112,624",8.49,"286,571,397",-8.23,"429,126,802",4.28,"333,217,766",2.16,"60,649,587",10.12,"35,259,449",16.47,"351,102,571",4.80,"98,947,434",-9.87,"21,040,941",1.77,"185,600,679",31.41,"45,513,517",-28.11,"280,452,253",-0.82,"111,787,882",-4.33,"23,603,337",-5.59,"114,610,225",4.05,"3,631,358",4.76,"26,819,451",-1.79,"90,310,238",20.65,"34,320,408",104.27,"55,989,830",-3.55,"180,581,725",-3.78,"140,910,319",21.58,"11,835,642",-22.80
2000,"3,140,936,188",53.22,"468,033,171",67.69,"357,757,242",24.84,"655,109,375",52.66,"517,069,882",55.17,"93,190,557",53.65,"44,848,936",27.20,"474,894,665",35.26,"140,334,855",41.83,"49,436,535",134.95,"218,688,201",17.83,"66,435,074",45.97,"531,808,684",89.63,"214,917,147",92.25,"94,368,148",299.81,"179,132,616",56.30,"3,271,125",-9.92,"40,119,648",49.59,"106,102,196",17.49,"36,884,909",7.47,"69,217,287",23.62,"265,079,307",46.79,"270,251,762",91.79,"11,899,786",0.54
2001,"2,271,755,089",-27.67,"328,736,317",-29.76,"247,596,630",-30.79,"430,077,788",-34.35,"326,657,881",-36.83,"67,846,600",-27.20,"35,573,307",-20.68,"398,792,298",-16.03,"128,098,837",-8.72,"23,180,271",-53.11,"201,420,962",-7.90,"46,092,228",-30.62,"396,980,708",-25.35,"201,574,123",-6.21,"39,016,143",-58.66,"126,861,977",-29.18,"2,899,722",-11.35,"26,628,743",-33.63,"109,597,063",3.29,"63,359,501",71.78,"46,237,562",-33.20,"175,722,182",-33.71,"171,565,232",-36.52,"12,686,871",6.61
2002,"2,144,993,677",-5.58,"325,814,942",-0.89,"225,243,316",-9.03,"437,755,693",1.79,"339,731,333",4.00,"69,838,992",2.94,"28,185,368",-20.77,"405,256,604",1.62,"110,932,362",-13.40,"17,695,018",-23.66,"192,982,966",-4.19,"83,646,258",81.48,"323,614,630",-18.48,"153,353,051",-23.92,"19,649,324",-49.64,"120,266,451",-5.20,"2,613,172",-9.88,"27,732,632",4.15,"71,702,031",-34.58,"20,541,578",-67.58,"51,160,453",10.65,"170,988,093",-2.69,"170,966,391",-0.35,"13,651,977",7.61
2003,"2,216,514,388",3.33,"331,884,833",1.86,"237,945,728",5.64,"464,185,814",6.04,"329,976,803",-2.87,"95,097,142",36.17,"39,111,869",38.77,"400,910,367",-1.07,"121,044,268",9.12,"25,972,403",46.78,"194,449,568",0.76,"59,444,128",-28.93,"346,911,365",7.20,"169,893,108",10.79,"18,179,791",-7.48,"120,560,600",0.24,"4,084,280",56.30,"34,193,586",23.30,"90,060,978",25.60,"31,534,747",53.52,"58,526,231",14.40,"173,222,747",1.31,"159,666,642",-6.61,"11,725,914",-14.11
2004,"2,245,046,575",1.29,"334,797,223",0.88,"253,018,886",6.33,"469,544,210",1.15,"341,396,488",3.46,"92,022,729",-3.23,"36,124,993",-7.64,"412,869,722",2.98,"138,459,513",14.39,"22,070,959",-15.02,"202,347,968",4.06,"49,991,282",-15.90,"347,557,298",0.19,"153,324,069",-9.75,"19,572,230",7.66,"138,847,875",15.17,"2,673,369",-34.54,"33,139,755",-3.08,"95,008,485",5.49,"38,711,995",22.76,"56,296,490",-3.81,"179,665,178",3.72,"139,331,407",-12.74,"13,254,166",13.03
2005,"2,291,999,146",2.09,"341,873,740",2.11,"247,472,367",-2.19,"473,242,782",0.79,"347,705,858",1.85,"93,907,549",2.05,"31,629,375",-12.44,"430,475,604",4.26,"144,983,653",4.71,"23,357,582",5.83,"214,577,721",6.04,"47,556,648",-4.87,"357,762,268",2.94,"162,221,618",5.80,"20,658,490",5.55,"144,470,532",4.05,"2,505,544",-6.28,"27,906,084",-15.79,"100,703,928",5.99,"38,428,927",-0.73,"62,275,001",10.62,"191,530,723",6.60,"132,639,396",-4.80,"16,298,338",22.97
2006,"2,214,225,610",-3.39,"345,237,340",0.98,"234,698,581",-5.16,"484,827,465",2.45,"358,296,679",3.05,"91,591,938",-2.47,"34,938,848",10.46,"341,944,135",-20.57,"95,926,332",-33.84,"19,172,090",-17.92,"185,087,342",-13.74,"41,758,371",-12.19,"370,302,873",3.51,"163,151,663",0.57,"20,295,051",-1.76,"153,396,153",6.18,"2,615,018",4.37,"30,844,988",10.53,"88,849,473",-11.77,"25,653,026",-33.25,"63,196,447",1.48,"196,962,845",2.84,"138,330,878",4.29,"13,072,020",-19.80
2007,"2,290,169,058",3.43,"343,950,300",-0.37,"255,853,615",9.01,"492,624,765",1.61,"362,618,086",1.21,"96,214,492",5.05,"33,792,187",-3.28,"383,297,576",12.09,"106,788,333",11.32,"16,004,160",-16.52,"218,338,059",17.96,"42,167,024",0.98,"372,202,180",0.51,"162,548,204",-0.37,"23,245,160",14.54,"151,322,244",-1.35,"2,479,923",-5.17,"32,606,649",5.71,"87,282,092",-1.76,"24,520,014",-4.42,"62,762,078",-0.69,"200,677,374",1.89,"139,379,732",0.76,"14,901,425",13.99
2008,"2,343,585,358",2.33,"350,499,656",1.90,"262,150,486",2.46,"495,515,006",0.59,"362,963,912",0.10,"95,126,209",-1.13,"37,424,885",10.75,"432,334,774",12.79,"112,827,383",5.66,"34,001,049",112.45,"234,604,149",7.45,"50,902,193",20.72,"368,136,275",-1.09,"147,650,876",-9.16,"25,558,545",9.95,"158,274,828",4.59,"2,252,153",-9.18,"34,399,873",5.50,"82,157,115",-5.87,"13,513,887",-44.89,"68,643,228",9.37,"202,228,244",0.77,"134,696,605",-3.36,"15,867,197",6.48
2009,"2,670,898,052",13.97,"357,411,638",1.97,"297,746,330",13.58,"581,535,127",17.36,"426,445,488",17.49,"99,762,352",4.87,"55,327,287",47.84,"601,895,782",39.22,"162,784,285",44.28,"38,154,666",12.22,"250,679,051",6.85,"150,277,780",195.23,"388,561,948",5.55,"189,263,236",28.18,"24,142,594",-5.54,"136,715,713",-13.62,"2,741,980",21.75,"35,698,425",3.77,"91,638,725",11.54,"18,952,943",40.25,"72,685,782",5.89,"205,291,378",1.51,"129,484,210",-3.87,"17,332,914",9.24
2010,"2,566,804,424",-3.90,"368,420,184",3.08,"286,928,926",-3.63,"554,254,019",-4.69,"407,821,720",-4.37,"103,567,862",3.81,"42,864,437",-22.53,"517,038,782",-14.10,"191,954,604",17.92,"36,690,962",-3.84,"228,048,666",-9.03,"60,344,550",-59.84,"415,356,194",6.90,"203,081,916",7.30,"30,835,106",27.72,"138,618,928",1.39,"4,783,718",74.46,"38,036,526",6.55,"89,388,160",-2.46,"12,046,812",-36.44,"77,341,348",6.41,"201,002,052",-2.09,"119,615,240",-7.62,"14,800,867",-14.61
2011,"2,612,946,994",1.80,"376,014,586",2.06,"288,888,993",0.68,"588,554,695",6.19,"441,637,008",8.29,"100,816,901",-2.66,"46,100,786",7.55,"473,800,957",-8.36,"171,021,327",-10.91,"27,865,223",-24.05,"232,558,360",1.98,"42,356,047",-29.81,"446,921,628",7.60,"225,292,952",10.94,"31,161,163",1.06,"147,751,355",6.59,"5,317,036",11.15,"37,399,122",-1.68,"88,872,217",-0.58,"8,859,138",-26.46,"80,013,079",3.45,"213,038,722",5.99,"121,120,096",1.26,"15,735,100",6.31
2012,"2,677,984,291",2.49,"388,759,130",3.39,"303,902,964",5.20,"595,622,173",1.20,"449,151,108",1.70,"100,061,169",-0.75,"46,409,896",0.67,"403,945,424",-14.74,"132,245,899",-22.67,"20,896,979",-25.01,"199,392,513",-14.26,"51,410,033",21.38,"540,440,045",20.93,"303,471,755",34.70,"36,627,757",17.54,"162,095,606",9.71,"3,387,609",-36.29,"34,857,318",-6.80,"85,379,929",-3.93,"11,398,575",28.66,"73,981,354",-7.54,"218,354,757",2.50,"124,936,926",3.15,"16,642,943",5.77
2013,"2,665,244,289",-0.48,"381,630,935",-1.83,"292,646,019",-3.70,"599,086,844",0.58,"452,145,528",0.67,"101,322,475",1.26,"45,618,841",-1.70,"393,644,472",-2.55,"141,935,262",7.33,"24,246,740",16.03,"190,149,330",-4.64,"37,313,140",-27.42,"536,916,218",-0.65,"321,011,194",5.78,"36,167,944",-1.26,"140,933,916",-13.06,"2,981,731",-11.98,"35,821,433",2.77,"104,936,489",22.91,"39,975,947",250.71,"64,960,542",-12.19,"209,679,987",-3.97,"128,453,149",2.81,"18,250,176",9.66
2014,"2,781,410,000",4.36,"397,070,000",4.05,"304,317,000",3.99,"640,951,000",6.99,...,...,...,...,...,...,"415,093,000",5.45,...,...,...,...,...,...,...,...,"534,268,000",-0.49,...,...,...,...,...,...,...,...,...,...,"74,565,000",-28.94,...,...,...,...,"223,911,000",6.79,"140,807,000",9.62,"50,428,000",176.32
