期間,發行部門-國外_原始值,發行部門-國外_年增率(%),持有部門-其他貨幣機構_原始值,持有部門-其他貨幣機構_年增率(%),持有部門-保險公司及退休基金_原始值,持有部門-保險公司及退休基金_年增率(%),持有部門-其他金融機構_原始值,持有部門-其他金融機構_年增率(%),持有部門-公營事業_原始值,持有部門-公營事業_年增率(%),持有部門-民營企業_原始值,持有部門-民營企業_年增率(%),持有部門-家庭及非營利團體_原始值,持有部門-家庭及非營利團體_年增率(%)
2000,"2,108,222",...,"48,391",...,-,...,"2,012",...,"4,157",...,"650,585",...,"1,403,077",...
2001,"2,377,570",12.78,"68,736",42.04,-,--,"3,165",57.28,"4,448",7.00,"759,987",16.82,"1,541,234",9.85
2002,"2,571,564",8.16,"75,811",10.29,-,--,"27,227",760.36,"5,801",30.42,"916,164",20.55,"1,546,561",0.35
2003,"2,758,496",7.27,"75,956",0.19,-,--,"36,389",33.65,"4,828",-16.77,"1,195,923",30.54,"1,445,400",-6.54
2004,"2,803,939",1.65,"76,971",1.34,29,--,"91,859",152.44,"6,123",26.82,"1,264,516",5.74,"1,364,441",-5.60
2005,"3,294,971",17.51,"86,151",11.93,29,0.00,"103,401",12.57,"6,566",7.24,"1,460,914",15.53,"1,637,910",20.04
2006,"3,889,660",18.05,"79,681",-7.51,"2,301","7,834.31","72,089",-30.28,"6,019",-8.33,"2,028,568",38.86,"1,701,002",3.85
2007,"4,795,028",23.28,"92,645",16.27,"3,764",63.58,"100,675",39.65,"6,050",0.52,"2,736,818",34.91,"1,855,076",9.06
2008,"5,244,430",9.37,"92,424",-0.24,"6,091",61.81,"118,657",17.86,"6,142",1.52,"3,158,575",15.41,"1,862,541",0.40
2009,"5,358,366",2.17,"97,719",5.73,"5,499",-9.71,"98,996",-16.57,"6,613",7.67,"3,367,733",6.62,"1,781,806",-4.33
2010,"5,527,563",3.16,"102,570",4.96,"6,350",15.47,"121,383",22.61,"6,573",-0.61,"3,676,806",9.18,"1,613,882",-9.42
2011,"6,351,066",14.90,"106,104",3.45,"6,449",1.57,"151,400",24.73,"6,174",-6.06,"4,365,057",18.72,"1,715,882",6.32
2012,"6,646,038",4.64,"112,283",5.82,"8,860",37.39,"206,309",36.27,"5,832",-5.54,"4,730,059",8.36,"1,582,695",-7.76
