期間,噸數(千公噸)-合計_原始值,噸數(千公噸)-合計_年增率(%),延噸公里(千噸公里)-合計_原始值,延噸公里(千噸公里)-合計_年增率(%),平均每噸貨物運距(公里)-合計_原始值,平均每噸貨物運距(公里)-合計_年增率(%),噸數(千公噸)-台鐵_原始值,噸數(千公噸)-台鐵_年增率(%),延噸公里(千噸公里)-台鐵_原始值,延噸公里(千噸公里)-台鐵_年增率(%),平均每噸貨物運距(公里)-台鐵_原始值,平均每噸貨物運距(公里)-台鐵_年增率(%),貨運收入(千元)-台鐵_原始值,貨運收入(千元)-台鐵_年增率(%),噸數(千公噸)-生產事業機構_原始值,噸數(千公噸)-生產事業機構_年增率(%),延噸公里(千噸公里)-生產事業機構_原始值,延噸公里(千噸公里)-生產事業機構_年增率(%)
2004M07,"1,400",8.94,"78,712",12.39,56.2,3.17,997,4.94,"78,282",12.43,78.5,7.14,"93,228",8.50,404,20.24,430,6.05
2004M08,"1,315",3.65,"70,910",1.86,53.9,-1.72,928,2.11,"70,479",1.83,75.9,-0.28,"83,476",1.21,386,7.54,431,7.68
2004M09,"1,329",-5.26,"68,782",-7.65,51.8,-2.52,943,-3.86,"68,377",-7.61,72.5,-3.90,"82,727",-4.78,385,-8.53,406,-13.99
2004M10,"1,435",0.26,"75,935",-1.74,52.9,-2.00,"1,017",0.65,"75,451",-1.75,74.2,-2.38,"91,506",1.74,418,-0.68,484,-1.23
2004M11,"1,434",10.03,"79,065",10.44,55.1,0.37,"1,038",12.39,"78,612",11.00,75.7,-1.24,"94,761",12.74,396,4.27,453,-40.99
2004M12,"1,454",-7.17,"79,934",11.39,55.0,20.00,"1,012",-0.60,"79,106",14.19,78.1,14.88,"95,054",16.08,442,-19.37,828,-66.63
2005M01,"1,640",11.06,"85,209",23.24,52.0,10.97,"1,114",18.24,"84,070",25.48,75.5,6.12,"101,031",25.30,525,-1.62,"1,139",-46.90
2005M02,"1,490",7.75,"63,703",-10.59,42.8,-17.02,935,2.84,"62,881",-8.94,67.3,-11.45,"75,246",-9.38,555,17.17,822,-62.55
2005M03,"1,815",21.43,"86,261",7.65,47.5,-11.35,"1,191",20.46,"85,118",8.51,71.5,-9.92,"102,093",10.04,624,23.33,"1,143",-32.26
2005M04,"1,597",7.72,"79,984",2.20,50.1,-5.13,"1,099",3.68,"79,458",2.14,72.3,-1.49,"94,154",1.25,498,17.85,526,12.18
2005M05,"1,663",20.06,"86,176",12.43,51.8,-6.35,"1,170",17.07,"85,691",12.48,73.3,-3.92,"101,546",13.11,493,27.79,485,4.56
2005M06,"1,625",18.42,"84,606",6.04,52.1,-10.45,"1,133",12.51,"84,119",6.03,74.2,-5.76,"101,976",8.86,491,34.73,487,8.03
2005M07,"1,531",9.37,"83,887",6.58,54.8,-2.55,"1,091",9.45,"83,443",6.59,76.5,-2.61,"102,545",9.99,441,9.16,443,3.11
2005M08,"1,684",28.12,"86,942",22.61,51.6,-4.30,"1,154",24.29,"86,437",22.64,74.9,-1.33,"101,534",21.63,530,37.33,505,17.26
2005M09,"1,439",8.30,"75,319",9.50,52.3,1.11,959,1.63,"74,864",9.49,78.1,7.73,"86,069",4.04,480,24.63,455,12.09
2005M10,"1,337",-6.88,"73,750",-2.88,55.2,4.30,916,-9.98,"73,322",-2.82,80.1,7.95,"85,627",-6.42,421,0.64,428,-11.55
2005M11,"1,511",5.39,"80,938",2.37,53.6,-2.87,"1,026",-1.15,"80,466",2.36,78.4,3.55,"94,434",-0.34,485,22.54,472,4.02
2005M12,"1,920",32.05,"94,800",18.60,49.4,-10.19,"1,257",24.18,"93,730",18.49,74.6,-4.59,"110,559",16.31,663,50.07,"1,071",29.27
2006M01,"1,653",0.82,"82,505",-3.17,49.9,-3.96,"1,080",-3.06,"81,325",-3.27,75.3,-0.21,"96,126",-4.86,573,9.06,"1,180",3.63
2006M02,"1,725",15.81,"77,871",22.24,45.1,5.55,"1,056",13.01,"75,472",20.02,71.5,6.21,"91,567",21.69,669,20.54,"2,398",191.84
2006M03,"1,615",-11.03,"86,306",0.05,53.4,12.45,"1,073",-9.91,"85,365",0.29,79.6,11.33,"99,632",-2.41,542,-13.15,941,-17.71
2006M04,"1,425",-10.78,"79,855",-0.16,56.0,11.90,983,-10.53,"79,398",-0.08,80.8,11.68,"93,404",-0.80,442,-11.33,458,-13.08
2006M05,"1,494",-10.14,"81,996",-4.85,54.9,5.89,"1,054",-9.92,"81,542",-4.84,77.4,5.64,"97,277",-4.20,440,-10.65,454,-6.40
2006M06,"1,562",-3.84,"83,481",-1.33,53.4,2.61,"1,085",-4.27,"82,999",-1.33,76.5,3.07,"98,445",-3.46,477,-2.84,482,-1.02
2006M07,"1,734",13.20,"88,265",5.22,50.9,-7.05,"1,172",7.40,"87,731",5.14,74.9,-2.11,"105,323",2.71,562,27.56,534,20.48
2006M08,"1,830",8.66,"92,016",5.84,50.3,-2.60,"1,214",5.18,"91,439",5.79,75.3,0.58,"107,105",5.49,616,16.23,577,14.27
2006M09,"1,628",13.13,"84,554",12.26,51.9,-0.77,"1,117",16.46,"84,046",12.26,75.3,-3.60,"98,152",14.04,511,6.47,508,11.65
2006M10,"1,774",32.71,"91,109",23.54,51.4,-6.91,"1,205",31.56,"90,540",23.48,75.1,-6.14,"105,579",23.30,569,35.21,569,32.95
2006M11,"1,438",-4.85,"77,046",-4.81,53.6,0.04,994,-3.17,"76,580",-4.83,77.1,-1.71,"89,760",-4.95,444,-8.40,466,-1.29
2006M12,"1,182",-38.43,"71,523",-24.55,60.5,22.53,835,-33.59,"70,746",-24.52,84.7,13.66,"82,525",-25.36,347,-47.60,777,-27.40
2007M01,"1,524",-7.84,"77,436",-6.14,50.8,1.84,"1,021",-5.49,"76,290",-6.19,74.7,-0.75,"90,634",-5.71,503,-12.28,"1,147",-2.81
2007M02,"1,146",-33.54,"56,828",-27.02,49.6,9.81,773,-26.78,"55,916",-25.91,72.3,1.18,"67,116",-26.70,373,-44.22,912,-61.96
2007M03,"1,554",-3.79,"78,182",-9.41,50.3,-5.85,"1,001",-6.65,"76,937",-9.87,76.8,-3.45,"89,473",-10.20,552,1.87,"1,245",32.31
2007M04,"1,455",2.09,"72,922",-8.68,50.1,-10.55,971,-1.21,"72,445",-8.76,74.6,-7.64,"84,046",-10.02,484,9.44,477,4.32
2007M05,"1,624",8.70,"81,132",-1.05,50.0,-8.97,"1,046",-0.71,"80,585",-1.17,77.0,-0.47,"92,815",-4.59,578,31.21,547,20.49
2007M06,"1,513",-3.15,"70,556",-15.48,46.6,-12.74,952,-12.28,"70,040",-15.61,73.6,-3.80,"79,820",-18.92,562,17.60,516,7.02
2007M07,"1,618",-6.68,"80,281",-9.05,49.6,-2.53,"1,047",-10.65,"79,745",-9.10,76.2,1.74,"90,591",-13.99,571,1.60,536,0.26
2007M08,"1,232",-32.67,"71,770",-22.00,58.2,15.85,818,-32.58,"71,344",-21.98,87.2,15.73,"81,225",-24.16,414,-32.86,426,-26.19
2007M09,"1,437",-11.74,"75,088",-11.20,52.3,0.62,947,-15.20,"74,610",-11.23,78.8,4.69,"85,826",-12.56,490,-4.18,478,-5.93
2007M10,"1,216",-31.46,"67,486",-25.93,55.5,8.06,837,-30.51,"67,091",-25.90,80.1,6.64,"75,850",-28.16,379,-33.46,395,-30.68
2007M11,"1,397",-2.82,"73,528",-4.57,52.6,-1.80,929,-6.56,"73,024",-4.64,78.6,2.05,"82,607",-7.97,469,5.55,504,8.32
2007M12,"1,663",40.62,"84,527",18.18,50.8,-15.96,"1,089",30.46,"83,710",18.33,76.9,-9.30,"94,142",14.08,573,65.02,817,5.07
2008M01,"1,722",13.04,"85,497",10.41,49.6,-2.33,"1,101",7.89,"84,143",10.29,76.4,2.23,"94,988",4.80,621,23.51,"1,354",18.08
2008M02,"1,053",-8.18,"53,817",-5.30,51.1,3.14,694,-10.33,"52,829",-5.52,76.2,5.36,"61,286",-8.69,359,-3.74,988,8.34
2008M03,"1,491",-4.01,"80,112",2.47,53.7,6.75,972,-2.93,"78,899",2.55,81.2,5.65,"89,513",0.04,519,-5.97,"1,212",-2.62
2008M04,"1,383",-4.95,"79,292",8.73,57.4,14.40,954,-1.76,"78,868",8.87,82.7,10.81,"79,689",-5.18,429,-11.37,424,-11.20
2008M05,"1,366",-15.87,"82,978",2.28,60.7,21.57,946,-9.57,"82,548",2.44,87.3,13.27,"101,494",9.35,420,-27.27,431,-21.27
2008M06,"1,255",-17.05,"73,857",4.68,58.8,26.19,854,-10.25,"73,451",4.87,86.0,16.84,"82,538",3.41,401,-28.57,406,-21.26
2008M07,"1,352",-16.41,"80,177",-0.13,59.3,19.47,913,-12.75,"79,752",0.01,87.3,14.63,"89,232",-1.50,439,-23.10,425,-20.63
2008M08,"1,451",17.74,"84,025",17.08,57.9,-0.56,968,18.28,"83,584",17.16,86.4,-0.95,"94,294",16.09,483,16.68,441,3.61
2008M09,"1,233",-14.17,"72,604",-3.31,58.9,12.65,839,-11.44,"72,209",-3.22,86.1,9.28,"81,458",-5.09,395,-19.44,395,-17.40
2008M10,"1,359",11.75,"82,574",22.36,60.8,9.50,936,11.79,"82,150",22.44,87.8,9.53,"94,062",24.01,423,11.65,425,7.61
2008M11,"1,392",-0.39,"76,752",4.38,55.1,4.80,939,1.12,"76,327",4.52,81.3,3.37,"69,741",-15.57,453,-3.39,425,-15.64
2008M12,"1,526",-8.23,"81,656",-3.40,53.5,5.26,990,-9.06,"80,530",-3.80,81.3,5.78,"108,748",15.51,535,-6.65,"1,125",37.79
2009M01,974,-43.46,"48,329",-43.47,49.6,-0.03,685,-37.77,"47,596",-43.43,69.4,-9.10,"55,431",-41.64,288,-53.54,733,-45.89
2009M02,"1,213",15.21,"53,944",0.24,44.5,-12.99,657,-5.33,"53,020",0.36,80.8,6.01,"58,986",-3.75,556,54.87,924,-6.47
2009M03,"1,243",-16.69,"60,991",-23.87,49.1,-8.62,803,-17.41,"60,100",-23.83,74.9,-7.77,"68,089",-23.93,440,-15.33,891,-26.52
2009M04,"1,137",-17.73,"63,193",-20.30,55.6,-3.13,802,-15.94,"62,918",-20.22,78.5,-5.10,"71,706",-10.02,336,-21.71,275,-35.12
2009M05,"1,098",-19.68,"60,392",-27.22,55.0,-9.39,792,-16.33,"60,130",-27.16,76.0,-12.94,"68,834",-32.18,306,-27.21,262,-39.13
2009M06,"1,134",-9.67,"63,600",-13.89,56.1,-4.66,811,-5.06,"63,129",-14.05,77.8,-9.48,"72,248",-12.47,323,-19.51,472,16.13
2009M07,"1,223",-9.59,"71,589",-10.71,58.6,-1.24,840,-7.98,"71,211",-10.71,84.7,-2.96,"82,072",-8.02,382,-12.94,379,-10.89
2009M08,"1,277",-11.97,"67,154",-20.08,52.6,-9.21,859,-11.28,"66,751",-20.14,77.7,-9.99,"78,124",-17.15,418,-13.36,403,-8.65
2009M09,"1,311",6.32,"72,381",-0.31,55.2,-6.23,887,5.82,"71,982",-0.31,81.1,-5.80,"84,089",3.23,424,7.37,399,1.19
2009M10,948,-30.20,"62,243",-24.62,65.6,8.00,651,-30.45,"61,932",-24.61,95.1,8.40,"71,090",-24.42,297,-29.66,312,-26.63
2009M11,"1,306",-6.18,"74,445",-3.01,57.0,3.38,899,-4.24,"74,052",-2.98,82.4,1.31,"86,271",23.70,407,-10.20,393,-7.55
2009M12,"1,282",-16.00,"77,761",-4.77,60.7,13.37,892,-9.97,"77,049",-4.32,86.4,6.27,"89,389",-17.80,390,-27.15,712,-36.74
2010M01,"1,477",51.71,"79,746",65.01,54.0,8.77,973,41.98,"78,874",65.71,81.0,16.71,"91,848",65.70,504,74.82,873,19.11
2010M02,"1,122",-7.44,"58,146",7.79,51.8,16.46,744,13.33,"57,481",8.41,77.2,-4.34,"67,177",13.88,378,-31.98,665,-28.09
2010M03,"1,353",8.87,"81,953",34.37,60.6,23.42,921,14.68,"81,053",34.86,88.0,17.60,"94,019",38.08,432,-1.74,900,1.03
2010M04,"1,440",26.63,"72,831",15.25,50.6,-8.98,902,12.48,"72,107",14.61,79.9,1.89,"83,681",16.70,538,60.44,724,163.29
2010M05,"1,266",15.32,"74,770",23.81,59.1,7.36,898,13.50,"74,394",23.72,82.8,9.01,"88,111",28.01,367,20.02,376,43.46
2010M06,"1,255",10.67,"73,344",15.32,58.5,4.20,865,6.64,"72,970",15.59,84.4,8.40,"83,346",15.36,390,20.80,373,-20.85
2010M07,"1,225",0.19,"75,066",4.86,61.3,4.66,854,1.58,"74,704",4.91,87.5,3.27,"84,333",2.76,371,-2.88,362,-4.48
2010M08,"1,164",-8.86,"75,021",11.72,64.4,22.57,842,-1.98,"74,694",11.90,88.7,14.17,"84,781",8.52,322,-22.96,327,-18.96
2010M09,"1,175",-10.36,"68,837",-4.90,58.6,6.10,825,-7.05,"68,521",-4.81,83.1,2.41,"78,330",-6.85,350,-17.32,316,-20.77
2010M10,"1,131",19.24,"69,971",12.41,61.9,-5.73,807,23.89,"69,650",12.46,86.4,-9.22,"79,825",12.29,324,9.06,321,2.91
2010M11,"1,257",-3.75,"72,617",-2.46,57.8,1.34,905,0.68,"72,321",-2.34,79.9,-2.99,"81,792",-5.19,352,-13.52,296,-24.81
2010M12,"1,241",-3.15,"70,219",-9.70,56.6,-6.77,891,-0.09,"69,532",-9.76,78.0,-9.68,"80,089",-10.40,350,-10.15,687,-3.49
2011M01,"1,252",-15.23,"72,685",-8.86,58.0,7.52,895,-8.01,"71,937",-8.79,80.4,-0.85,"83,281",-9.33,357,-29.16,747,-14.35
2011M02,"1,078",-3.92,"53,718",-7.62,49.8,-3.84,726,-2.49,"53,036",-7.73,73.1,-5.37,"62,026",-7.67,353,-6.73,682,2.54
2011M03,"1,361",0.58,"78,454",-4.27,57.7,-4.82,938,1.84,"77,431",-4.47,82.6,-6.19,"90,088",-4.18,423,-2.09,"1,023",13.65
2011M04,"1,227",-14.80,"74,809",2.71,61.0,20.56,920,2.00,"74,510",3.33,81.0,1.30,"85,942",2.70,307,-42.97,299,-58.68
2011M05,"1,227",-3.06,"72,575",-2.94,59.2,0.13,896,-0.26,"72,258",-2.87,80.6,-2.62,"83,456",-5.28,331,-9.93,317,-15.81
2011M06,"1,125",-10.31,"72,054",-1.76,64.0,9.54,837,-3.26,"71,754",-1.67,85.8,1.65,"83,355",0.01,289,-25.94,300,-19.67
2011M07,"1,194",-2.53,"72,462",-3.47,60.7,-0.96,889,4.18,"72,153",-3.41,81.1,-7.29,"83,457",-1.04,304,-17.99,309,-14.61
2011M08,"1,115",-4.25,"69,995",-6.70,62.8,-2.56,868,3.09,"69,726",-6.65,80.4,-9.45,"81,580",-3.78,247,-23.42,270,-17.42
2011M09,"1,209",2.91,"73,208",6.35,60.5,3.34,918,11.24,"72,902",6.39,79.4,-4.36,"85,287",8.88,292,-16.72,306,-3.32
2011M10,"1,051",-7.10,"65,973",-5.71,62.8,1.49,817,1.35,"65,671",-5.71,80.3,-6.97,"76,032",-4.75,233,-28.12,302,-5.98
2011M11,"1,238",-1.52,"70,919",-2.34,57.3,-0.83,934,3.21,"70,609",-2.37,75.6,-5.41,"82,336",0.67,304,-13.70,310,4.74
2011M12,"1,374",10.68,"76,510",8.96,55.7,-1.55,"1,023",14.86,"75,719",8.90,74.0,-5.19,"88,210",10.14,351,0.06,791,15.14
2012M01,"1,030",-17.74,"48,673",-33.04,47.2,-18.60,769,-14.12,"48,105",-33.13,62.6,-22.14,"56,199",-32.52,261,-26.81,568,-24.06
2012M02,"1,103",2.26,"58,480",8.86,53.0,6.46,839,15.61,"57,804",8.99,68.9,-5.72,"68,458",10.37,264,-25.18,676,-0.85
2012M03,"1,265",-7.03,"72,821",-7.18,57.6,-0.16,960,2.43,"72,230",-6.72,75.2,-8.93,"84,499",-6.20,305,-27.99,591,-42.25
2012M04,"1,240",1.09,"74,729",-0.11,60.2,-1.18,946,2.81,"74,147",-0.49,78.4,-3.21,"88,008",2.40,295,-4.07,582,94.65
2012M05,"1,283",4.57,"81,054",11.68,63.2,6.80,"1,013",13.02,"80,785",11.80,79.8,-1.08,"94,821",13.62,270,-18.29,269,-14.96
2012M06,"1,029",-8.60,"67,842",-5.85,66.0,3.01,816,-2.51,"67,618",-5.76,82.9,-3.34,"79,044",-5.17,213,-26.24,224,-25.36
2012M07,"1,307",9.47,"80,232",10.72,61.4,1.15,"1,013",13.92,"79,952",10.81,78.9,-2.73,"93,747",12.33,294,-3.53,280,-9.37
2012M08,"1,026",-7.94,"56,827",-18.81,55.4,-11.81,746,-14.07,"56,553",-18.89,75.8,-5.61,"65,864",-19.26,280,13.62,274,1.66
2012M09,"1,232",1.87,"73,360",0.21,59.6,-1.63,951,3.65,"73,030",0.17,76.8,-3.35,"84,387",-1.06,281,-3.73,331,8.13
2012M10,"1,275",21.33,"79,249",20.12,62.2,-0.99,"1,016",24.27,"78,995",20.29,77.8,-3.20,"91,436",20.26,259,11.01,253,-15.99
2012M11,"1,124",-9.22,"73,078",3.04,65.0,13.51,959,2.64,"72,890",3.23,76.0,0.57,"85,858",4.28,165,-45.73,188,-39.40
2012M12,992,-27.80,"66,758",-12.75,67.3,20.84,846,-17.32,"66,366",-12.35,78.4,6.01,"76,998",-12.71,146,-58.38,392,-50.51
2013M01,"1,133",10.00,"71,375",46.64,63.0,33.31,992,29.04,"70,757",47.09,71.3,13.99,"82,485",46.77,141,-46.00,617,8.79
2013M02,749,-32.07,"42,614",-27.13,56.9,7.27,653,-22.21,"42,190",-27.01,64.7,-6.18,"49,870",-27.15,97,-63.42,424,-37.24
2013M03,"1,058",-16.33,"69,540",-4.51,65.7,14.14,961,0.05,"69,129",-4.29,71.9,-4.35,"80,258",-5.02,97,-68.01,411,-30.42
2013M04,924,-25.50,"59,439",-20.46,64.3,6.77,873,-7.75,"59,395",-19.90,68.1,-13.17,"70,062",-20.39,51,-82.52,44,-92.38
2013M05,863,-32.72,"55,984",-30.93,64.9,2.66,859,-15.19,"55,972",-30.71,65.2,-18.31,"65,670",-30.74,4,-98.42,12,-95.66
2013M06,814,-20.88,"57,471",-15.29,70.6,7.07,806,-1.12,"57,456",-15.03,71.2,-14.07,"66,342",-16.07,7,-96.52,15,-93.47
2013M07,928,-28.99,"63,144",-21.30,68.0,10.84,922,-8.96,"63,138",-21.03,68.5,-13.26,"73,857",-21.22,6,-98.08,7,-97.61
2013M08,922,-10.16,"57,356",0.93,62.2,12.35,848,13.69,"57,306",1.33,67.6,-10.87,"67,654",2.72,74,-73.60,50,-81.87
2013M09,846,-31.30,"56,666",-22.76,67.0,12.44,846,-11.04,"56,664",-22.41,67.0,-12.78,"66,992",-20.61,0,-99.91,2,-99.27
2013M10,933,-26.79,"65,153",-17.79,69.8,12.29,933,-8.14,"65,152",-17.52,69.8,-10.22,"76,139",-16.73,0,-99.97,1,-99.57
2013M11,981,-12.72,"65,859",-9.88,67.1,3.25,981,2.28,"65,859",-9.65,67.1,-11.66,"78,945",-8.05,-,--,-,--
2013M12,"1,015",2.27,"64,578",-3.27,63.7,-5.41,985,16.45,"64,261",-3.17,65.2,-16.85,"76,446",-0.72,29,-79.97,316,-19.16
2014M01,986,-13.03,"59,910",-16.06,60.8,-3.48,930,-6.30,"59,381",-16.08,63.9,-10.44,"70,757",-14.22,56,-60.35,529,-14.32
2014M02,730,-2.53,"41,931",-1.60,57.4,0.95,687,5.27,"41,512",-1.61,60.4,-6.53,"49,950",0.16,43,-55.22,419,-1.11
2014M03,"1,066",0.75,"60,044",-13.66,56.3,-14.30,"1,008",4.88,"59,469",-13.97,59.0,-17.98,"71,333",-11.12,59,-39.97,575,39.87
2014M04,950,2.78,"57,753",-2.84,60.8,-5.47,942,7.91,"57,684",-2.88,61.3,-10.00,"67,820",-3.20,8,-84.21,69,55.45
2014M05,950,10.04,"58,520",4.53,61.6,-5.00,949,10.48,"58,514",4.54,61.7,-5.38,"68,729",4.66,1,-79.81,6,-49.78
2014M06,906,11.36,"55,696",-3.09,61.5,-12.98,905,12.26,"55,686",-3.08,61.5,-13.66,"66,896",0.84,1,-86.10,10,-32.10
2014M07,910,-1.93,"57,013",-9.71,62.6,-7.93,909,-1.42,"57,004",-9.71,62.7,-8.41,"66,892",-9.43,1,-84.55,9,29.00
