期間,機動車輛數(輛) - 合計_原始值,機動車輛數(輛) - 合計_年增率(%),機動車輛數(輛) - 汽車 (不含軍車)_原始值,機動車輛數(輛) - 汽車 (不含軍車)_年增率(%),機動車輛數(輛) - 機車_原始值,機動車輛數(輛) - 機車_年增率(%),肇事總件數(件)_原始值,肇事總件數(件)_年增率(%),肇事率(件/萬輛)_原始值,肇事率(件/萬輛)_年增率(%),A1類件數(件)_原始值,A1類件數(件)_年增率(%),A1類死亡人數(人)_原始值,A1類死亡人數(人)_年增率(%),A1類受傷人數(人)_原始值,A1類受傷人數(人)_年增率(%),A2類件數(件)_原始值,A2類件數(件)_年增率(%),A2類受傷人數(人)_原始值,A2類受傷人數(人)_年增率(%),A1類肇事件數按肇事原因(件) - 汽(機、慢)車駕駛人_原始值,A1類肇事件數按肇事原因(件) - 汽(機、慢)車駕駛人_年增率(%),A1類肇事件數按肇事原因(件) - 機件_原始值,A1類肇事件數按肇事原因(件) - 機件_年增率(%),A1類肇事件數按肇事原因(件) - 行人(或乘客)_原始值,A1類肇事件數按肇事原因(件) - 行人(或乘客)_年增率(%),A1類肇事件數按肇事原因(件) - 交通管制(設施)_原始值,A1類肇事件數按肇事原因(件) - 交通管制(設施)_年增率(%),A1類肇事件數按肇事原因(件) - 其他_原始值,A1類肇事件數按肇事原因(件) - 其他_年增率(%)
2000M01,"16,375,878",...,"5,384,785",...,"10,991,093",...,"3,893",...,2.38,-,228,...,242,...,110,...,"3,665",...,"4,680",...,224,...,2,...,1,...,0,...,1,...
2000M02,"16,423,704",...,"5,395,403",...,"11,028,301",...,"3,086",...,1.88,-,198,...,218,...,102,...,"2,888",...,"3,745",...,194,...,1,...,2,...,1,...,0,...
2000M03,"16,458,347",...,"5,392,777",...,"11,065,570",...,"3,525",...,2.14,-,270,...,293,...,138,...,"3,255",...,"4,230",...,267,...,2,...,1,...,0,...,0,...
2000M04,"16,532,431",...,"5,406,194",...,"11,126,237",...,"3,753",...,2.28,-,244,...,259,...,139,...,"3,509",...,"4,543",...,234,...,4,...,6,...,0,...,0,...
2000M05,"16,560,218",...,"5,421,514",...,"11,138,704",...,"4,400",...,2.66,-,267,...,275,...,110,...,"4,133",...,"5,465",...,265,...,1,...,0,...,1,...,0,...
2000M06,"16,618,046",...,"5,442,371",...,"11,175,675",...,"4,480",...,2.70,-,300,...,311,...,152,...,"4,180",...,"5,436",...,293,...,2,...,5,...,0,...,0,...
2000M07,"16,679,251",...,"5,460,837",...,"11,218,414",...,"4,555",...,2.74,-,263,...,282,...,148,...,"4,292",...,"5,728",...,259,...,2,...,2,...,0,...,0,...
2000M08,"16,771,059",...,"5,512,973",...,"11,258,086",...,"4,691",...,2.80,-,267,...,286,...,124,...,"4,424",...,"5,804",...,261,...,2,...,3,...,1,...,0,...
2000M09,"16,845,887",...,"5,538,202",...,"11,307,685",...,"4,581",...,2.73,-,264,...,272,...,122,...,"4,317",...,"5,726",...,260,...,2,...,2,...,0,...,0,...
2000M10,"16,919,426",...,"5,563,793",...,"11,355,633",...,"5,313",...,3.15,-,296,...,310,...,128,...,"5,017",...,"6,703",...,290,...,3,...,2,...,1,...,0,...
2000M11,"16,968,352",...,"5,578,243",...,"11,390,109",...,"5,126",...,3.03,-,290,...,306,...,108,...,"4,836",...,"6,346",...,282,...,3,...,5,...,0,...,0,...
2000M12,"17,022,689",...,"5,599,517",...,"11,423,172",...,"5,549",...,3.26,-,320,...,334,...,160,...,"5,229",...,"6,948",...,312,...,2,...,6,...,0,...,0,...
2001M01,"17,074,074",4.26,"5,627,706",4.51,"11,446,368",4.14,"5,439",39.71,3.19,-,339,48.68,356,47.11,148,34.55,"5,100",39.15,"6,630",41.67,328,46.43,4,100.00,7,600.00,0,--,0,-100.00
2001M02,"17,121,351",4.25,"5,643,186",4.59,"11,478,165",4.08,"4,573",48.19,2.67,-,253,27.78,274,25.69,102,0.00,"4,320",49.58,"5,553",48.28,247,27.32,2,100.00,4,100.00,0,-100.00,0,--
2001M03,"17,171,744",4.33,"5,658,980",4.94,"11,512,764",4.04,"5,513",56.40,3.22,-,271,0.37,290,-1.02,133,-3.62,"5,242",61.04,"6,776",60.19,265,-0.75,2,0.00,4,300.00,0,--,0,--
2001M04,"17,189,428",3.97,"5,662,231",4.74,"11,527,197",3.60,"5,261",40.18,3.06,-,252,3.28,278,7.34,161,15.83,"5,009",42.75,"6,479",42.62,244,4.27,2,-50.00,6,0.00,0,--,0,--
2001M05,"17,228,532",4.04,"5,678,132",4.73,"11,550,400",3.70,"5,497",24.93,3.19,-,274,2.62,293,6.55,135,22.73,"5,223",26.37,"6,712",22.82,263,-0.75,3,200.00,8,--,0,-100.00,0,--
