期間,機動車輛數(輛) - 合計_原始值,機動車輛數(輛) - 合計_年增率(%),機動車輛數(輛) - 汽車 (不含軍車)_原始值,機動車輛數(輛) - 汽車 (不含軍車)_年增率(%),機動車輛數(輛) - 機車_原始值,機動車輛數(輛) - 機車_年增率(%),肇事總件數(件)_原始值,肇事總件數(件)_年增率(%),肇事率(件/萬輛)_原始值,肇事率(件/萬輛)_年增率(%),A1類件數(件)_原始值,A1類件數(件)_年增率(%),A1類死亡人數(人)_原始值,A1類死亡人數(人)_年增率(%),A1類受傷人數(人)_原始值,A1類受傷人數(人)_年增率(%),A2類件數(件)_原始值,A2類件數(件)_年增率(%),A2類受傷人數(人)_原始值,A2類受傷人數(人)_年增率(%),A1類肇事件數按肇事原因(件) - 汽(機、慢)車駕駛人_原始值,A1類肇事件數按肇事原因(件) - 汽(機、慢)車駕駛人_年增率(%),A1類肇事件數按肇事原因(件) - 機件_原始值,A1類肇事件數按肇事原因(件) - 機件_年增率(%),A1類肇事件數按肇事原因(件) - 行人(或乘客)_原始值,A1類肇事件數按肇事原因(件) - 行人(或乘客)_年增率(%),A1類肇事件數按肇事原因(件) - 交通管制(設施)_原始值,A1類肇事件數按肇事原因(件) - 交通管制(設施)_年增率(%),A1類肇事件數按肇事原因(件) - 其他_原始值,A1類肇事件數按肇事原因(件) - 其他_年增率(%)
2001M06,"17,269,620",3.92,"5,692,999",4.61,"11,576,621",3.59,"5,124",14.38,2.97,-,239,-20.33,251,-19.29,129,-15.13,"4,885",16.87,"6,399",17.72,234,-20.14,1,-50.00,4,-20.00,0,--,0,--
2001M07,"17,312,924",3.80,"5,705,860",4.49,"11,607,064",3.46,"5,318",16.75,3.08,-,242,-7.98,258,-8.51,97,-34.46,"5,076",18.27,"6,661",16.29,234,-9.65,4,100.00,3,50.00,0,--,1,--
2001M08,"17,360,978",3.52,"5,719,648",3.75,"11,641,330",3.40,"5,581",18.97,3.22,-,260,-2.62,277,-3.15,145,16.94,"5,321",20.28,"6,953",19.80,253,-3.07,2,0.00,5,66.67,0,-100.00,0,--
2001M09,"17,406,748",3.33,"5,726,881",3.41,"11,679,867",3.29,"4,896",6.88,2.82,-,226,-14.39,233,-14.34,87,-28.69,"4,670",8.18,"5,958",4.05,224,-13.85,1,-50.00,1,-50.00,0,--,0,--
2001M10,"17,435,691",3.05,"5,727,976",2.95,"11,707,715",3.10,"5,687",7.04,3.26,-,258,-12.84,272,-12.26,118,-7.81,"5,429",8.21,"7,149",6.65,253,-12.76,2,-33.33,3,50.00,0,-100.00,0,--
2001M11,"17,465,820",2.93,"5,738,327",2.87,"11,727,493",2.96,"5,773",12.62,3.31,-,267,-7.93,282,-7.84,116,7.41,"5,506",13.85,"7,039",10.92,259,-8.16,2,-33.33,6,20.00,0,--,0,--
2001M12,"17,465,037",2.60,"5,731,835",2.36,"11,733,202",2.71,"5,602",0.96,3.21,-,261,-18.44,280,-16.17,119,-25.62,"5,341",2.14,"6,813",-1.94,254,-18.59,3,50.00,4,-33.33,0,--,0,--
2002M01,"17,508,750",2.55,"5,758,288",2.32,"11,750,462",2.66,"6,147",13.02,3.52,-,275,-18.88,293,-17.70,117,-20.95,"5,872",15.14,"7,487",12.93,270,-17.68,2,-50.00,3,-57.14,0,--,0,--
2002M02,"17,544,368",2.47,"5,770,243",2.25,"11,774,125",2.58,"5,202",13.75,2.97,-,188,-25.69,201,-26.64,89,-12.75,"5,014",16.06,"6,463",16.39,181,-26.72,3,50.00,4,0.00,0,--,0,--
2002M03,"17,567,184",2.30,"5,770,156",1.96,"11,797,028",2.47,"5,998",8.80,3.42,-,226,-16.61,232,-20.00,114,-14.29,"5,772",10.11,"7,434",9.71,220,-16.98,1,-50.00,5,25.00,0,--,0,--
2002M04,"17,596,468",2.37,"5,778,578",2.05,"11,817,890",2.52,"6,427",22.16,3.66,-,231,-8.33,236,-15.11,119,-26.09,"6,196",23.70,"8,046",24.19,225,-7.79,1,-50.00,5,-16.67,0,--,0,--
2002M05,"17,644,900",2.42,"5,797,416",2.10,"11,847,484",2.57,"6,973",26.85,3.96,-,227,-17.15,235,-19.80,100,-25.93,"6,746",29.16,"8,785",30.88,217,-17.49,4,33.33,5,-37.50,0,--,1,--
2002M06,"17,695,136",2.46,"5,815,164",2.15,"11,879,972",2.62,"6,775",32.22,3.83,-,227,-5.02,233,-7.17,69,-46.51,"6,548",34.04,"8,422",31.61,222,-5.13,1,0.00,4,0.00,0,--,0,--
2002M07,"17,750,170",2.53,"5,834,441",2.25,"11,915,729",2.66,"7,585",42.63,4.28,-,214,-11.57,224,-13.18,126,29.90,"7,371",45.21,"9,572",43.70,209,-10.68,0,-100.00,4,33.33,1,--,0,-100.00
2002M08,"17,799,150",2.52,"5,847,409",2.23,"11,951,741",2.67,"7,632",36.75,4.29,-,210,-19.23,234,-15.52,120,-17.24,"7,422",39.49,"9,657",38.89,204,-19.37,4,100.00,1,-80.00,0,--,1,--
2002M09,"17,853,306",2.57,"5,862,898",2.38,"11,990,408",2.66,"7,393",51.00,4.15,-,223,-1.33,232,-0.43,81,-6.90,"7,170",53.53,"9,346",56.86,211,-5.80,3,200.00,8,700.00,0,--,1,--
2002M10,"17,876,542",2.53,"5,883,473",2.71,"11,993,069",2.44,"8,659",52.26,4.85,-,242,-6.20,250,-8.09,141,19.49,"8,417",55.04,"11,086",55.07,225,-11.07,5,150.00,11,266.67,0,--,1,--
2002M11,"17,894,423",2.45,"5,902,692",2.86,"11,991,731",2.25,"8,809",52.59,4.93,-,221,-17.23,233,-17.38,122,5.17,"8,588",55.98,"11,157",58.50,218,-15.83,1,-50.00,2,-66.67,0,--,0,--
2002M12,"17,906,957",2.53,"5,923,200",3.34,"11,983,757",2.14,"8,659",54.57,4.84,-,241,-7.66,258,-7.86,86,-27.73,"8,418",57.61,"10,855",59.33,234,-7.87,1,-66.67,5,25.00,1,--,0,--
2003M01,"17,951,937",2.53,"5,952,790",3.38,"11,999,147",2.12,"10,175",65.53,5.68,-,260,-5.45,277,-5.46,114,-2.56,"9,915",68.85,"12,836",71.44,254,-5.93,1,-50.00,5,66.67,0,--,0,--
2003M02,"17,967,139",2.41,"5,955,519",3.21,"12,011,620",2.02,"7,977",53.34,4.44,-,203,7.98,209,3.98,99,11.24,"7,774",55.05,"10,285",59.14,192,6.08,1,-66.67,9,125.00,1,--,0,--
2003M03,"18,002,305",2.48,"5,968,580",3.44,"12,033,725",2.01,"9,798",63.35,5.45,-,192,-15.04,204,-12.07,55,-51.75,"9,606",66.42,"12,625",69.83,184,-16.36,2,100.00,6,20.00,0,--,0,--
2003M04,"18,034,555",2.49,"5,983,009",3.54,"12,051,546",1.98,"9,705",51.00,5.39,-,203,-12.12,208,-11.86,70,-41.18,"9,502",53.36,"12,446",54.69,196,-12.89,2,100.00,5,0.00,0,--,0,--
2003M05,"18,085,551",2.50,"6,005,145",3.58,"12,080,406",1.97,"9,772",40.14,5.41,-,209,-7.93,213,-9.36,65,-35.00,"9,563",41.76,"12,492",42.20,204,-5.99,0,-100.00,5,0.00,0,--,0,-100.00
2003M06,"18,142,821",2.53,"6,027,757",3.66,"12,115,064",1.98,"9,800",44.65,5.41,-,183,-19.38,203,-12.88,107,55.07,"9,617",46.87,"12,675",50.50,176,-20.72,2,100.00,5,25.00,0,--,0,--
2003M07,"18,215,069",2.62,"6,054,980",3.78,"12,160,089",2.05,"10,401",37.13,5.72,-,225,5.14,236,5.36,86,-31.75,"10,176",38.05,"13,458",40.60,215,2.87,4,--,6,50.00,0,-100.00,0,--
2003M08,"18,269,895",2.64,"6,068,445",3.78,"12,201,450",2.09,"9,915",29.91,5.44,-,220,4.76,229,-2.14,124,3.33,"9,695",30.63,"12,873",33.30,213,4.41,1,-75.00,6,500.00,0,--,0,-100.00
2003M09,"18,364,797",2.86,"6,086,804",3.82,"12,277,993",2.40,"9,733",31.65,5.31,-,234,4.93,246,6.03,150,85.19,"9,499",32.48,"12,562",34.41,230,9.00,2,-33.33,2,-75.00,0,--,0,-100.00
2003M10,"18,422,766",3.06,"6,108,061",3.82,"12,314,705",2.68,"10,854",25.35,5.90,-,205,-15.29,230,-8.00,177,25.53,"10,649",26.52,"14,254",28.58,192,-14.67,1,-80.00,12,9.09,0,--,0,-100.00
2003M11,"18,465,223",3.19,"6,129,644",3.84,"12,335,579",2.87,"10,310",17.04,5.59,-,220,-0.45,237,1.72,78,-36.07,"10,090",17.49,"13,357",19.72,211,-3.21,0,-100.00,9,350.00,0,--,0,--
2003M12,"18,500,658",3.32,"6,133,794",3.56,"12,366,864",3.20,"11,783",36.08,6.38,-,218,-9.54,226,-12.40,137,59.30,"11,565",37.38,"15,178",39.82,207,-11.54,3,200.00,7,40.00,1,0.00,0,--
2004M01,"18,557,796",3.37,"6,170,215",3.65,"12,387,581",3.24,"11,083",8.92,5.98,-,213,-18.08,228,-17.69,131,14.91,"10,870",9.63,"14,304",11.44,200,-21.26,1,0.00,12,140.00,0,--,0,--
2004M02,"18,593,499",3.49,"6,184,874",3.85,"12,408,625",3.31,"10,636",33.33,5.73,-,201,-0.99,206,-1.44,120,21.21,"10,435",34.23,"13,651",32.73,191,-0.52,1,0.00,8,-11.11,0,-100.00,1,--
2004M03,"18,646,915",3.58,"6,203,014",3.93,"12,443,901",3.41,"11,158",13.88,5.99,-,197,2.60,204,0.00,96,74.55,"10,961",14.11,"14,380",13.90,187,1.63,0,-100.00,9,50.00,0,--,1,--
2004M04,"18,698,995",3.68,"6,222,576",4.00,"12,476,419",3.53,"10,829",11.58,5.80,-,194,-4.43,207,-0.48,85,21.43,"10,635",11.92,"14,054",12.92,181,-7.65,3,50.00,10,100.00,0,--,0,--
2004M05,"18,749,007",3.67,"6,239,680",3.91,"12,509,327",3.55,"11,736",20.10,6.27,-,224,7.18,241,13.15,127,95.38,"11,512",20.38,"15,362",22.97,215,5.39,2,--,7,40.00,0,--,0,--
2004M06,"18,812,455",3.69,"6,261,511",3.88,"12,550,944",3.60,"11,247",14.77,5.99,-,194,6.01,205,0.99,80,-25.23,"11,053",14.93,"14,726",16.18,190,7.95,0,-100.00,4,-20.00,0,--,0,--
2004M07,"18,905,423",3.79,"6,303,875",4.11,"12,601,548",3.63,"11,238",8.05,5.96,-,205,-8.89,217,-8.05,101,17.44,"11,033",8.42,"14,445",7.33,197,-8.37,2,-50.00,6,0.00,0,--,0,--
2004M08,"18,949,737",3.72,"6,317,563",4.11,"12,632,174",3.53,"10,946",10.40,5.78,-,161,-26.82,172,-24.89,77,-37.90,"10,785",11.24,"14,328",11.30,155,-27.23,2,100.00,4,-33.33,0,--,0,--
2004M09,"19,018,022",3.56,"6,331,056",4.01,"12,686,966",3.33,"11,315",16.25,5.96,-,224,-4.27,233,-5.28,103,-31.33,"11,091",16.76,"14,496",15.40,209,-9.13,3,50.00,12,500.00,0,--,0,--
2004M10,"19,099,584",3.67,"6,352,571",4.00,"12,747,013",3.51,"12,333",13.63,6.47,-,221,7.80,239,3.91,108,-38.98,"12,112",13.74,"16,146",13.27,213,10.94,1,0.00,7,-41.67,0,--,0,--
2004M11,"19,147,702",3.70,"6,376,138",4.02,"12,771,564",3.53,"12,054",16.92,6.30,-,223,1.36,230,-2.95,98,25.64,"11,831",17.25,"15,675",17.35,210,-0.47,2,--,11,22.22,0,--,0,--
2004M12,"19,183,136",3.69,"6,389,186",4.16,"12,793,950",3.45,"12,646",7.32,6.60,-,245,12.39,252,11.50,122,-10.95,"12,401",7.23,"16,293",7.35,230,11.11,3,0.00,12,71.43,0,-100.00,0,--
2005M01,"19,269,378",3.83,"6,446,923",4.48,"12,822,455",3.51,"12,783",15.34,6.65,-,211,-0.94,225,-1.32,86,-34.35,"12,572",15.66,"16,324",14.12,201,0.50,0,-100.00,10,-16.67,0,--,0,--
2005M02,"19,311,058",3.86,"6,459,686",4.44,"12,851,372",3.57,"9,994",-6.04,5.18,-,160,-20.40,167,-18.93,102,-15.00,"9,834",-5.76,"12,825",-6.05,152,-20.42,1,0.00,7,-12.50,0,--,0,-100.00
2005M03,"19,366,735",3.86,"6,481,382",4.49,"12,885,353",3.55,"12,514",12.15,6.47,-,240,21.83,246,20.59,132,37.50,"12,274",11.98,"15,995",11.23,232,24.06,1,--,7,-22.22,0,--,0,-100.00
2005M04,"19,408,391",3.79,"6,502,005",4.49,"12,906,386",3.45,"12,279",13.39,6.33,-,200,3.09,208,0.48,119,40.00,"12,079",13.58,"16,020",13.99,196,8.29,1,-66.67,3,-70.00,0,--,0,--
2005M05,"19,460,385",3.79,"6,525,276",4.58,"12,935,109",3.40,"13,370",13.92,6.88,-,250,11.61,259,7.47,132,3.94,"13,120",13.97,"17,194",11.93,233,8.37,1,-50.00,15,114.29,1,--,0,--
2005M06,"19,523,951",3.78,"6,552,094",4.64,"12,971,857",3.35,"12,844",14.20,6.59,-,223,14.95,235,14.63,113,41.25,"12,621",14.19,"16,576",12.56,212,11.58,1,--,10,150.00,0,--,0,--
2005M07,"19,601,881",3.68,"6,589,654",4.53,"13,012,227",3.26,"13,017",15.83,6.65,-,207,0.98,215,-0.92,94,-6.93,"12,810",16.11,"16,926",17.18,197,0.00,0,-100.00,9,50.00,0,--,1,--
2005M08,"19,649,915",3.69,"6,597,782",4.44,"13,052,133",3.32,"12,993",18.70,6.62,-,213,32.30,227,31.98,111,44.16,"12,780",18.50,"16,632",16.08,209,34.84,0,-100.00,4,0.00,0,--,0,--
2005M09,"19,740,519",3.80,"6,622,602",4.61,"13,117,917",3.40,"13,245",17.06,6.72,-,227,1.34,242,3.86,95,-7.77,"13,018",17.37,"17,299",19.34,223,6.70,0,-100.00,4,-66.67,0,--,0,--
2005M10,"19,791,663",3.62,"6,635,364",4.45,"13,156,299",3.21,"13,957",13.17,7.06,-,254,14.93,266,11.30,132,22.22,"13,703",13.14,"18,484",14.48,244,14.55,5,400.00,5,-28.57,0,--,0,--
2005M11,"19,829,054",3.56,"6,647,230",4.25,"13,181,824",3.21,"14,164",17.50,7.15,-,268,20.18,281,22.17,127,29.59,"13,896",17.45,"18,524",18.18,256,21.90,0,-100.00,10,-9.09,1,--,1,--
2005M12,"19,862,807",3.54,"6,667,542",4.36,"13,195,265",3.14,"14,654",15.88,7.38,-,314,28.16,323,28.17,140,14.75,"14,340",15.64,"18,905",16.03,300,30.43,0,-100.00,14,16.67,0,--,0,--
2006M01,"19,912,431",3.34,"6,698,513",3.90,"13,213,918",3.05,"14,029",9.75,7.05,-,324,53.55,333,48.00,152,76.74,"13,705",9.01,"18,062",10.65,309,53.73,0,--,13,30.00,1,--,1,--
2006M02,"19,938,794",3.25,"6,692,625",3.61,"13,246,169",3.07,"11,436",14.43,5.74,-,194,21.25,202,20.96,66,-35.29,"11,242",14.32,"14,813",15.50,188,23.68,1,0.00,5,-28.57,0,--,0,--
2006M03,"19,971,953",3.13,"6,698,812",3.35,"13,273,141",3.01,"13,140",5.00,6.58,-,274,14.17,288,17.07,91,-31.06,"12,866",4.82,"16,937",5.89,260,12.07,1,0.00,12,71.43,0,--,1,--
2006M04,"19,996,131",3.03,"6,703,621",3.10,"13,292,510",2.99,"12,429",1.22,6.22,-,237,18.50,246,18.27,119,0.00,"12,192",0.94,"16,167",0.92,222,13.27,2,100.00,12,300.00,0,--,1,--
2006M05,"20,032,243",2.94,"6,714,429",2.90,"13,317,814",2.96,"14,091",5.39,7.04,-,250,0.00,262,1.16,101,-23.48,"13,841",5.50,"18,377",6.88,245,5.15,0,-100.00,5,-66.67,0,-100.00,0,--
2006M06,"20,071,354",2.80,"6,720,965",2.58,"13,350,389",2.92,"13,421",4.49,6.69,-,255,14.35,267,13.62,118,4.42,"13,166",4.32,"17,308",4.42,246,16.04,1,0.00,7,-30.00,1,--,0,--
2006M07,"20,120,824",2.65,"6,733,211",2.18,"13,387,613",2.88,"13,523",3.89,6.73,-,227,9.66,243,13.02,99,5.32,"13,296",3.79,"17,502",3.40,220,11.68,1,--,5,-44.44,1,--,0,-100.00
2006M08,"20,155,742",2.57,"6,731,514",2.03,"13,424,228",2.85,"13,198",1.58,6.55,-,230,7.98,235,3.52,94,-15.32,"12,968",1.47,"17,335",4.23,222,6.22,0,--,7,75.00,1,--,0,--
2006M09,"20,220,450",2.43,"6,739,350",1.76,"13,481,100",2.77,"12,986",-1.96,6.43,-,233,2.64,236,-2.48,100,5.26,"12,753",-2.04,"17,006",-1.69,224,0.45,1,--,8,100.00,0,--,0,--
2006M10,"20,252,522",2.33,"6,738,263",1.55,"13,514,259",2.72,"14,320",2.60,7.08,-,267,5.12,286,7.52,129,-2.27,"14,053",2.55,"19,116",3.42,260,6.56,0,-100.00,7,40.00,0,--,0,--
2006M11,"20,286,685",2.31,"6,744,617",1.47,"13,542,068",2.73,"13,835",-2.32,6.83,-,229,-14.55,234,-16.73,102,-19.69,"13,606",-2.09,"18,268",-1.38,224,-12.50,0,--,4,-60.00,0,-100.00,1,0.00
2006M12,"20,307,197",2.24,"6,750,169",1.24,"13,557,028",2.74,"14,489",-1.13,7.14,-,279,-11.15,308,-4.64,130,-7.14,"14,210",-0.91,"18,984",0.42,271,-9.67,0,--,8,-42.86,0,--,0,--
2007M01,"20,341,288",2.15,"6,761,403",0.94,"13,579,885",2.77,"14,080",0.36,6.93,-,243,-25.00,253,-24.02,65,-57.24,"13,837",0.96,"18,131",0.38,234,-24.27,1,--,8,-38.46,0,-100.00,0,-100.00
2007M02,"20,368,314",2.15,"6,765,783",1.09,"13,602,531",2.69,"11,678",2.12,5.74,-,189,-2.58,202,0.00,73,10.61,"11,489",2.20,"15,207",2.66,182,-3.19,0,-100.00,7,40.00,0,--,0,--
2007M03,"20,405,743",2.17,"6,763,936",0.97,"13,641,807",2.78,"13,050",-0.68,6.40,-,218,-20.44,227,-21.18,72,-20.88,"12,832",-0.26,"16,901",-0.21,213,-18.08,1,0.00,4,-66.67,0,--,0,-100.00
2007M04,"20,426,218",2.15,"6,758,216",0.81,"13,668,002",2.82,"13,240",6.53,6.49,-,199,-16.03,206,-16.26,88,-26.05,"13,041",6.96,"17,387",7.55,190,-14.41,2,0.00,7,-41.67,0,--,0,-100.00
2007M05,"20,454,883",2.11,"6,760,522",0.69,"13,694,361",2.83,"14,563",3.35,7.12,-,225,-10.00,241,-8.02,107,5.94,"14,338",3.59,"19,198",4.47,217,-11.43,0,--,8,60.00,0,--,0,--
2007M06,"20,487,647",2.07,"6,764,750",0.65,"13,722,897",2.79,"13,823",3.00,6.75,-,165,-35.29,174,-34.83,88,-25.42,"13,658",3.74,"18,260",5.50,159,-35.37,1,0.00,5,-28.57,0,-100.00,0,--
2007M07,"20,535,992",2.06,"6,763,640",0.45,"13,772,352",2.87,"14,562",7.68,7.10,-,212,-6.61,220,-9.47,89,-10.10,"14,350",7.93,"19,305",10.30,204,-7.27,2,100.00,5,0.00,1,0.00,0,--
2007M08,"20,566,546",2.04,"6,759,944",0.42,"13,806,602",2.85,"12,811",-2.93,6.23,-,171,-25.65,176,-25.11,86,-8.51,"12,640",-2.53,"16,694",-3.70,168,-24.32,1,--,2,-71.43,0,-100.00,0,--
2007M09,"20,624,291",2.00,"6,763,900",0.36,"13,860,391",2.81,"13,666",5.24,6.64,-,210,-9.87,214,-9.32,70,-30.00,"13,456",5.51,"18,218",7.13,196,-12.50,1,0.00,13,62.50,0,--,0,--
2007M10,"20,658,192",2.00,"6,764,015",0.38,"13,894,177",2.81,"14,362",0.29,6.96,-,203,-23.97,207,-27.62,78,-39.53,"14,159",0.75,"19,141",0.13,197,-24.23,1,--,3,-57.14,2,--,0,--
2007M11,"20,687,529",1.98,"6,767,672",0.34,"13,919,857",2.79,"13,743",-0.66,6.65,-,202,-11.79,209,-10.68,98,-3.92,"13,541",-0.48,"18,216",-0.28,193,-13.84,2,--,7,75.00,0,--,0,-100.00
2007M12,"20,711,754",1.99,"6,768,281",0.27,"13,943,473",2.85,"14,393",-0.66,6.95,-,226,-19.00,244,-20.78,92,-29.23,"14,167",-0.30,"19,263",1.47,215,-20.66,1,--,10,25.00,0,--,0,--
2008M01,"20,748,261",2.00,"6,778,218",0.25,"13,970,043",2.87,"14,860",5.54,7.17,-,202,-16.87,208,-17.79,62,-4.62,"14,658",5.93,"19,435",7.19,194,-17.09,0,-100.00,8,0.00,0,--,0,--
2008M02,"20,770,882",1.98,"6,773,982",0.12,"13,996,900",2.90,"11,917",2.05,5.74,-,170,-10.05,179,-11.39,62,-15.07,"11,747",2.25,"15,596",2.56,164,-9.89,0,--,5,-28.57,0,--,1,--
2008M03,"20,802,481",1.94,"6,772,554",0.13,"14,029,927",2.85,"13,579",4.05,6.53,-,176,-19.27,178,-21.59,97,34.72,"13,403",4.45,"18,078",6.96,169,-20.66,2,100.00,4,0.00,1,--,0,--
2008M04,"20,840,003",2.03,"6,765,322",0.11,"14,074,681",2.98,"13,306",0.50,6.39,-,168,-15.58,177,-14.08,67,-23.86,"13,138",0.74,"17,830",2.55,164,-13.68,1,-50.00,3,-57.14,0,--,0,--
2008M05,"20,878,856",2.07,"6,761,686",0.02,"14,117,170",3.09,"14,464",-0.68,6.93,-,197,-12.44,204,-15.35,131,22.43,"14,267",-0.50,"19,265",0.35,190,-12.44,1,--,6,-25.00,0,--,0,--
2008M06,"20,921,117",2.12,"6,754,041",-0.16,"14,167,076",3.24,"13,795",-0.20,6.60,-,162,-1.82,168,-3.45,78,-11.36,"13,633",-0.18,"18,293",0.18,157,-1.26,1,0.00,4,-20.00,0,--,0,--
2008M07,"20,952,496",2.03,"6,746,332",-0.26,"14,206,164",3.15,"13,876",-4.71,6.63,-,163,-23.11,166,-24.55,86,-3.37,"13,713",-4.44,"18,461",-4.37,156,-23.53,2,0.00,5,0.00,0,-100.00,0,--
2008M08,"20,967,476",1.95,"6,738,391",-0.32,"14,229,085",3.06,"13,926",8.70,6.64,-,161,-5.85,166,-5.68,78,-9.30,"13,765",8.90,"18,751",12.32,157,-6.55,2,100.00,2,0.00,0,--,0,--
2008M09,"21,015,079",1.89,"6,733,873",-0.44,"14,281,206",3.04,"13,766",0.73,6.56,-,173,-17.62,175,-18.22,79,12.86,"13,593",1.02,"18,260",0.23,167,-14.80,1,0.00,5,-61.54,0,--,0,--
2008M10,"21,048,631",1.89,"6,732,746",-0.46,"14,315,885",3.04,"15,044",4.75,7.15,-,202,-0.49,207,0.00,92,17.95,"14,842",4.82,"20,298",6.04,196,-0.51,2,100.00,4,33.33,0,-100.00,0,--
2008M11,"21,068,657",1.84,"6,730,807",-0.54,"14,337,850",3.00,"14,971",8.94,7.11,-,185,-8.42,196,-6.22,76,-22.45,"14,786",9.19,"19,988",9.73,177,-8.29,3,50.00,5,-28.57,0,--,0,--
2008M12,"21,092,358",1.84,"6,726,916",-0.61,"14,365,442",3.03,"16,623",15.49,7.89,-,191,-15.49,200,-18.03,75,-18.48,"16,432",15.99,"22,185",15.17,186,-13.49,1,0.00,3,-70.00,1,--,0,--
