期間,市區_原始值,市區_年增率(%),市區_原始值,市區_年增率(%),市區_原始值,市區_年增率(%),市區_原始值,市區_年增率(%),市區_原始值,市區_年增率(%),市區_原始值,市區_年增率(%),市區_原始值,市區_年增率(%),市區_原始值,市區_年增率(%),公路_原始值,公路_年增率(%),公路_原始值,公路_年增率(%),公路_原始值,公路_年增率(%),公路_原始值,公路_年增率(%),公路_原始值,公路_年增率(%),公路_原始值,公路_年增率(%),公路_原始值,公路_年增率(%),公路_原始值,公路_年增率(%)
2001M01,"9,696",...,"4,936",...,"2,204,677",...,"21,499",...,"59,875",...,"460,952",...,7.7,...,"703,575",...,"53,237",...,"5,330",...,"1,115,924",...,"56,083",...,"27,163",...,"726,268",...,26.7,...,"1,107,554",...
2001M02,"9,600",...,"4,958",...,"2,158,126",...,"20,847",...,"61,085",...,"470,339",...,7.7,...,"785,557",...,"52,752",...,"5,335",...,"1,030,087",...,"50,759",...,"25,216",...,"690,679",...,27.4,...,"1,023,015",...
2001M03,"9,559",...,"4,943",...,"2,477,104",...,"24,003",...,"70,706",...,"549,242",...,7.8,...,"973,263",...,"53,561",...,"5,327",...,"1,170,887",...,"57,002",...,"29,206",...,"757,609",...,25.9,...,"1,136,311",...
2001M04,"9,551",...,"4,936",...,"2,365,120",...,"23,000",...,"64,960",...,"503,037",...,7.7,...,"889,089",...,"52,885",...,"5,311",...,"1,119,403",...,"55,671",...,"28,358",...,"761,148",...,26.8,...,"1,134,409",...
2001M05,"9,639",...,"4,913",...,"2,504,612",...,"24,332",...,"70,335",...,"546,353",...,7.8,...,"964,831",...,"52,872",...,"5,254",...,"1,166,109",...,"57,437",...,"29,674",...,"754,583",...,25.4,...,"1,126,464",...
2001M06,"9,627",...,"4,955",...,"2,410,937",...,"23,568",...,"64,393",...,"504,526",...,7.8,...,"884,847",...,"54,013",...,"5,331",...,"1,104,798",...,"55,192",...,"25,718",...,"714,644",...,27.8,...,"1,057,536",...
2001M07,"9,667",...,"4,985",...,"2,424,606",...,"23,870",...,"62,667",...,"493,868",...,7.9,...,"871,500",...,"58,170",...,"6,081",...,"1,081,961",...,"56,193",...,"21,220",...,"739,964",...,34.9,...,"1,079,058",...
2001M08,"9,676",...,"4,973",...,"2,485,503",...,"24,500",...,"66,015",...,"520,301",...,7.9,...,"919,001",...,"60,214",...,"6,119",...,"1,101,242",...,"58,317",...,"22,326",...,"791,001",...,35.4,...,"1,174,765",...
2001M09,"9,725",...,"4,970",...,"2,287,679",...,"22,494",...,"63,241",...,"497,724",...,7.9,...,"877,203",...,"59,945",...,"6,160",...,"1,048,598",...,"55,090",...,"21,922",...,"712,859",...,32.5,...,"1,095,881",...
2001M10,"9,868",...,"5,015",...,"2,552,274",...,"25,089",...,"76,137",...,"600,284",...,7.9,...,"1,050,164",...,"60,040",...,"6,202",...,"1,143,940",...,"59,050",...,"25,843",...,"772,206",...,29.9,...,"1,165,750",...
2001M11,"9,990",...,"5,036",...,"2,524,975",...,"24,762",...,"73,349",...,"577,725",...,7.9,...,"1,009,288",...,"59,620",...,"6,189",...,"1,115,767",...,"57,327",...,"24,202",...,"746,118",...,30.8,...,"1,118,763",...
2001M12,"9,919",...,"4,993",...,"2,603,006",...,"25,497",...,"71,577",...,"564,643",...,7.9,...,"987,536",...,"60,235",...,"6,259",...,"1,134,847",...,"59,701",...,"24,160",...,"780,465",...,32.3,...,"1,157,531",...
