期間,合計_人次,合計_千人率(0/00),傷病_人次,傷病_千人率(0/00),失能_人次,失能_千人率(0/00),死亡_人次,死亡_千人率(0/00)
1999M01,"2,786",0.366,"2,313",0.304,419,0.055,54,0.007
1999M02,"1,950",0.257,"1,643",0.217,268,0.035,39,0.005
1999M03,"2,835",0.375,"2,384",0.315,389,0.051,62,0.008
1999M04,"2,616",0.345,"2,201",0.290,378,0.050,37,0.005
1999M05,"2,797",0.369,"2,342",0.309,402,0.053,53,0.007
1999M06,"2,724",0.359,"2,260",0.298,400,0.053,64,0.008
1999M07,"3,156",0.413,"2,681",0.351,413,0.054,62,0.008
1999M08,"2,786",0.365,"2,334",0.306,395,0.052,57,0.007
1999M09,"2,568",0.335,"2,203",0.287,324,0.042,41,0.005
1999M10,"3,018",0.392,"2,589",0.336,362,0.047,67,0.009
1999M11,"3,354",0.435,"2,711",0.351,592,0.077,51,0.007
1999M12,"3,119",0.403,"2,583",0.334,473,0.061,63,0.008
2000M01,"3,301",0.425,"2,777",0.358,474,0.061,50,0.006
2000M02,"2,246",0.291,"1,911",0.247,308,0.040,27,0.003
2000M03,"3,109",0.402,"2,603",0.336,449,0.058,57,0.007
2000M04,"3,022",0.390,"2,539",0.327,435,0.056,48,0.006
2000M05,"3,359",0.432,"2,861",0.368,443,0.057,55,0.007
2000M06,"3,240",0.415,"2,771",0.355,410,0.053,59,0.008
2000M07,"3,362",0.427,"2,794",0.355,508,0.065,60,0.008
2000M08,"3,461",0.440,"2,979",0.378,431,0.055,51,0.006
2000M09,"3,232",0.410,"2,747",0.348,423,0.054,62,0.008
2000M10,"3,273",0.414,"2,838",0.359,389,0.049,46,0.006
2000M11,"3,737",0.472,"3,229",0.408,461,0.058,47,0.006
2000M12,"3,520",0.445,"3,004",0.379,476,0.060,40,0.005
2001M01,"2,736",0.388,"2,339",0.332,361,0.050,36,0.006
2001M02,"2,726",0.277,"2,345",0.236,352,0.038,29,0.003
2001M03,"3,491",0.378,"3,016",0.324,435,0.048,40,0.006
2001M04,"2,957",0.384,"2,478",0.329,446,0.049,33,0.006
2001M05,"3,373",0.413,"2,852",0.352,465,0.056,56,0.006
2001M06,"3,376",0.375,"2,918",0.323,412,0.047,46,0.005
2001M07,"3,359",0.416,"2,934",0.358,383,0.052,42,0.006
2001M08,"3,433",0.408,"2,951",0.356,418,0.046,64,0.006
2001M09,"3,033",0.389,"2,679",0.339,313,0.045,41,0.005
2001M10,"3,224",0.444,"2,761",0.391,401,0.048,62,0.006
2001M11,"3,506",0.409,"3,025",0.354,424,0.049,57,0.006
2001M12,"3,172",0.365,"2,706",0.319,429,0.042,37,0.005
2002M01,"3,022",0.388,"2,586",0.332,387,0.050,49,0.006
2002M02,"2,149",0.277,"1,830",0.236,297,0.038,22,0.003
2002M03,"2,932",0.378,"2,512",0.324,374,0.048,46,0.006
2002M04,"2,983",0.384,"2,555",0.329,381,0.049,47,0.006
2002M05,"3,217",0.413,"2,737",0.352,434,0.056,46,0.006
2002M06,"2,928",0.375,"2,520",0.323,366,0.047,42,0.005
2002M07,"3,256",0.416,"2,801",0.358,411,0.052,44,0.006
2002M08,"3,203",0.408,"2,796",0.356,362,0.046,45,0.006
2002M09,"3,049",0.389,"2,659",0.339,354,0.045,36,0.005
2002M10,"3,494",0.444,"3,071",0.391,376,0.048,47,0.006
2002M11,"3,222",0.409,"2,793",0.354,385,0.049,44,0.006
2002M12,"2,871",0.365,"2,503",0.319,329,0.042,39,0.005
2003M01,"3,091",0.393,"2,697",0.343,347,0.044,47,0.006
2003M02,"2,377",0.302,"2,103",0.267,248,0.032,26,0.003
2003M03,"3,230",0.410,"2,866",0.364,336,0.043,28,0.004
2003M04,"3,304",0.418,"2,917",0.369,356,0.045,31,0.004
2003M05,"1,723",0.218,"1,388",0.175,310,0.039,25,0.003
2003M06,"2,554",0.323,"2,205",0.279,319,0.040,30,0.004
2003M07,"3,775",0.473,"3,334",0.418,405,0.051,36,0.005
2003M08,"2,835",0.354,"2,480",0.309,322,0.040,33,0.004
2003M09,"3,362",0.419,"2,971",0.370,351,0.044,40,0.005
2003M10,"3,294",0.408,"2,961",0.367,293,0.036,40,0.005
2003M11,"3,550",0.438,"3,154",0.389,368,0.045,28,0.003
2003M12,"3,393",0.419,"3,037",0.375,319,0.039,37,0.005
2004M01,"2,298",0.284,"2,021",0.250,250,0.031,27,0.003
2004M02,"2,643",0.325,"2,355",0.290,267,0.033,21,0.003
2004M03,"3,119",0.383,"2,726",0.335,345,0.042,48,0.006
2004M04,"3,575",0.437,"3,188",0.390,360,0.044,27,0.003
2004M05,"3,017",0.368,"2,687",0.328,310,0.038,20,0.002
2004M06,"3,416",0.415,"3,086",0.375,306,0.037,24,0.003
2004M07,"3,127",0.377,"2,798",0.337,292,0.035,37,0.004
2004M08,"3,252",0.393,"2,903",0.350,312,0.038,37,0.004
2004M09,"3,505",0.422,"3,160",0.381,313,0.038,32,0.004
2004M10,"3,398",0.407,"3,075",0.368,294,0.035,29,0.003
2004M11,"3,453",0.412,"3,103",0.371,318,0.038,32,0.004
2004M12,"3,352",0.402,"2,992",0.359,328,0.039,32,0.004
2005M01,"3,403",0.407,"3,068",0.367,306,0.037,29,0.003
2005M02,"2,188",0.263,"1,963",0.236,207,0.025,18,0.002
2005M03,"3,163",0.380,"2,801",0.337,333,0.040,29,0.003
2005M04,"2,751",0.330,"2,470",0.296,256,0.031,25,0.003
2005M05,"3,175",0.382,"2,847",0.342,308,0.037,20,0.002
2005M06,"3,289",0.397,"2,951",0.356,302,0.036,36,0.004
2005M07,"2,534",0.301,"2,265",0.269,242,0.029,27,0.003
2005M08,"3,363",0.397,"3,016",0.356,310,0.037,37,0.004
2005M09,"3,526",0.415,"3,227",0.380,257,0.030,42,0.005
2005M10,"3,177",0.373,"2,871",0.337,276,0.032,30,0.004
2005M11,"3,454",0.404,"3,108",0.363,295,0.034,51,0.006
2005M12,"3,325",0.389,"3,018",0.353,269,0.031,38,0.004
2006M01,"3,243",0.379,"2,955",0.345,267,0.031,21,0.002
2006M02,"2,261",0.265,"2,067",0.242,174,0.020,20,0.002
2006M03,"3,381",0.396,"3,045",0.356,304,0.036,32,0.004
2006M04,"2,789",0.325,"2,523",0.294,243,0.028,23,0.003
2006M05,"3,046",0.355,"2,716",0.316,305,0.036,25,0.003
2006M06,"3,520",0.410,"3,191",0.372,298,0.035,31,0.004
2006M07,"3,285",0.381,"2,960",0.343,292,0.034,33,0.004
2006M08,"3,686",0.427,"3,333",0.386,320,0.037,33,0.004
2006M09,"3,621",0.418,"3,321",0.383,270,0.031,30,0.003
2006M10,"3,267",0.377,"2,954",0.341,290,0.033,23,0.003
2006M11,"3,558",0.410,"3,254",0.375,273,0.031,31,0.004
2006M12,"3,327",0.383,"3,019",0.348,285,0.033,23,0.003
2007M01,"3,456",0.397,"3,120",0.359,310,0.036,26,0.003
2007M02,"2,299",0.265,"2,091",0.241,190,0.022,18,0.002
2007M03,"3,046",0.351,"2,744",0.316,271,0.031,31,0.004
2007M04,"2,834",0.326,"2,571",0.296,241,0.028,22,0.003
2007M05,"3,337",0.384,"3,044",0.350,269,0.031,24,0.003
2007M06,"3,205",0.368,"2,921",0.336,262,0.030,22,0.003
