期間,流通卡數(千張)_原始值,流通卡數(千張)_年增率(%),簽帳金額-合計(新臺幣百萬元)_原始值,簽帳金額-合計(新臺幣百萬元)_年增率(%),簽帳金額-國內(新臺幣百萬元)_原始值,簽帳金額-國內(新臺幣百萬元)_年增率(%),簽帳金額-國外(新臺幣百萬元)_原始值,簽帳金額-國外(新臺幣百萬元)_年增率(%),預借現金-合計(新臺幣百萬元)_原始值,預借現金-合計(新臺幣百萬元)_年增率(%),預借現金-國內(新臺幣百萬元)_原始值,預借現金-國內(新臺幣百萬元)_年增率(%),預借現金-國外(新臺幣百萬元)_原始值,預借現金-國外(新臺幣百萬元)_年增率(%),循環信用餘額(新臺幣百萬元)_原始值,循環信用餘額(新臺幣百萬元)_年增率(%)
2005M12,"45,494",2.97,"129,617",1.91,"123,089",1.93,"6,528",1.54,"14,083",-30.72,"13,936",-30.82,147,-19.67,"494,711",8.03
2006M01,"45,112",1.35,"125,471",0.36,"119,640",0.42,"5,831",-0.95,"10,796",-45.01,"10,672",-45.14,124,-32.17,"493,401",6.44
2006M02,"44,477",-0.30,"103,492",2.83,"97,090",2.17,"6,402",14.08,"8,175",-42.59,"8,067",-42.78,108,-23.40,"483,996",3.27
2006M03,"43,675",-2.41,"111,725",-6.25,"104,940",-6.58,"6,785",-0.69,"9,827",-51.57,"9,706",-51.69,121,-38.58,"460,395",-1.84
2006M04,"42,798",-4.73,"99,527",-6.28,"93,214",-6.62,"6,313",-0.93,"7,738",-55.68,"7,637",-55.79,101,-45.41,"447,304",-5.57
2006M05,"41,951",-7.08,"115,406",0.49,"108,461",0.02,"6,945",8.52,"7,810",-57.97,"7,705",-58.12,105,-42.31,"426,576",-9.25
2006M06,"41,116",-9.41,"140,463",-1.13,"133,499",-1.36,"6,964",3.35,"7,683",-58.74,"7,583",-58.85,100,-48.98,"411,922",-13.01
2006M07,"40,336",-11.30,"113,720",-0.54,"106,218",-0.94,"7,502",5.37,"6,493",-64.96,"6,404",-65.10,89,-51.63,"403,167",-16.08
2006M08,"39,919",-12.57,"117,653",-6.77,"110,546",-6.93,"7,107",-4.35,"6,479",-68.53,"6,394",-68.66,85,-54.30,"387,285",-20.18
2006M09,"39,470",-13.81,"105,500",-5.44,"98,498",-5.74,"7,002",-1.13,"5,728",-69.80,"5,642",-69.98,86,-49.11,"379,089",-22.37
2006M10,"38,996",-14.75,"115,247",0.77,"107,798",0.53,"7,449",4.36,"5,762",-68.16,"5,684",-68.28,78,-54.91,"367,780",-25.38
2006M11,"38,644",-15.23,"112,154",-4.09,"105,566",-4.41,"6,588",1.21,"5,644",-65.75,"5,569",-65.88,75,-51.61,"358,615",-27.59
2006M12,"38,324",-15.76,"120,102",-7.34,"113,692",-7.63,"6,410",-1.81,"5,865",-58.35,"5,794",-58.42,71,-51.70,"350,430",-29.16
2007M01,"37,967",-15.84,"124,345",-0.90,"117,696",-1.62,"6,649",14.03,"6,430",-40.44,"6,356",-40.44,74,-40.32,"339,790",-31.13
2007M02,"37,675",-15.29,"103,491",0.00,"97,471",0.39,"6,020",-5.97,"4,027",-50.74,"3,969",-50.80,58,-46.30,"336,004",-30.58
2007M03,"37,388",-14.39,"112,820",0.98,"105,694",0.72,"7,126",5.03,"5,547",-43.55,"5,479",-43.55,68,-43.80,"323,493",-29.74
2007M04,"37,206",-13.07,"106,252",6.76,"99,316",6.55,"6,935",9.85,"5,327",-31.16,"5,263",-31.09,63,-37.62,"316,373",-29.27
2007M05,"36,988",-11.83,"119,883",3.88,"112,952",4.14,"6,931",-0.20,"6,330",-18.95,"6,262",-18.73,68,-35.24,"309,595",-27.42
2007M06,"36,792",-10.52,"133,411",-5.02,"126,473",-5.26,"6,939",-0.36,"6,145",-20.02,"6,082",-19.79,63,-37.00,"305,990",-25.72
2007M07,"36,631",-9.19,"122,566",7.78,"114,801",8.08,"7,765",3.51,"6,514",0.32,"6,447",0.67,67,-24.72,"299,299",-25.76
2007M08,"36,584",-8.35,"121,785",3.51,"114,576",3.65,"7,209",1.44,"7,222",11.47,"7,156",11.92,66,-22.35,"298,893",-22.82
2007M09,"36,500",-7.52,"109,982",4.25,"102,804",4.37,"7,178",2.51,"6,147",7.31,"6,086",7.87,61,-29.07,"295,007",-22.18
2007M10,"36,405",-6.64,"120,135",4.24,"112,784",4.63,"7,351",-1.32,"7,389",28.24,"7,325",28.87,65,-16.67,"290,558",-21.00
2007M11,"36,388",-5.84,"115,183",2.70,"108,393",2.68,"6,790",3.07,"7,875",39.53,"7,816",40.35,59,-21.33,"286,889",-20.00
2007M12,"36,437",-4.92,"123,602",2.91,"116,940",2.86,"6,661",3.92,"8,952",52.63,"8,894",53.50,58,-18.31,"284,700",-18.76
2008M01,"36,163",-4.75,"129,524",4.16,"122,678",4.23,"6,845",2.95,"9,059",40.88,"9,007",41.71,52,-30.32,"282,410",-16.89
2008M02,"35,988",-4.48,"109,103",5.42,"103,110",5.79,"5,993",-0.45,"5,154",28.00,"5,115",28.88,39,-32.78,"279,948",-16.68
2008M03,"35,947",-3.85,"106,360",-5.73,"99,848",-5.53,"6,512",-8.62,"7,546",36.04,"7,498",36.86,48,-30.08,"272,512",-15.76
2008M04,"35,723",-3.99,"112,181",5.58,"105,260",5.98,"6,921",-0.20,"7,438",39.63,"7,392",40.46,46,-26.71,"270,229",-14.59
2008M05,"35,576",-3.82,"113,625",-5.22,"106,697",-5.54,"6,928",-0.04,"8,343",31.80,"8,297",32.50,46,-32.46,"268,621",-13.23
2008M06,"35,446",-3.66,"134,505",0.82,"127,809",1.06,"6,696",-3.50,"8,615",40.20,"8,571",40.93,44,-30.56,"269,933",-11.78
2008M07,"35,159",-4.02,"119,047",-2.87,"111,701",-2.70,"7,346",-5.39,"8,735",34.10,"8,689",34.78,46,-31.52,"267,878",-10.50
2008M08,"35,096",-4.07,"114,112",-6.30,"107,543",-6.14,"6,569",-8.87,"8,091",12.03,"8,048",12.46,43,-34.82,"267,253",-10.59
2008M09,"34,911",-4.35,"112,794",2.56,"105,564",2.68,"7,230",0.73,"9,597",56.13,"9,549",56.91,48,-21.83,"266,231",-9.75
2008M10,"34,707",-4.66,"117,481",-2.21,"110,353",-2.16,"7,128",-3.03,"6,473",-12.39,"6,429",-12.24,45,-30.91,"265,122",-8.75
2008M11,"34,240",-5.90,"102,669",-10.86,"96,597",-10.88,"6,072",-10.57,"3,807",-51.66,"3,769",-51.78,38,-35.34,"258,226",-9.99
2008M12,"33,950",-6.82,"122,656",-0.77,"116,421",-0.44,"6,235",-6.40,"3,996",-55.36,"3,952",-55.56,44,-24.75,"253,662",-10.90
2009M01,"33,364",-7.74,"102,523",-20.85,"96,985",-20.94,"5,539",-19.09,"2,763",-69.50,"2,726",-69.74,38,-27.27,"252,342",-10.65
2009M02,"32,931",-8.50,"99,920",-8.42,"94,371",-8.47,"5,549",-7.41,"2,788",-45.91,"2,752",-46.20,36,-8.39,"247,681",-11.53
2009M03,"32,604",-9.30,"100,129",-5.86,"94,349",-5.51,"5,779",-11.25,"3,481",-53.87,"3,441",-54.11,40,-16.21,"239,031",-12.29
2009M04,"32,365",-9.40,"102,503",-8.63,"96,600",-8.23,"5,902",-14.72,"3,155",-57.58,"3,118",-57.82,37,-19.61,"232,887",-13.82
2009M05,"32,221",-9.43,"98,972",-12.90,"93,562",-12.31,"5,410",-21.91,"2,707",-67.55,"2,672",-67.80,35,-23.75,"231,081",-13.98
2009M06,"31,862",-10.11,"137,102",1.93,"130,897",2.42,"6,205",-7.33,"3,343",-61.19,"3,301",-61.49,42,-3.76,"226,758",-15.99
2009M07,"31,671",-9.92,"118,180",-0.73,"111,500",-0.18,"6,680",-9.07,"3,082",-64.72,"3,039",-65.02,42,-8.12,"222,731",-16.85
2009M08,"31,530",-10.16,"116,055",1.70,"109,503",1.82,"6,552",-0.27,"2,690",-66.75,"2,653",-67.04,37,-13.76,"218,707",-18.16
2009M09,"31,242",-10.51,"116,440",3.23,"110,117",4.31,"6,323",-12.54,"3,038",-68.34,"3,002",-68.56,37,-23.36,"216,395",-18.72
2009M10,"30,967",-10.78,"118,370",0.76,"112,029",1.52,"6,340",-11.05,"2,857",-55.86,"2,823",-56.09,35,-22.48,"213,730",-19.38
2009M11,"30,712",-10.30,"120,273",17.15,"113,894",17.91,"6,379",5.05,"2,701",-29.05,"2,666",-29.25,35,-9.24,"210,021",-18.67
2009M12,"30,567",-9.97,"134,968",10.04,"128,209",10.13,"6,759",8.41,"3,030",-24.18,"2,994",-24.24,36,-18.16,"208,107",-17.96
2010M01,"30,387",-8.92,"123,326",20.29,"116,956",20.59,"6,371",15.02,"2,804",1.46,"2,768",1.55,36,-5.06,"203,843",-19.22
2010M02,"30,243",-8.16,"116,367",16.46,"110,062",16.63,"6,305",13.64,"2,177",-21.91,"2,148",-21.96,29,-18.27,"204,212",-17.55
2010M03,"30,116",-7.63,"124,413",24.25,"117,660",24.71,"6,753",16.84,"2,805",-19.42,"2,771",-19.48,34,-14.25,"195,358",-18.27
2010M04,"30,084",-7.05,"116,223",13.38,"109,695",13.56,"6,528",10.59,"2,810",-10.95,"2,773",-11.09,37,0.75,"192,943",-17.15
2010M05,"30,116",-6.53,"120,561",21.81,"113,938",21.78,"6,623",22.42,"3,023",11.67,"2,988",11.82,35,-0.06,"190,645",-17.50
2010M06,"30,116",-5.48,"140,789",2.69,"133,627",2.09,"7,161",15.41,"2,930",-12.37,"2,892",-12.40,38,-9.84,"189,615",-16.38
2010M07,"30,164",-4.76,"126,443",6.99,"118,777",6.53,"7,666",14.76,"2,790",-9.46,"2,752",-9.45,38,-10.36,"188,246",-15.48
2010M08,"30,247",-4.07,"133,702",15.21,"126,248",15.29,"7,454",13.76,"2,810",4.45,"2,772",4.49,38,1.09,"185,912",-15.00
2010M09,"30,355",-2.84,"126,175",8.36,"118,844",7.93,"7,331",15.94,"2,675",-11.96,"2,637",-12.15,38,3.47,"185,332",-14.35
2010M10,"30,471",-1.60,"128,710",8.74,"121,527",8.48,"7,182",13.29,"2,533",-11.35,"2,497",-11.55,36,4.63,"184,080",-13.87
2010M11,"30,585",-0.41,"135,906",13.00,"128,597",12.91,"7,309",14.59,"2,562",-5.13,"2,523",-5.36,39,12.49,"182,201",-13.25
2010M12,"30,706",0.45,"146,307",8.40,"139,169",8.55,"7,139",5.62,"2,731",-9.86,"2,696",-9.95,35,-2.10,"180,980",-13.04
2011M01,"30,769",1.26,"145,045",17.61,"138,164",18.13,"6,881",8.01,"2,393",-14.64,"2,359",-14.77,34,-4.26,"178,382",-12.49
2011M02,"30,874",2.09,"113,618",-2.36,"107,534",-2.30,"6,084",-3.52,"1,513",-30.50,"1,490",-30.64,23,-19.89,"176,972",-13.34
2011M03,"31,091",3.24,"136,580",9.78,"128,793",9.46,"7,787",15.32,"2,648",-5.60,"2,613",-5.70,35,2.56,"171,820",-12.05
2011M04,"31,389",4.34,"121,809",4.81,"114,922",4.76,"6,887",5.50,"2,316",-17.58,"2,285",-17.58,31,-17.34,"169,395",-12.20
2011M05,"31,586",4.88,"135,951",12.77,"128,211",12.53,"7,739",16.86,"2,593",-14.23,"2,557",-14.42,36,1.86,"163,478",-14.25
2011M06,"31,948",6.09,"160,524",14.02,"152,320",13.99,"8,204",14.56,"2,489",-15.06,"2,450",-15.27,38,1.15,"161,980",-14.57
2011M07,"32,251",6.92,"134,454",6.34,"125,864",5.97,"8,590",12.05,"2,494",-10.61,"2,459",-10.65,35,-7.30,"160,744",-14.61
2011M08,"32,161",6.33,"148,977",11.42,"140,541",11.32,"8,436",13.18,"3,004",6.93,"2,956",6.64,48,28.21,"158,636",-14.67
2011M09,"32,278",6.34,"135,018",7.01,"126,778",6.68,"8,241",12.41,"2,608",-2.51,"2,569",-2.58,39,1.99,"142,959",-22.86
2011M10,"32,910",8.01,"139,056",8.04,"130,543",7.42,"8,513",18.53,"2,528",-0.21,"2,488",-0.33,39,8.02,"141,948",-22.89
2011M11,"32,784",7.19,"146,473",7.78,"139,062",8.14,"7,412",1.40,"2,771",8.13,"2,728",8.12,42,8.53,"141,311",-22.44
2011M12,"32,855",7.00,"151,634",3.64,"144,117",3.56,"7,517",5.30,"2,767",1.33,"2,728",1.20,39,11.49,"141,561",-21.78
2012M01,"32,819",6.66,"150,400",3.69,"143,008",3.51,"7,392",7.43,"1,950",-18.52,"1,917",-18.76,33,-1.75,"140,262",-21.37
2012M02,"32,840",6.37,"130,154",14.55,"122,875",14.27,"7,279",19.65,"1,777",17.47,"1,747",17.29,30,28.60,"137,501",-22.30
2012M03,"32,974",6.06,"139,120",1.86,"131,380",2.01,"7,739",-0.62,"2,441",-7.81,"2,406",-7.91,35,-0.51,"136,031",-20.83
2012M04,"33,034",5.24,"131,220",7.73,"123,330",7.32,"7,890",14.56,"2,302",-0.60,"2,266",-0.84,36,16.95,"135,322",-20.11
2012M05,"33,191",5.08,"151,829",11.68,"143,313",11.78,"8,516",10.03,"2,612",0.74,"2,574",0.65,38,7.53,"134,466",-17.75
2012M06,"33,221",3.99,"172,101",7.21,"163,875",7.59,"8,225",0.26,"2,251",-9.57,"2,210",-9.80,40,4.99,"134,934",-16.70
2012M07,"33,380",3.50,"152,683",13.56,"143,359",13.90,"9,324",8.55,"2,433",-2.44,"2,394",-2.64,39,11.57,"133,653",-16.85
2012M08,"33,524",4.24,"150,125",0.77,"141,637",0.78,"8,487",0.61,"2,349",-21.80,"2,308",-21.93,41,-14.20,"133,568",-15.80
2012M09,"33,668",4.31,"134,498",-0.39,"126,002",-0.61,"8,496",3.10,"2,259",-13.38,"2,223",-13.46,36,-7.88,"133,403",-6.68
2012M10,"33,825",2.78,"158,292",13.83,"149,369",14.42,"8,923",4.82,"2,504",-0.93,"2,463",-1.03,41,5.40,"132,424",-6.71
2012M11,"33,987",3.67,"145,784",-0.47,"137,520",-1.11,"8,264",11.50,"2,448",-11.63,"2,410",-11.65,38,-10.42,"131,822",-6.71
2012M12,"34,076",3.72,"146,547",-3.35,"138,632",-3.81,"7,915",5.29,"2,424",-12.39,"2,386",-12.56,39,-0.71,"131,874",-6.84
2013M01,"34,122",3.97,"174,566",16.07,"165,770",15.92,"8,796",18.99,"2,514",28.91,"2,472",28.99,42,24.02,"130,175",-7.19
2013M02,"34,177",4.07,"135,942",4.45,"128,058",4.22,"7,884",8.32,"1,456",-18.09,"1,429",-18.21,27,-10.99,"127,298",-7.42
2013M03,"34,329",4.11,"139,450",0.24,"130,513",-0.66,"8,936",15.47,"2,055",-15.83,"2,018",-16.12,36,4.39,"125,239",-7.93
2013M04,"34,489",4.40,"147,403",12.33,"138,065",11.95,"9,338",18.36,"2,241",-2.67,"2,199",-2.98,42,16.34,"123,275",-8.90
2013M05,"34,624",4.32,"157,492",3.73,"148,277",3.46,"9,215",8.22,"2,338",-10.49,"2,301",-10.61,37,-2.62,"121,912",-9.34
2013M06,"34,689",4.42,"186,580",8.41,"176,775",7.87,"9,806",19.22,"2,096",-6.85,"2,059",-6.83,37,-8.28,"121,562",-9.91
2013M07,"34,802",4.26,"163,858",7.32,"152,807",6.59,"11,052",18.53,"2,413",-0.82,"2,367",-1.12,46,17.87,"120,227",-10.05
2013M08,"35,163",4.89,"156,434",4.20,"146,726",3.59,"9,708",14.38,"2,219",-5.56,"2,177",-5.67,42,0.65,"119,989",-10.17
2013M09,"35,753",6.19,"150,903",12.20,"140,676",11.65,"10,227",20.38,"2,205",-2.37,"2,161",-2.80,44,24.39,"120,527",-9.65
2013M10,"36,296",7.31,"171,853",8.57,"160,996",7.78,"10,857",21.67,"2,439",-2.62,"2,397",-2.67,42,0.84,"120,179",-9.25
2013M11,"36,728",8.06,"152,668",4.72,"143,008",3.99,"9,660",16.90,"2,233",-8.78,"2,198",-8.83,36,-5.69,"119,059",-9.68
2013M12,"35,946",5.49,"176,114",20.18,"165,439",19.34,"10,675",34.87,"2,447",0.94,"2,406",0.85,41,6.16,"118,471",-10.16
2014M01,"36,122",5.86,"171,328",-1.85,"161,764",-2.42,"9,564",8.73,"2,168",-13.74,"2,133",-13.74,36,-13.97,"118,289",-9.13
2014M02,"36,176",5.85,"148,361",9.14,"138,652",8.27,"9,709",23.15,"1,427",-2.00,"1,400",-2.03,27,-0.02,"117,231",-7.91
2014M03,"36,304",5.75,"151,592",8.71,"140,699",7.80,"10,893",21.90,"2,106",2.51,"2,068",2.49,38,3.68,"114,816",-8.32
2014M04,"36,463",5.72,"163,550",10.95,"151,639",9.83,"11,911",27.56,"2,144",-4.32,"2,105",-4.26,39,-7.51,"113,861",-7.64
2014M05,"36,628",5.79,"167,004",6.04,"155,166",4.65,"11,838",28.46,"2,208",-5.54,"2,170",-5.69,39,3.64,"113,581",-6.83
2014M06,"36,765",5.98,"206,278",10.56,"193,776",9.62,"12,501",27.49,"2,130",1.61,"2,092",1.57,38,3.99,"114,261",-6.01
