期間,證券投資--小計_原始值,證券投資--小計_年增率(%),證券投資--政府債券_原始值,證券投資--政府債券_年增率(%),證券投資--金融機構債券_原始值,證券投資--金融機構債券_年增率(%),證券投資--公司債_原始值,證券投資--公司債_年增率(%),證券投資--可轉讓定期存單_原始值,證券投資--可轉讓定期存單_年增率(%),證券投資--商業本票_原始值,證券投資--商業本票_年增率(%),證券投資--承兌匯票_原始值,證券投資--承兌匯票_年增率(%),存放銀行_原始值,存放銀行_年增率(%),庫存現金_原始值,庫存現金_年增率(%),資產合計(淨額)=負債合計(淨額)_原始值,資產合計(淨額)=負債合計(淨額)_年增率(%),借入款_原始值,借入款_年增率(%),淨值_原始值,淨值_年增率(%),其他項目(淨額)_原始值,其他項目(淨額)_年增率(%),保證_原始值,保證_年增率(%),附買回交易_原始值,附買回交易_年增率(%)
1999M03,"772,706",3.55,"257,162",-15.65,"2,093",12.17,"18,150",25.99,"43,126",33.41,"449,625",20.80,"2,550",-87.60,"57,691",19.20,-,-,"830,401",4.50,"67,863",50.48,"113,416",9.71,"649,122",0.46,"654,326",-0.64,"687,039",-0.20
1999M04,"832,471",3.24,"277,767",-11.22,"2,093",25.93,"18,180",25.94,"38,456",30.33,"493,656",15.64,"2,319",-88.94,"54,685",7.20,-,-,"887,160",3.48,"69,823",30.83,"114,181",9.72,"703,156",0.46,"647,990",-3.34,"741,680",0.27
1999M05,"843,109",11.61,"287,514",9.26,"1,841",-14.45,"17,916",16.25,"34,821",33.24,"497,772",16.35,"3,245",-84.35,"56,665",10.09,-,-,"899,778",11.51,"65,510",15.14,"114,635",9.78,"719,633",11.47,"648,786",-6.92,"742,354",6.85
1999M06,"858,638",13.33,"286,269",9.22,"2,041",-5.16,"17,302",6.66,"37,665",18.76,"512,053",19.95,"3,308",-82.17,"52,924",5.13,-,-,"911,565",12.82,"69,432",7.33,"115,444",9.45,"726,689",13.93,"646,642",-9.04,"752,466",11.26
1999M07,"859,864",10.88,"308,289",9.84,"1,941",-5.41,"16,393",0.58,"35,591",19.25,"494,664",15.61,"2,986",-84.08,"57,315",14.69,-,-,"917,183",11.11,"65,757",6.03,"116,133",9.35,"735,293",11.87,"644,146",-13.84,"757,416",8.62
1999M08,"843,158",-0.12,"298,391",5.45,"1,841",-9.40,"16,679",0.35,"40,103",57.11,"483,450",-2.68,"2,694",-86.70,"53,028",-11.35,-,-,"896,191",-0.86,"51,824",-31.47,"121,805",10.94,"722,562",0.56,"644,899",-15.31,"745,552",-0.76
1999M09,"827,796",-2.56,"297,029",7.90,"1,641",-19.68,"16,222",-5.57,"44,722",26.29,"465,843",-7.95,"2,339",-82.77,"55,169",0.65,-,-,"882,970",-2.37,"58,302",-43.70,"122,654",9.91,"702,014",1.86,"653,633",-16.88,"725,434",-3.15
1999M10,"836,405",-1.53,"297,793",13.44,"1,641",-17.66,"15,988",-8.24,"65,704",41.06,"452,945",-11.64,"2,334",-71.77,"47,740",-25.40,-,-,"884,150",-3.20,"53,708",-36.74,"125,224",11.26,"705,218",-1.50,"655,036",-16.43,"729,926",-3.19
1999M11,"887,040",22.03,"310,098",27.17,"1,641",-17.66,"15,583",-12.79,"76,563",69.91,"480,949",16.32,"2,206",-52.66,"49,644",-16.21,-,-,"936,689",19.15,"64,908",-0.75,"127,066",11.96,"744,715",22.64,"646,778",-9.40,"770,124",19.03
1999M12,"913,443",19.24,"325,188",30.29,"1,641",-17.66,"15,162",-16.00,"87,484",111.54,"481,498",6.69,"2,470",-35.00,"44,687",-27.03,-,-,"958,133",15.81,"62,227",-9.62,"126,720",19.23,"769,186",17.94,"647,514",-4.92,"794,255",16.74
2000M01,"891,222",9.93,"333,543",25.46,"1,641",-17.66,"14,714",-20.39,"76,146",90.25,"463,098",-3.39,"2,080",-58.63,"46,015",-19.22,-,-,"937,242",8.01,"59,299",-30.28,"127,518",19.21,"750,425",11.06,"642,095",-0.80,"777,796",10.01
2000M02,"882,151",11.15,"335,242",29.80,"1,241",-38.66,"14,515",-21.52,"76,115",73.03,"453,090",-3.03,"1,948",-46.79,"56,562",15.12,-,-,"938,718",11.38,"54,643",-34.14,"128,446",19.44,"755,629",15.84,"651,295",1.12,"783,666",12.29
2000M03,"878,895",13.74,"329,004",27.94,"1,293",-38.22,"14,025",-22.73,"51,645",19.75,"477,126",6.12,"5,802",127.53,"48,101",-16.62,-,-,"927,001",11.63,"50,695",-25.30,"127,746",12.63,"748,560",15.32,"652,245",-0.32,"778,868",13.37
2000M04,"948,854",13.98,"355,348",27.93,835,-60.11,"13,984",-23.08,"59,495",54.71,"517,128",4.75,"2,064",-11.00,"49,564",-9.36,-,-,"998,423",12.54,"62,563",-10.40,"128,502",12.54,"807,358",14.82,"653,713",0.88,"835,934",12.71
2000M05,"942,324",11.77,"349,038",21.40,702,-61.87,"13,903",-22.40,"65,580",88.33,"510,866",2.63,"2,235",-31.12,"53,143",-6.22,-,-,"995,472",10.64,"70,555",7.70,"127,867",11.54,"797,050",10.76,"651,267",0.38,"827,762",11.51
2000M06,"930,135",8.33,"343,427",19.97,697,-65.85,"12,347",-28.64,"77,151",104.83,"494,477",-3.43,"2,036",-38.45,"51,577",-2.55,-,-,"981,716",7.70,"54,133",-22.03,"128,962",11.71,"798,621",9.90,"645,299",-0.21,"828,284",10.08
2000M07,"960,096",11.66,"354,524",15.00,696,-64.14,"12,041",-26.55,"79,534",123.47,"510,926",3.29,"2,375",-20.46,"44,430",-22.48,-,-,"1,004,531",9.52,"69,950",6.38,"129,651",11.64,"804,930",9.47,"648,675",0.70,"836,262",10.41
2000M08,"973,565",15.47,"360,173",20.71,670,-63.61,"11,651",-30.15,"92,159",129.81,"506,854",4.84,"2,058",-23.61,"50,125",-5.47,-,-,"1,023,695",14.23,"63,532",22.59,"130,557",7.19,"829,606",14.81,"657,584",1.97,"861,449",15.55
2000M09,"951,136",14.90,"372,878",25.54,470,-71.36,"11,051",-31.88,"89,665",100.49,"475,192",2.01,"1,880",-19.62,"46,147",-16.35,-,-,"997,288",12.95,"64,667",10.92,"131,454",7.17,"801,167",14.12,"651,388",-0.34,"834,249",15.00
2000M10,"956,222",14.33,"370,039",24.26,170,-89.64,"10,516",-34.23,"91,276",38.92,"482,109",6.44,"2,112",-9.51,"49,459",3.60,-,-,"1,005,686",13.75,"66,857",24.48,"132,152",5.53,"806,677",14.39,"623,812",-4.77,"840,824",15.19
2000M11,"915,910",3.25,"361,368",16.53,170,-89.64,"10,286",-33.99,"91,304",19.25,"450,881",-6.25,"1,901",-13.83,"45,316",-8.72,-,-,"961,231",2.62,"53,880",-16.99,"133,137",4.78,"774,214",3.96,"620,523",-4.06,"810,200",5.20
2000M12,"965,048",5.65,"366,955",12.84,170,-89.64,"10,110",-33.32,"93,680",7.08,"492,011",2.18,"2,122",-14.09,"47,779",6.92,-,-,"1,012,830",5.71,"47,157",-24.22,"133,255",5.16,"832,418",8.22,"603,202",-6.84,"867,576",9.23
2001M01,"948,211",6.39,"363,273",8.91,170,-89.64,"9,814",-33.30,"101,043",32.70,"471,858",1.89,"2,053",-1.30,"49,678",7.96,-,-,"997,894",6.47,"72,001",21.42,"134,245",5.28,"791,648",5.49,"615,078",-4.21,"828,358",6.50
2001M02,"991,483",12.39,"363,620",8.46,170,-86.30,"9,884",-31.90,"120,463",58.26,"495,344",9.33,"2,002",2.77,"58,544",3.50,-,-,"1,050,032",11.86,"91,293",67.07,"135,495",5.49,"823,244",8.95,"629,862",-3.29,"859,704",9.70
2001M03,"1,012,814",15.24,"372,322",13.17,70,-94.59,"9,255",-34.01,"108,674",110.43,"520,505",9.09,"1,988",-65.74,"61,401",27.65,-,-,"1,074,220",15.88,"101,632",100.48,"137,024",7.26,"835,564",11.62,"634,585",-2.71,"870,925",11.82
2001M04,"975,752",2.83,"365,861",2.96,70,-91.62,"8,764",-37.33,"99,863",67.85,"499,428",-3.42,"1,766",-14.44,"59,516",20.08,-,-,"1,035,273",3.69,"68,314",9.19,"136,737",6.41,"830,222",2.83,"628,693",-3.83,"864,957",3.47
2001M05,"968,773",2.81,"379,386",8.69,70,-90.03,"8,158",-41.32,"95,422",45.50,"483,804",-5.30,"1,933",-13.51,"59,823",12.57,-,-,"1,028,601",3.33,"83,589",18.47,"129,198",1.04,"815,814",2.35,"601,158",-7.69,"849,659",2.65
2001M06,"1,011,588",8.76,"375,952",9.47,70,-89.96,"7,102",-42.48,"130,317",68.91,"496,066",0.32,"2,081",2.21,"70,765",37.20,-,-,"1,082,356",10.25,"93,374",72.49,"129,658",0.54,"859,324",7.60,"593,638",-8.01,"892,056",7.70
2001M07,"932,864",-2.84,"360,797",1.77,70,-89.94,"6,285",-47.80,"120,124",51.03,"443,375",-13.22,"2,213",-6.82,"65,579",47.60,-,-,"998,448",-0.61,"99,205",41.82,"131,040",1.07,"768,203",-4.56,"599,966",-7.51,"807,489",-3.44
2001M08,"946,026",-2.83,"380,957",5.77,470,-29.85,"5,900",-49.36,"117,976",28.01,"438,508",-13.48,"2,215",7.63,"61,736",23.16,-,-,"1,007,767",-1.56,"78,633",23.77,"124,190",-4.88,"804,944",-2.97,"588,385",-10.52,"840,504",-2.43
2001M09,"955,148",0.42,"382,043",2.46,430,-8.51,"5,160",-53.31,"107,138",19.49,"458,506",-3.51,"1,871",-0.48,"61,689",33.68,-,-,"1,016,842",1.96,"89,906",39.03,"126,009",-4.14,"800,927",-0.03,"575,011",-11.73,"838,117",0.46
2001M10,"948,542",-0.80,"385,443",4.16,430,152.94,"4,680",-55.50,"96,332",5.54,"459,761",-4.64,"1,896",-10.23,"65,625",32.69,-,-,"1,014,172",0.84,"90,816",35.84,"127,243",-3.71,"796,113",-1.31,"579,084",-7.17,"833,422",-0.88
2001M11,"942,251",2.88,"405,297",12.16,430,152.94,"4,874",-52.62,"87,776",-3.86,"442,163",-1.93,"1,711",-9.99,"64,777",42.95,-,-,"1,007,033",4.76,"75,276",39.71,"128,157",-3.74,"803,600",3.80,"579,924",-6.54,"841,126",3.82
2001M12,"940,094",-2.59,"391,269",6.63,430,152.94,"4,363",-56.84,"84,995",-9.27,"457,083",-7.10,"1,954",-7.92,"67,320",40.90,-,-,"1,007,417",-0.53,"71,076",50.72,"127,211",-4.54,"809,130",-2.80,"564,175",-6.47,"845,834",-2.51
2002M01,"940,470",-0.82,"411,242",13.20,730,329.41,"4,092",-58.30,"88,533",-12.38,"433,728",-8.08,"2,145",4.48,"58,751",18.26,-,-,"999,226",0.13,"97,359",35.22,"128,112",-4.57,"773,755",-2.26,"580,186",-5.67,"810,724",-2.13
2002M02,"932,248",-5.97,"403,268",10.90,730,329.41,"4,062",-58.90,"87,607",-27.27,"434,324",-12.32,"2,257",12.74,"48,976",-16.34,-,-,"981,229",-6.55,"67,835",-25.70,"129,177",-4.66,"784,217",-4.74,"585,433",-7.05,"822,008",-4.38
2002M03,"956,487",-5.56,"388,529",4.35,"1,180","1,585.71","27,624",198.48,"82,826",-23.78,"454,141",-12.75,"2,187",10.01,"49,971",-18.62,-,-,"1,006,463",-6.31,"64,858",-36.18,"130,188",-4.99,"811,417",-2.89,"568,431",-10.42,"846,989",-2.75
2002M04,"938,210",-3.85,"426,557",16.59,"2,391","3,315.71","3,952",-54.91,"76,697",-23.20,"426,524",-14.60,"2,089",18.29,"51,745",-13.06,-,-,"989,960",-4.38,"80,383",17.67,"129,399",-5.37,"780,178",-6.03,"556,036",-11.56,"815,568",-5.71
2002M05,"950,612",-1.87,"462,776",21.98,"3,611","5,058.57","3,956",-51.51,"77,439",-18.85,"400,784",-17.16,"2,046",5.85,"49,525",-17.21,-,-,"1,000,142",-2.77,"79,254",-5.19,"129,981",0.61,"790,907",-3.05,"540,974",-10.01,"830,021",-2.31
2002M06,"965,133",-4.59,"419,633",11.62,"3,791","5,315.71","20,614",190.26,"81,545",-37.43,"437,384",-11.83,"2,166",4.08,"53,318",-24.65,-,-,"1,018,455",-5.90,"59,134",-36.67,"128,284",-1.06,"831,037",-3.29,"542,723",-8.58,"866,171",-2.90
2002M07,"975,349",4.55,"452,631",25.45,"9,017","12,781.43","4,533",-27.88,"68,366",-43.09,"438,829",-1.03,"1,973",-10.85,"52,385",-20.12,-,-,"1,027,739",2.93,"78,039",-21.34,"129,498",-1.18,"820,202",6.77,"526,581",-12.23,"860,032",6.51
2002M08,"964,390",1.94,"438,008",14.98,"10,418","2,116.60","4,543",-23.00,"77,414",-34.38,"432,017",-1.48,"1,990",-10.16,"53,791",-12.87,-,-,"1,018,186",1.03,"117,025",48.82,"126,608",1.95,"774,553",-3.78,"518,299",-11.91,"808,953",-3.75
2002M09,"951,051",-0.43,"442,315",15.78,"15,765","3,566.28","4,460",-13.57,"71,768",-33.01,"415,128",-9.46,"1,615",-13.68,"47,207",-23.48,-,-,"998,263",-1.83,"115,892",28.90,"128,453",1.94,"753,918",-5.87,"512,611",-10.85,"792,498",-5.44
2002M10,"916,969",-3.33,"459,022",19.09,"17,794","4,038.14","4,548",-2.82,"73,320",-23.89,"360,651",-21.56,"1,634",-13.82,"43,898",-33.11,-,-,"960,872",-5.26,"80,233",-11.65,"123,837",-2.68,"756,802",-4.94,"496,536",-14.25,"794,598",-4.66
2002M11,"932,995",-0.98,"456,430",12.62,"18,890","4,293.02","5,027",3.14,"76,364",-13.00,"374,446",-15.31,"1,838",7.42,"45,756",-29.36,-,-,"978,756",-2.81,"67,664",-10.11,"123,681",-3.49,"787,411",-2.01,"506,315",-12.69,"820,523",-2.45
2002M12,"951,388",1.20,"449,807",14.96,"18,777","4,266.74","5,677",30.12,"90,950",7.01,"384,480",-15.88,"1,697",-13.15,"47,328",-29.70,-,-,"998,719",-0.86,"61,315",-13.73,"124,228",-2.34,"813,176",0.50,"517,921",-8.20,"842,021",-0.45
2003M01,"962,823",2.38,"468,396",13.90,"18,851","2,482.33","5,691",39.08,"85,891",-2.98,"382,038",-11.92,"1,956",-8.81,"48,634",-17.22,"66,485",-,"1,077,941",7.88,"93,460",-4.00,"126,071",-1.59,"37,840",-95.11,"530,563",-8.55,"820,570",1.21
2003M02,"944,525",1.32,"483,906",20.00,"19,086","2,514.52","5,664",39.44,"75,663",-13.63,"358,434",-17.47,"1,772",-21.49,"47,275",-3.47,"56,271",-,"1,048,070",6.81,"111,599",64.52,"127,809",-1.06,"28,453",-96.37,"507,243",-13.36,"780,209",-5.08
2003M03,"967,917",1.19,"507,399",30.59,"19,128","1,521.02","5,581",-79.80,"78,003",-5.82,"356,321",-21.54,"1,485",-32.10,"44,721",-10.51,"60,025",-,"1,072,662",6.58,"73,036",12.61,"126,723",-2.66,"34,965",-95.69,"494,641",-12.98,"837,938",-1.07
2003M04,"964,075",2.76,"510,578",19.70,"19,945",734.17,"5,377",36.06,"82,737",7.88,"343,890",-19.37,"1,548",-25.90,"46,703",-9.74,"64,226",-,"1,075,003",8.59,"74,918",-6.80,"127,663",-1.34,"40,032",-94.87,"503,369",-9.47,"832,390",2.06
2003M05,"963,520",1.36,"508,152",9.81,"21,259",488.73,"5,521",39.56,"84,436",9.04,"342,521",-14.54,"1,631",-20.28,"51,417",3.82,"55,997",-,"1,070,934",7.08,"82,807",4.48,"128,661",-1.02,"33,275",-95.79,"489,027",-9.60,"826,191",-0.46
2003M06,"997,915",3.40,"518,852",23.64,"24,132",536.56,"6,676",-67.61,"87,221",6.96,"359,249",-17.86,"1,785",-17.59,"46,026",-13.68,"48,954",-,"1,092,895",7.31,"71,325",20.62,"130,094",1.41,"32,557",-96.08,"495,320",-8.73,"858,919",-0.84
2003M07,"990,955",1.60,"512,345",13.19,"23,738",163.26,"6,821",50.47,"88,458",29.39,"357,712",-18.48,"1,881",-4.66,"45,580",-12.99,"57,290",-,"1,093,824",6.43,"59,576",-23.66,"131,087",1.23,"40,176",-95.10,"508,872",-3.36,"862,985",0.34
2003M08,"979,071",1.52,"519,528",18.61,"26,404",153.45,"7,176",57.96,"91,874",18.68,"332,250",-23.09,"1,839",-7.59,"52,223",-2.91,"63,735",-,"1,095,028",7.55,"70,437",-39.81,"132,102",4.34,"49,348",-93.63,"482,715",-6.87,"843,141",4.23
2003M09,"998,471",4.99,"526,381",19.01,"28,363",79.91,"7,227",62.04,"99,300",38.36,"335,400",-19.21,"1,800",11.46,"57,328",21.44,"67,109",-,"1,122,908",12.49,"77,818",-32.85,"133,126",3.64,"53,452",-92.91,"478,152",-6.72,"858,512",8.33
2003M10,"1,041,332",13.56,"527,465",14.91,"27,639",55.33,"7,219",58.73,"113,715",55.09,"363,694",0.84,"1,600",-2.08,"64,667",47.31,"75,466",-,"1,181,465",22.96,"82,751",3.14,"134,081",8.27,"63,420",-91.62,"472,745",-4.79,"901,213",13.42
2003M11,"1,044,425",11.94,"531,580",16.46,"29,586",56.62,"7,649",52.16,"123,765",62.07,"350,287",-6.45,"1,558",-15.23,"59,133",29.24,"80,452",-,"1,184,009",20.97,"84,006",24.15,"135,222",9.33,"66,513",-91.55,"481,665",-4.87,"898,268",9.48
2003M12,"1,008,211",5.97,"507,876",12.91,"30,321",61.48,"8,800",55.01,"128,808",41.63,"330,758",-13.97,"1,648",-2.89,"65,966",39.38,"64,263",-,"1,138,440",13.99,"73,814",20.38,"135,656",9.20,"55,840",-93.13,"490,416",-5.31,"873,130",3.69
2004M01,"927,506",-3.67,"450,075",-3.91,"28,990",53.78,"8,949",57.25,"121,066",40.95,"317,012",-17.02,"1,414",-27.71,"70,981",45.95,"54,551",-17.95,"1,053,038",-2.31,"65,325",-30.10,"136,976",8.65,"-8,749",--,"488,070",-8.01,"859,486",4.74
2004M02,"942,799",-0.18,"441,392",-8.79,"28,528",49.47,"9,483",67.43,"114,192",50.92,"347,801",-2.97,"1,403",-20.82,"73,547",55.57,"70,316",24.96,"1,086,662",3.68,"76,561",-31.40,"138,421",8.30,"-7,416",--,"493,711",-2.67,"879,096",12.67
2004M03,"951,556",-1.69,"439,940",-13.30,"31,799",66.24,"12,026",115.48,"121,829",56.19,"344,455",-3.33,"1,507",1.48,"76,737",71.59,"70,283",17.09,"1,098,576",2.42,"84,023",15.04,"137,269",8.32,"-5,744",--,"506,648",2.43,"883,028",5.38
2004M04,"961,506",-0.27,"438,978",-14.02,"32,575",63.32,"13,892",158.36,"129,928",57.04,"344,880",0.29,"1,253",-19.06,"79,541",70.31,"82,617",28.63,"1,123,663",4.53,"80,824",7.88,"135,368",6.04,"-6,637",--,"490,929",-2.47,"914,108",9.82
2004M05,"968,492",0.52,"449,005",-11.64,"32,833",54.44,"16,254",194.40,"127,452",50.95,"342,040",-0.14,908,-44.33,"81,315",58.15,"90,743",62.05,"1,140,550",6.50,"81,708",-1.33,"133,813",4.00,-647,--,"486,208",-0.58,"925,676",12.04
2004M06,"980,079",-1.79,"453,427",-12.61,"35,127",45.56,"16,977",154.30,"125,991",44.45,"347,746",-3.20,811,-54.57,"86,518",87.98,"80,861",65.18,"1,147,457",4.99,"76,992",7.95,"133,741",2.80,"-1,608",--,"487,769",-1.52,"938,332",9.25
2004M07,"998,612",0.77,"453,482",-11.49,"38,506",62.21,"22,124",224.35,"131,279",48.41,"352,477",-1.46,744,-60.45,"79,916",75.33,"54,998",-4.00,"1,133,525",3.63,"91,051",52.83,"135,036",3.01,63,-99.84,"475,088",-6.64,"907,375",5.14
2004M08,"1,007,641",2.92,"465,314",-10.44,"39,942",51.27,"23,611",229.03,"124,957",36.01,"353,272",6.33,545,-70.36,"79,140",51.54,"55,028",-13.66,"1,141,809",4.27,"83,698",18.83,"137,210",3.87,"-6,057",--,"473,586",-1.89,"926,958",9.94
2004M09,"979,258",-1.92,"463,454",-11.95,"43,376",52.93,"26,970",273.18,"102,028",2.75,"342,848",2.22,582,-67.67,"73,133",27.57,"46,763",-30.32,"1,099,154",-2.12,"65,022",-16.44,"135,885",2.07,"-2,662",--,"479,715",0.33,"900,909",4.94
