期間,臺灣加權指數_原始值,臺灣加權指數_年增率(%),美國道瓊工業指數_原始值,美國道瓊工業指數_年增率(%),美國NASDAQ指數_原始值,美國NASDAQ指數_年增率(%),日本日經225_原始值,日本日經225_年增率(%),倫敦金融時報_原始值,倫敦金融時報_年增率(%),香港恆生指數_原始值,香港恆生指數_年增率(%),韓國綜合指數_原始值,韓國綜合指數_年增率(%),新加坡海峽時報_原始值,新加坡海峽時報_年增率(%),上海綜合指數_原始值,上海綜合指數_年增率(%)
1987,"2,339.86",...,"1,938.83",...,...,...,"21,564.00",...,"1,408.00",...,"2,302.75",...,525.11,...,823.21,...,...,...
1988,"5,119.11",118.78,"2,168.57",11.85,...,...,"30,159.00",39.86,"1,455.30",3.36,"2,687.44",16.71,907.20,72.76,"1,038.62",26.17,...,...
1989,"9,624.18",88.00,"2,753.20",26.96,...,...,"38,915.87",29.04,"1,916.60",31.70,"2,836.57",5.55,909.72,0.28,"1,481.33",42.62,...,...
1990,"4,530.16",-52.93,"2,633.66",-4.34,...,...,"23,848.71",-38.72,"1,673.40",-12.69,"3,243.30",14.34,696.11,-23.48,"1,154.48",-22.06,...,...
1991,"4,600.67",1.56,"3,168.83",20.32,...,...,"22,983.77",-3.63,"1,891.30",13.02,"4,297.33",32.50,610.92,-12.24,"1,490.70",29.12,...,...
1992,"3,377.06",-26.60,"3,301.11",4.17,676.95,...,"16,924.95",-26.36,"2,185.20",15.54,"5,512.39",28.27,678.44,11.05,"1,524.40",2.26,...,...
1993,"6,070.56",79.76,"3,754.09",13.72,776.80,14.75,"17,417.24",2.91,"2,559.50",17.13,"11,888.39",115.67,866.18,27.67,"2,425.68",59.12,...,...
1994,"7,124.66",17.36,"3,834.44",2.14,751.96,-3.20,"19,723.06",13.24,"3,065.50",19.77,"8,191.04",-31.10,"1,027.37",18.61,"2,239.56",-7.67,...,...
1995,"5,173.73",-27.38,"5,117.12",33.45,"1,052.13",39.92,"19,868.15",0.74,"3,689.30",20.35,"10,073.39",22.98,882.94,-14.06,"2,266.54",1.20,...,...
1996,"6,933.94",34.02,"6,448.27",26.01,"1,291.03",22.71,"19,361.35",-2.55,"4,118.50",11.63,"13,451.45",33.53,651.22,-26.24,"2,216.79",-2.20,...,...
1997,"8,187.27",18.08,"7,908.25",22.64,"1,570.35",21.64,"15,258.74",-21.19,"5,135.50",24.69,"10,722.76",-20.29,376.31,-42.21,"1,529.84",-30.99,...,...
1998,"6,418.43",-21.60,"9,181.43",16.10,"2,192.69",39.63,"13,842.17",-9.28,"5,882.60",14.55,"10,048.58",-6.29,562.46,49.47,"1,392.73",-8.96,...,...
1999,"8,448.84",31.63,"11,497.12",25.22,"4,069.31",85.59,"18,934.34",36.79,"6,930.20",17.81,"16,962.10",68.80,"1,028.07",82.78,"2,479.58",78.04,...,...
2000,"4,739.09",-43.91,"10,786.85",-6.18,"2,470.52",-39.29,"13,785.69",-27.19,"6,222.50",-10.21,"15,095.53",-11.00,504.62,-50.92,"1,926.83",-22.29,...,...
2001,"5,551.24",17.14,"10,021.50",-7.10,"1,950.40",-21.05,"10,542.62",-23.52,"5,217.40",-16.15,"11,397.21",-24.50,693.70,37.47,"1,623.60",-15.74,"1,645.97",...
2002,"4,452.45",-19.79,"8,341.63",-16.76,"1,335.51",-31.53,"8,578.95",-18.63,"3,940.40",-24.48,"9,321.29",-18.21,627.55,-9.54,"1,341.03",-17.40,"1,357.65",-17.52
2003,"5,890.69",32.30,"10,453.92",25.32,"2,003.37",50.01,"10,676.64",24.45,"4,476.90",13.62,"12,575.94",34.92,810.71,29.19,"1,764.52",31.58,"1,497.04",10.27
2004,"6,139.69",4.23,"10,783.01",3.15,"2,175.44",8.59,"11,488.76",7.61,"4,814.30",7.54,"14,230.14",13.15,895.92,10.51,"2,066.14",17.09,"1,266.50",-15.40
2005,"6,548.34",6.66,"10,717.50",-0.61,"2,205.32",1.37,"16,111.43",40.24,"5,618.80",16.71,"14,876.43",4.54,"1,379.37",53.96,"2,347.34",13.61,"1,161.06",-8.33
2006,"7,823.72",19.48,"12,463.15",16.29,"2,415.29",9.52,"17,225.83",6.92,"6,220.80",10.71,"19,964.72",34.20,"1,434.46",3.99,"2,985.83",27.20,"2,675.47",130.43
2007,"8,506.28",8.72,"13,264.82",6.43,"2,652.28",9.81,"15,307.78",-11.13,"6,456.90",3.80,"27,812.65",39.31,"1,897.13",32.25,"3,482.30",16.63,"5,261.56",96.66
2008,"4,591.22",-46.03,"8,776.39",-33.84,"1,577.03",-40.54,"8,859.56",-42.12,"4,434.17",-31.33,"14,387.48",-48.27,"1,124.47",-40.73,"1,761.56",-49.41,"1,820.81",-65.39
2009,"8,188.11",78.34,"10,428.05",18.82,"2,269.15",43.89,"10,546.44",19.04,"5,412.88",22.07,"21,872.50",52.02,"1,682.77",49.65,"2,897.62",64.49,"3,277.14",79.98
2010,"8,972.50",9.58,"11,577.51",11.02,"2,652.87",16.91,"10,228.92",-3.01,"5,899.94",9.00,"23,035.45",5.32,"2,051.00",21.88,"3,190.04",10.09,"2,808.08",-14.31
2011,"7,072.08",-21.18,"12,217.56",5.53,"2,605.15",-1.80,"8,455.35",-17.34,"5,572.28",-5.55,"18,434.39",-19.97,"1,825.74",-10.98,"2,646.35",-17.04,"2,199.42",-21.68
2012,"7,699.50",8.87,"13,104.14",7.26,"3,019.51",15.91,"10,395.18",22.94,"5,897.81",5.84,"22,656.92",22.91,"1,997.05",9.38,"3,167.08",19.68,"2,269.13",3.17
2013,"8,611.51",11.85,"16,576.66",26.50,"4,176.59",38.32,"16,291.31",56.72,"6,749.09",14.43,"23,306.39",2.87,"2,011.34",0.72,"3,167.43",0.01,"2,115.98",-6.75
