期間,義務機關(構)數(個)_原始值,義務機關(構)數(個)_年增率(%),義務機關(構)數(個)_原始值,義務機關(構)數(個)_年增率(%),義務機關(構)數(個)_原始值,義務機關(構)數(個)_年增率(%),法定進用人數(人)_原始值,法定進用人數(人)_年增率(%),法定進用人數(人)_原始值,法定進用人數(人)_年增率(%),法定進用人數(人)_原始值,法定進用人數(人)_年增率(%),實際進用人數(人)_原始值,實際進用人數(人)_年增率(%),實際進用人數(人)_原始值,實際進用人數(人)_年增率(%),實際進用人數(人)_原始值,實際進用人數(人)_年增率(%),未達法定進用機關(構)數(個)_原始值,未達法定進用機關(構)數(個)_年增率(%),未達法定進用機關(構)數(個)_原始值,未達法定進用機關(構)數(個)_年增率(%),未達法定進用機關(構)數(個)_原始值,未達法定進用機關(構)數(個)_年增率(%)
2008M05,"9,832",2.24,"3,482",0.37,"6,350",3.29,"35,279",2.34,"12,769",-0.11,"22,510",3.78,"48,598",-1.79,"18,678",-1.26,"29,920",-2.12,"1,067",5.85,54,-6.90,"1,013",6.63
2008M06,"9,892",2.56,"3,484",0.29,"6,408",3.84,"35,445",2.71,"12,815",0.57,"22,630",3.96,"48,882",1.53,"18,764",1.47,"30,118",1.56,"1,087",3.03,42,-26.32,"1,045",4.71
2008M07,"9,915",3.29,"3,493",2.22,"6,422",3.88,"35,537",3.30,"12,836",2.76,"22,701",3.61,"49,261",4.53,"18,971",5.66,"30,290",3.83,"1,060",-2.84,41,-39.71,"1,019",-0.39
2008M08,"9,837",2.33,"3,433",1.93,"6,404",2.55,"35,317",2.50,"12,603",2.74,"22,714",2.38,"49,082",4.13,"18,848",5.79,"30,234",3.12,"1,045",-5.09,48,-30.43,997,-3.39
2008M09,"9,833",1.65,"3,381",-1.91,"6,452",3.63,"35,368",1.71,"12,386",-1.28,"22,982",3.40,"48,963",3.33,"18,704",3.65,"30,259",3.14,"1,085",-1.36,56,-25.33,"1,029",0.39
2008M10,"9,844",0.92,"3,421",-1.81,"6,423",2.44,"35,437",1.13,"12,532",-1.14,"22,905",2.42,"48,680",1.97,"18,589",2.04,"30,091",1.93,"1,092",-1.00,55,-17.91,"1,037",0.10
2008M11,"9,952",1.85,"3,499",0.32,"6,453",2.71,"35,790",1.84,"12,855",0.75,"22,935",2.47,"49,452",3.13,"19,146",4.52,"30,306",2.28,"1,076",-2.36,56,-24.32,"1,020",-0.78
2008M12,"9,962",1.65,"3,509",0.66,"6,453",2.20,"35,825",1.45,"12,923",0.89,"22,902",1.77,"49,404",2.08,"19,268",4.70,"30,136",0.48,"1,071",1.13,48,-21.31,"1,023",2.51
2009M01,"9,977",0.00,"3,539",0.00,"6,438",0.00,"35,836",0.00,"13,126",0.00,"22,710",0.00,"49,816",0.00,"19,884",0.00,"29,932",0.00,"1,025",0.00,38,0.00,987,0.00
2009M02,"9,757",-0.09,"3,527",1.38,"6,230",-0.91,"34,972",-0.27,"13,140",3.67,"21,832",-2.50,"49,164",3.23,"20,522",14.27,"28,642",-3.45,"1,039",-5.46,70,-14.63,969,-4.72
2009M03,"9,696",-0.78,"3,575",3.89,"6,121",-3.32,"34,863",-0.89,"13,395",6.89,"21,468",-5.20,"49,099",2.39,"20,897",16.40,"28,202",-5.99,992,-7.98,71,9.23,921,-9.08
2009M04,"9,641",-1.40,"3,594",3.22,"6,047",-3.95,"34,862",-0.74,"13,580",6.75,"21,282",-5.00,"50,347",4.48,"21,792",18.41,"28,555",-4.12,921,-11.87,58,13.73,863,-13.18
2009M05,"9,642",-1.93,"3,602",3.45,"6,040",-4.88,"34,917",-1.03,"13,660",6.98,"21,257",-5.57,"50,612",4.14,"22,117",18.41,"28,495",-4.76,899,-15.75,52,-3.70,847,-16.39
2009M06,"9,659",-2.36,"3,606",3.50,"6,053",-5.54,"35,033",-1.16,"13,703",6.93,"21,330",-5.74,"50,975",4.28,"22,408",19.42,"28,567",-5.15,884,-18.68,44,4.76,840,-19.62
2009M07,"9,553",-3.65,"3,508",0.43,"6,045",-5.87,"34,540",-2.81,"13,248",3.21,"21,292",-6.21,"50,308",2.13,"21,906",15.47,"28,402",-6.23,876,-17.36,36,-12.20,840,-17.57
2009M08,"13,834",40.63,"4,210",22.63,"9,624",50.28,"46,192",30.79,"21,142",67.75,"25,050",10.28,"57,670",17.50,"24,366",29.28,"33,304",10.15,"2,217",112.15,404,741.67,"1,813",81.85
2009M09,"13,831",40.66,"4,272",26.35,"9,559",48.16,"46,414",31.23,"21,519",73.74,"24,895",8.32,"58,179",18.82,"25,220",34.84,"32,959",8.92,"2,062",90.05,324,478.57,"1,738",68.90
2009M10,"14,144",43.68,"4,376",27.92,"9,768",52.08,"47,552",34.19,"21,987",75.45,"25,565",11.61,"59,762",22.76,"25,611",37.78,"34,151",13.49,"2,046",87.36,316,474.55,"1,730",66.83
2009M11,"14,174",42.42,"4,338",23.98,"9,836",52.43,"47,875",33.77,"22,068",71.67,"25,807",12.52,"60,271",21.88,"25,796",34.73,"34,475",13.76,"1,911",77.60,250,346.43,"1,661",62.84
2009M12,"14,218",42.72,"4,345",23.82,"9,873",53.00,"47,853",33.57,"22,076",70.83,"25,777",12.55,"60,137",21.72,"25,574",32.73,"34,563",14.69,"1,828",70.68,222,362.50,"1,606",56.99
2010M01,"14,090",41.22,"4,285",21.08,"9,805",52.30,"46,906",30.89,"21,153",61.15,"25,753",13.40,"57,493",15.41,"23,215",16.75,"34,278",14.52,"1,864",81.85,275,623.68,"1,589",60.99
2010M02,"14,165",45.18,"4,210",19.36,"9,955",59.79,"46,855",33.98,"20,705",57.57,"26,150",19.78,"58,697",19.39,"23,527",14.64,"35,170",22.79,"1,735",66.99,151,115.71,"1,584",63.47
2010M03,"14,157",46.01,"4,269",19.41,"9,888",61.54,"47,053",34.97,"21,030",57.00,"26,023",21.22,"59,176",20.52,"24,046",15.07,"35,130",24.57,"1,674",68.75,145,104.23,"1,529",66.02
2010M04,"14,272",48.03,"4,316",20.09,"9,956",64.64,"47,644",36.66,"21,480",58.17,"26,164",22.94,"60,657",20.48,"25,155",15.43,"35,502",24.33,"1,664",80.67,151,160.34,"1,513",75.32
2010M05,"14,382",49.16,"4,326",20.10,"10,056",66.49,"48,128",37.84,"21,662",58.58,"26,466",24.50,"61,744",21.99,"25,770",16.52,"35,974",26.25,"1,690",87.99,140,169.23,"1,550",83.00
2010M06,"14,394",49.02,"4,329",20.05,"10,065",66.28,"48,326",37.94,"21,738",58.64,"26,588",24.65,"62,401",22.41,"26,171",16.79,"36,230",26.82,"1,657",87.44,114,159.09,"1,543",83.69
2010M07,"14,402",50.76,"4,276",21.89,"10,126",67.51,"48,082",39.21,"21,428",61.75,"26,654",25.18,"62,555",24.34,"26,029",18.82,"36,526",28.60,"1,646",87.90,107,197.22,"1,539",83.21
2010M08,"14,481",4.68,"4,135",-1.78,"10,346",7.50,"47,985",3.88,"20,711",-2.04,"27,274",8.88,"62,908",9.08,"25,896",6.28,"37,012",11.13,"1,682",-24.13,99,-75.50,"1,583",-12.69
2010M09,"14,500",4.84,"4,232",-0.94,"10,268",7.42,"48,230",3.91,"21,108",-1.91,"27,122",8.95,"62,636",7.66,"25,632",1.63,"37,004",12.27,"1,677",-18.67,130,-59.88,"1,547",-10.99
2010M10,"14,585",3.12,"4,285",-2.08,"10,300",5.45,"48,783",2.59,"21,339",-2.95,"27,444",7.35,"62,678",4.88,"25,270",-1.33,"37,408",9.54,"1,682",-17.79,125,-60.44,"1,557",-10.00
2010M11,"14,715",3.82,"4,288",-1.15,"10,427",6.01,"49,289",2.95,"21,534",-2.42,"27,755",7.55,"63,728",5.74,"25,780",-0.06,"37,948",10.07,"1,657",-13.29,105,-58.00,"1,552",-6.56
2010M12,"14,773",3.90,"4,305",-0.92,"10,468",6.03,"49,638",3.73,"21,747",-1.49,"27,891",8.20,"64,785",7.73,"26,616",4.07,"38,169",10.43,"1,605",-12.20,79,-64.41,"1,526",-4.98
2011M01,"14,709",4.39,"4,294",0.21,"10,415",6.22,"48,992",4.45,"21,205",0.25,"27,787",7.90,"63,029",9.63,"25,445",9.61,"37,584",9.64,"1,683",-9.71,142,-48.36,"1,541",-3.02
2011M02,"14,783",4.36,"4,249",0.93,"10,534",5.82,"48,948",4.47,"20,903",0.96,"28,045",7.25,"63,953",8.95,"25,620",8.90,"38,333",8.99,"1,698",-2.13,124,-17.88,"1,574",-0.63
2011M03,"14,809",4.61,"4,320",1.19,"10,489",6.08,"49,164",4.49,"21,157",0.60,"28,007",7.62,"63,902",7.99,"25,537",6.20,"38,365",9.21,"1,664",-0.60,108,-25.52,"1,556",1.77
2011M04,"14,759",3.41,"4,250",-1.53,"10,509",5.55,"48,829",2.49,"20,806",-3.14,"28,023",7.11,"63,563",4.79,"25,006",-0.59,"38,557",8.61,"1,675",0.66,96,-36.42,"1,579",4.36
2011M05,"15,017",4.42,"4,319",-0.16,"10,698",6.38,"49,448",2.74,"20,990",-3.10,"28,458",7.53,"63,743",3.24,"24,497",-4.94,"39,246",9.10,"1,691",0.06,96,-31.43,"1,595",2.90
2011M06,"14,996",4.18,"4,320",-0.21,"10,676",6.07,"49,443",2.31,"20,987",-3.45,"28,456",7.03,"63,973",2.52,"24,526",-6.29,"39,447",8.88,"1,663",0.36,86,-24.56,"1,577",2.20
2011M07,"15,046",4.47,"4,211",-1.52,"10,835",7.00,"48,853",1.60,"20,402",-4.79,"28,451",6.74,"64,065",2.41,"24,633",-5.36,"39,432",7.96,"1,734",5.35,82,-23.36,"1,652",7.34
2011M08,"15,151",4.63,"4,121",-0.34,"11,030",6.61,"49,115",2.35,"19,969",-3.58,"29,146",6.86,"64,910",3.18,"24,816",-4.17,"40,094",8.33,"1,793",6.60,65,-34.34,"1,728",9.16
2011M09,"15,216",4.94,"4,264",0.76,"10,952",6.66,"49,663",2.97,"20,774",-1.58,"28,889",6.52,"66,739",6.55,"25,500",-0.51,"41,239",11.44,"1,711",2.03,65,-50.00,"1,646",6.40
2011M10,"15,302",4.92,"4,306",0.49,"10,996",6.76,"50,279",3.07,"21,103",-1.11,"29,176",6.31,"67,890",8.32,"25,898",2.49,"41,992",12.25,"1,626",-3.33,41,-67.20,"1,585",1.80
2011M11,"15,368",4.44,"4,321",0.77,"11,047",5.95,"50,564",2.59,"21,221",-1.45,"29,343",5.72,"68,248",7.09,"26,024",0.95,"42,224",11.27,"1,643",-0.84,35,-66.67,"1,608",3.61
2011M12,"15,416",4.35,"4,321",0.37,"11,095",5.99,"50,796",2.33,"21,346",-1.84,"29,450",5.59,"68,409",5.59,"26,085",-2.00,"42,324",10.89,"1,672",4.17,36,-54.43,"1,636",7.21
2012M01,"15,357",4.41,"4,316",0.51,"11,041",6.01,"50,663",3.41,"21,314",0.51,"29,349",5.62,"67,901",7.73,"26,188",2.92,"41,713",10.99,"1,660",-1.37,51,-64.08,"1,609",4.41
2012M02,"15,269",3.29,"4,251",0.05,"11,018",4.59,"49,831",1.80,"20,677",-1.08,"29,154",3.95,"67,580",5.67,"25,535",-0.33,"42,045",9.68,"1,603",-5.59,54,-56.45,"1,549",-1.59
2012M03,"15,375",3.82,"4,358",0.88,"11,017",5.03,"50,414",2.54,"21,188",0.15,"29,226",4.35,"68,403",7.04,"25,925",1.52,"42,478",10.72,"1,596",-4.09,62,-42.59,"1,534",-1.41
2012M04,"15,482",4.90,"4,342",2.16,"11,140",6.00,"50,782",4.00,"21,183",1.81,"29,599",5.62,"69,049",8.63,"26,065",4.23,"42,984",11.48,"1,619",-3.34,56,-41.67,"1,563",-1.01
2012M05,"15,506",3.26,"4,361",0.97,"11,145",4.18,"50,862",2.86,"21,281",1.39,"29,581",3.95,"69,365",8.82,"26,233",7.09,"43,132",9.90,"1,594",-5.74,43,-55.21,"1,551",-2.76
2012M06,"15,594",3.99,"4,353",0.76,"11,241",5.29,"50,870",2.89,"21,099",0.53,"29,771",4.62,"69,556",8.73,"25,873",5.49,"43,683",10.74,"1,605",-3.49,48,-44.19,"1,557",-1.27
2012M07,"15,503",3.04,"4,212",0.02,"11,291",4.21,"50,145",2.64,"20,320",-0.40,"29,825",4.83,"69,077",7.82,"25,160",2.14,"43,917",11.37,"1,617",-6.75,39,-52.44,"1,578",-4.48
2012M08,"15,597",2.94,"4,111",-0.24,"11,486",4.13,"50,158",2.12,"19,812",-0.79,"30,346",4.12,"69,285",6.74,"24,989",0.70,"44,296",10.48,"1,683",-6.13,39,-40.00,"1,644",-4.86
2012M09,"15,686",3.09,"4,313",1.15,"11,373",3.84,"50,842",2.37,"20,758",-0.08,"30,084",4.14,"69,337",3.89,"25,351",-0.58,"43,986",6.66,"1,679",-1.87,75,15.38,"1,604",-2.55
2012M10,"15,814",3.35,"4,377",1.65,"11,437",4.01,"51,761",2.95,"21,203",0.47,"30,558",4.74,"70,097",3.25,"25,636",-1.01,"44,461",5.88,"1,684",3.57,82,100.00,"1,602",1.07
2012M11,"15,779",2.67,"4,397",1.76,"11,382",3.03,"51,817",2.48,"21,314",0.44,"30,503",3.95,"69,874",2.38,"25,625",-1.53,"44,249",4.80,"1,641",-0.12,71,102.86,"1,570",-2.36
2012M12,"15,776",2.34,"4,387",1.53,"11,389",2.65,"51,770",1.92,"21,322",-0.11,"30,448",3.39,"69,823",2.07,"25,528",-2.14,"44,295",4.66,"1,622",-2.99,56,55.56,"1,566",-4.28
2013M01,"15,729",2.42,"4,383",1.55,"11,346",2.76,"51,706",2.06,"21,306",-0.04,"30,400",3.58,"69,759",2.74,"25,446",-2.83,"44,313",6.23,"1,593",-4.04,49,-3.92,"1,544",-4.04
2013M02,"15,732",3.03,"4,262",0.26,"11,470",4.10,"51,140",2.63,"20,583",-0.45,"30,557",4.81,"69,678",3.10,"24,892",-2.52,"44,786",6.52,"1,589",-0.87,44,-18.52,"1,545",-0.26
2013M03,"15,744",2.40,"4,382",0.55,"11,362",3.13,"51,527",2.21,"21,221",0.16,"30,306",3.70,"69,883",2.16,"25,258",-2.57,"44,625",5.05,"1,541",-3.45,45,-27.42,"1,496",-2.48
2013M04,"15,810",2.12,"4,379",0.85,"11,431",2.61,"51,700",1.81,"21,253",0.33,"30,447",2.86,"70,194",1.66,"25,175",-3.41,"45,019",4.73,"1,546",-4.51,62,10.71,"1,484",-5.05
2013M05,"15,787",1.81,"4,389",0.64,"11,398",2.27,"51,598",1.45,"21,294",0.06,"30,304",2.44,"70,164",1.15,"25,345",-3.39,"44,819",3.91,"1,539",-3.45,53,23.26,"1,486",-4.19
2013M06,"15,770",1.13,"4,393",0.92,"11,377",1.21,"51,547",1.33,"21,266",0.79,"30,281",1.71,"70,410",1.23,"25,493",-1.47,"44,917",2.82,"1,508",-6.04,35,-27.08,"1,473",-5.39
2013M07,"15,757",1.64,"4,225",0.31,"11,532",2.13,"51,126",1.96,"20,518",0.97,"30,608",2.63,"70,550",2.13,"25,200",0.16,"45,350",3.26,"1,550",-4.14,30,-23.08,"1,520",-3.68
2013M08,"15,767",1.09,"4,111",0.00,"11,656",1.48,"50,860",1.40,"19,939",0.64,"30,921",1.89,"70,616",1.92,"25,024",0.14,"45,592",2.93,"1,598",-5.05,40,2.56,"1,558",-5.23
2013M09,"15,914",1.45,"4,327",0.32,"11,587",1.88,"51,551",1.39,"20,886",0.62,"30,665",1.93,"70,879",2.22,"25,476",0.49,"45,403",3.22,"1,537",-8.46,53,-29.33,"1,484",-7.48
2013M10,"16,017",1.28,"4,391",0.32,"11,626",1.65,"52,299",1.04,"21,331",0.60,"30,968",1.34,"71,853",2.51,"25,815",0.70,"46,038",3.55,"1,562",-7.24,49,-40.24,"1,513",-5.56
2013M11,"16,083",1.93,"4,406",0.20,"11,677",2.59,"52,523",1.36,"21,413",0.46,"31,110",1.99,"71,906",2.91,"25,845",0.86,"46,061",4.10,"1,534",-6.52,39,-45.07,"1,495",-4.78
2013M12,"16,116",2.16,"4,406",0.43,"11,710",2.82,"52,661",1.72,"21,444",0.57,"31,217",2.53,"72,132",3.31,"25,850",1.26,"46,282",4.49,"1,514",-6.66,25,-55.36,"1,489",-4.92
2014M01,"15,998",1.71,"4,391",0.18,"11,607",2.30,"52,700",1.92,"21,382",0.36,"31,318",3.02,"71,359",2.29,"25,363",-0.33,"45,996",3.80,"1,532",-3.83,51,4.08,"1,481",-4.08
2014M02,"15,906",1.11,"4,262",0.00,"11,644",1.52,"51,875",1.44,"20,670",0.42,"31,205",2.12,"71,440",2.53,"25,244",1.41,"46,196",3.15,"1,534",-3.46,37,-15.91,"1,497",-3.11
2014M03,"15,987",1.54,"4,386",0.09,"11,601",2.10,"52,414",1.72,"21,295",0.35,"31,119",2.68,"71,817",2.77,"25,509",0.99,"46,308",3.77,"1,510",-2.01,39,-13.33,"1,471",-1.67
2014M04,"16,143",2.11,"4,394",0.34,"11,749",2.78,"52,835",2.20,"21,393",0.66,"31,442",3.27,"72,496",3.28,"25,715",2.14,"46,781",3.91,"1,547",0.06,41,-33.87,"1,506",1.48
2014M05,"16,074",1.82,"4,386",-0.07,"11,688",2.54,"52,792",2.31,"21,450",0.73,"31,342",3.43,"72,650",3.54,"25,813",1.85,"46,837",4.50,"1,539",0.00,41,-22.64,"1,498",0.81
2014M06,"16,110",2.16,"4,392",-0.02,"11,718",3.00,"52,863",2.55,"21,440",0.82,"31,423",3.77,"72,735",3.30,"25,911",1.64,"46,824",4.25,"1,562",3.58,46,31.43,"1,516",2.92
