期間,存款--收受部門--存款貨幣機構,存款--存款部門--其他金融機構,融通--授信部門--存款貨幣機構,融通--受信部門--其他金融機構
1982,"76,348","76,348","9,941","9,941"
1983,"148,147","148,147","11,299","11,299"
1984,"220,415","220,415","16,244","16,244"
1985,"297,974","297,974","43,171","43,171"
1986,"339,476","339,476","36,998","36,998"
1987,"368,544","368,544","35,053","35,053"
1988,"357,417","357,417","37,964","37,964"
1989,"271,543","271,543","57,685","57,685"
1990,"306,052","306,052","44,863","44,863"
1991,"361,943","361,943","42,487","42,487"
1992,"491,541","491,541","42,764","42,764"
1993,"637,982","637,982","39,098","39,098"
1994,"838,463","838,463","34,207","34,207"
1995,"1,069,897","1,069,897","47,584","47,584"
1996,"1,206,998","1,206,998","78,207","78,207"
1997,"1,363,179","1,363,179","68,874","68,874"
1998,"1,470,950","1,470,950","94,118","94,118"
1999,"1,740,143","1,740,143","93,825","93,825"
2000,"1,831,696","1,831,696","117,339","117,339"
2001,"1,892,429","1,892,429","120,506","120,506"
2002,"1,682,382","1,682,382","107,328","107,328"
2003,"1,548,314","1,548,314","109,479","109,479"
2004,"1,487,979","1,487,979","92,288","92,288"
