期間,應提繳單位(家)_原始值,應提繳單位(家)_年增率(%),已繳納單位(家)_原始值,已繳納單位(家)_年增率(%),已繳率(%)_原始值,已繳率(%)_年增率(%),累計已繳納金額(千元)_原始值,累計已繳納金額(千元)_年增率(%),累計提繳本息(千元)_原始值,累計提繳本息(千元)_年增率(%),當期已墊付-事業單位(家)_原始值,當期已墊付-事業單位(家)_年增率(%),當期已墊付-人數(人)_原始值,當期已墊付-人數(人)_年增率(%),當期已墊付-金額(千元)_原始值,當期已墊付-金額(千元)_年增率(%),累計已墊付金額(千元)_原始值,累計已墊付金額(千元)_年增率(%),基金餘額(千元)_原始值,基金餘額(千元)_年增率(%)
1994M01,"167,255",...,"156,068",...,93.31,-,"1,714,170",...,"2,024,717",...,...,...,...,...,...,...,"31,717",...,"1,993,000",...
1994M02,"167,567",...,"156,082",...,93.15,-,"1,745,138",...,"2,064,984",...,...,...,...,...,...,...,"32,984",...,"2,032,000",...
1994M03,"168,497",...,"157,376",...,93.40,-,"1,776,137",...,"2,109,991",...,...,...,...,...,...,...,"32,991",...,"2,077,000",...
1994M04,"170,290",...,"157,958",...,92.76,-,"1,807,062",...,"2,209,991",...,...,...,...,...,...,...,"32,991",...,"2,177,000",...
1994M05,"171,257",...,"159,480",...,93.12,-,"1,838,233",...,"2,194,991",...,...,...,...,...,...,...,"32,991",...,"2,162,000",...
1994M06,"171,976",...,"160,115",...,93.10,-,"1,869,420",...,"2,231,775",...,...,...,...,...,...,...,"34,775",...,"2,197,000",...
1994M07,"172,786",...,"159,924",...,92.56,-,"1,901,098",...,"2,302,009",...,...,...,...,...,...,...,"35,009",...,"2,267,000",...
1994M08,"173,566",...,"160,602",...,92.53,-,"1,933,290",...,"2,344,263",...,...,...,...,...,...,...,"35,263",...,"2,309,000",...
1994M09,"174,245",...,"162,241",...,93.11,-,"1,966,177",...,"2,382,285",...,...,...,...,...,...,...,"35,285",...,"2,347,000",...
1994M10,"174,878",...,"163,183",...,93.35,-,"1,999,291",...,"2,425,285",...,...,...,...,...,...,...,"35,285",...,"2,390,000",...
1994M11,"175,653",...,"161,986",...,92.22,-,"2,032,200",...,"2,468,285",...,...,...,...,...,...,...,"35,285",...,"2,433,000",...
1994M12,"175,921",...,"159,479",...,90.65,-,"2,065,187",...,"2,517,285",...,...,...,...,...,...,...,"35,285",...,"2,482,000",...
1995M01,"176,343",5.43,"162,525",4.14,92.16,-,"2,098,562",22.42,"2,565,362",26.70,...,...,...,...,...,...,"36,362",14.65,"2,529,000",26.89
1995M02,"176,613",5.40,"161,730",3.62,91.57,-,"2,131,956",22.17,"2,605,588",26.18,...,...,...,...,...,...,"36,588",10.93,"2,569,000",26.43
1995M03,"176,161",4.55,"162,199",3.06,92.07,-,"2,164,510",21.87,"2,660,611",26.10,...,...,...,...,...,...,"36,611",10.97,"2,624,000",26.34
1995M04,"175,846",3.26,"161,084",1.98,91.61,-,"2,196,416",21.55,"2,711,089",22.67,...,...,...,...,...,...,"41,089",24.55,"2,670,000",22.65
1995M05,"175,511",2.48,"160,440",0.60,91.41,-,"2,228,164",21.21,"2,753,089",25.43,...,...,...,...,...,...,"41,089",24.55,"2,712,000",25.44
1995M06,"174,861",1.68,"158,501",-1.01,90.64,-,"2,259,963",20.89,"2,801,841",25.54,...,...,...,...,...,...,"41,841",20.32,"2,760,000",25.63
1995M07,"173,980",0.69,"156,239",-2.30,89.80,-,"2,291,671",20.54,"2,859,152",24.20,...,...,...,...,...,...,"45,152",28.97,"2,814,000",24.13
1995M08,"173,456",-0.06,"154,424",-3.85,89.03,-,"2,323,482",20.18,"2,905,152",23.93,...,...,...,...,...,...,"45,152",28.04,"2,860,000",23.86
1995M09,"173,001",-0.71,"154,736",-4.63,89.44,-,"2,355,604",19.81,"2,946,177",23.67,...,...,...,...,...,...,"46,177",30.87,"2,900,000",23.56
1995M10,"172,454",-1.39,"153,230",-6.10,88.85,-,"2,387,573",19.42,"2,988,266",23.21,...,...,...,...,...,...,"47,266",33.95,"2,941,000",23.05
1995M11,"171,834",-2.17,"153,606",-5.17,89.39,-,"2,420,048",19.09,"3,051,266",23.62,...,...,...,...,...,...,"47,266",33.95,"3,004,000",23.47
1995M12,"171,158",-2.71,"150,364",-5.72,87.85,-,"2,451,970",18.73,"3,053,492",21.30,...,...,...,...,...,...,"49,492",40.26,"3,004,000",21.03
1996M01,"170,391",-3.38,"149,427",-8.06,87.70,-,"2,484,134",18.37,"3,147,492",22.69,...,...,...,...,...,...,"49,492",36.11,"3,098,000",22.50
1996M02,"169,778",-3.87,"151,402",-6.39,89.18,-,"2,516,587",18.04,"3,147,492",20.80,...,...,...,...,...,...,"49,492",35.27,"3,098,000",20.59
