期間,應提繳單位(家)_原始值,應提繳單位(家)_年增率(%),已繳納單位(家)_原始值,已繳納單位(家)_年增率(%),已繳率(%)_原始值,已繳率(%)_年增率(%),累計已繳納金額(千元)_原始值,累計已繳納金額(千元)_年增率(%),累計提繳本息(千元)_原始值,累計提繳本息(千元)_年增率(%),當期已墊付-事業單位(家)_原始值,當期已墊付-事業單位(家)_年增率(%),當期已墊付-人數(人)_原始值,當期已墊付-人數(人)_年增率(%),當期已墊付-金額(千元)_原始值,當期已墊付-金額(千元)_年增率(%),累計已墊付金額(千元)_原始值,累計已墊付金額(千元)_年增率(%),基金餘額(千元)_原始值,基金餘額(千元)_年增率(%)
1996M03,"169,094",-4.01,"152,179",-6.18,90.00,-,"2,516,627",16.27,"3,244,492",21.95,...,...,...,...,...,...,"49,492",35.18,"3,195,000",21.76
1996M04,"168,508",-4.17,"151,388",-6.02,89.84,-,"2,547,883",16.00,"3,283,442",21.11,...,...,...,...,...,...,"51,442",25.20,"3,232,000",21.05
1996M05,"167,837",-4.37,"151,074",-5.84,90.01,-,"2,611,519",17.20,"3,344,442",21.48,...,...,...,...,...,...,"51,442",25.20,"3,293,000",21.42
1996M06,"167,375",-4.28,"151,011",-4.73,90.22,-,"2,643,247",16.96,"3,381,532",20.69,...,...,...,...,...,...,"51,532",23.16,"3,330,000",20.65
1996M07,"167,144",-3.93,"150,453",-3.70,90.01,-,"2,659,694",16.06,"3,457,783",20.94,...,...,...,...,...,...,"108,783",140.93,"3,349,000",19.01
1996M08,"166,780",-3.85,"150,658",-2.44,90.33,-,"2,675,921",15.17,"3,493,733",20.26,...,...,...,...,...,...,"133,733",196.18,"3,360,000",17.48
1996M09,"166,508",-3.75,"151,816",-1.89,91.18,-,"2,692,173",14.29,"3,528,005",19.75,...,...,...,...,...,...,"134,005",190.20,"3,394,000",17.03
1996M10,"166,303",-3.57,"152,051",-0.77,91.43,-,"2,707,679",13.41,"3,561,867",19.20,...,...,...,...,...,...,"135,867",187.45,"3,426,000",16.49
1996M11,"165,911",-3.45,"152,619",-0.64,91.99,-,"2,724,245",12.57,"3,585,867",17.52,...,...,...,...,...,...,"135,867",187.45,"3,450,000",14.85
1996M12,"165,728",-3.17,"150,036",-0.22,90.53,-,"2,740,723",11.78,"3,631,891",18.94,...,...,...,...,...,...,"135,891",174.57,"3,496,000",16.38
1997M01,"165,258",-3.01,"151,260",1.23,91.53,-,"2,758,174",11.03,"3,666,286",16.48,...,...,...,...,...,...,"141,286",185.47,"3,525,000",13.78
1997M02,"164,724",-2.98,"152,246",0.56,92.42,-,"2,774,834",10.26,"3,690,027",17.24,...,...,...,...,...,...,"142,027",186.97,"3,548,000",14.53
1997M03,"164,531",-2.70,"152,383",0.13,92.62,-,"2,791,390",10.92,"3,733,036",15.06,...,...,...,...,...,...,"148,036",199.11,"3,585,000",12.21
1997M04,"164,202",-2.56,"150,572",-0.54,91.70,-,"2,808,188",10.22,"3,768,480",14.77,...,...,...,...,...,...,"162,480",215.85,"3,606,000",11.57
1997M05,"167,990",0.09,"155,928",3.21,92.82,-,"2,825,477",8.19,"3,799,480",13.61,...,...,...,...,...,...,"162,480",215.85,"3,637,000",10.45
1997M06,"167,929",0.33,"155,825",3.19,92.79,-,"2,842,665",7.54,"3,839,583",13.55,...,...,...,...,...,...,"163,583",217.44,"3,676,000",10.39
1997M07,"167,836",0.41,"154,864",2.93,92.27,-,"2,860,305",7.54,"3,870,583",11.94,...,...,...,...,...,...,"163,583",50.38,"3,707,000",10.69
1997M08,"168,065",0.77,"155,178",3.00,92.33,-,"2,880,026",7.63,"3,902,613",11.70,...,...,...,...,...,...,"163,613",22.34,"3,739,000",11.28
1997M09,"168,021",0.91,"156,043",2.78,92.87,-,"2,898,130",7.65,"3,947,866",11.90,...,...,...,...,...,...,"166,866",24.52,"3,781,000",11.40
1997M10,"168,141",1.11,"156,695",3.05,93.19,-,"2,916,784",7.72,"3,978,866",11.71,...,...,...,...,...,...,"166,866",22.82,"3,812,000",11.27
1997M11,"168,175",1.36,"155,806",2.09,92.65,-,"2,935,483",7.75,"4,022,232",12.17,...,...,...,...,...,...,"183,232",34.86,"3,839,000",11.28
1997M12,"167,869",1.29,"154,378",2.89,91.96,-,"2,954,861",7.81,"4,057,720",11.72,...,...,...,...,...,...,"260,720",91.86,"3,797,000",8.61
1998M01,"168,022",1.67,"156,597",3.53,93.20,-,"2,973,923",7.82,"4,085,720",11.44,...,...,...,...,...,...,"260,720",84.53,"3,825,000",8.51
1998M02,"167,948",1.96,"156,740",2.95,93.33,-,"2,992,685",7.85,"4,120,720",11.67,...,...,...,...,...,...,"260,720",83.57,"3,860,000",8.79
1998M03,"210,396",27.88,"197,458",29.58,93.85,-,"3,014,491",7.99,"4,167,126",11.63,...,...,...,...,...,...,"264,126",78.42,"3,903,000",8.87
1998M04,"238,062",44.98,"220,695",46.57,92.70,-,"3,038,457",8.20,"4,206,967",11.64,...,...,...,...,...,...,"266,967",64.31,"3,940,000",9.26
1998M05,"238,976",42.26,"224,338",43.87,93.87,-,"3,062,998",8.41,"4,246,967",11.78,...,...,...,...,...,...,"266,967",64.31,"3,980,000",9.43
1998M06,"239,392",42.56,"223,105",43.18,93.20,-,"3,087,335",8.61,"4,289,664",11.72,...,...,...,...,...,...,"267,664",63.63,"4,022,000",9.41
1998M07,"251,446",49.82,"235,504",52.07,93.66,-,"3,113,226",8.84,"4,345,765",12.28,...,...,...,...,...,...,"267,765",63.69,"4,078,000",10.01
1998M08,"252,510",50.25,"235,828",51.97,93.39,-,"3,139,706",9.02,"4,389,997",12.49,...,...,...,...,...,...,"269,997",65.02,"4,120,000",10.19
1998M09,"253,801",51.05,"238,864",53.08,94.11,-,"3,164,814",9.20,"4,433,631",12.30,...,...,...,...,...,...,"274,631",64.58,"4,159,000",10.00
1998M10,"254,543",51.39,"239,885",53.09,94.24,-,"3,190,217",9.37,"4,481,228",12.63,...,...,...,...,...,...,"277,228",66.14,"4,204,000",10.28
1998M11,"254,822",51.52,"240,454",54.33,94.36,-,"3,215,838",9.55,"4,526,695",12.54,...,...,...,...,...,...,"284,695",55.37,"4,242,000",10.50
1998M12,"255,144",51.99,"238,524",54.51,93.49,-,"3,241,292",9.69,"4,572,251",12.68,...,...,...,...,...,...,"295,251",13.24,"4,277,000",12.64
1999M01,"370,302",120.39,"349,263",123.03,94.32,-,"3,270,708",9.98,"4,603,537",12.67,...,...,...,...,...,...,"308,537",18.34,"4,295,000",12.29
1999M02,"359,390",113.99,"338,400",115.90,94.16,-,"3,300,109",10.27,"4,670,708",13.35,...,...,...,...,...,...,"325,708",24.93,"4,345,000",12.56
1999M03,"352,886",67.72,"332,802",68.54,94.31,-,"3,330,698",10.49,"4,698,736",12.76,...,...,...,...,...,...,"330,736",25.22,"4,368,000",11.91
1999M04,"354,242",48.80,"333,101",50.93,94.03,-,"3,351,948",10.32,"4,763,965",13.24,...,...,...,...,...,...,"336,965",26.22,"4,427,000",12.36
1999M05,"354,750",48.45,"335,328",49.47,94.53,-,"3,390,484",10.69,"4,814,890",13.37,...,...,...,...,...,...,"346,890",29.94,"4,468,000",12.26
1999M06,"355,315",48.42,"334,581",49.97,94.16,-,"3,420,571",10.79,"4,866,960",13.46,...,...,...,...,...,...,"356,960",33.36,"4,510,000",12.13
1999M07,"355,966",41.57,"332,276",41.09,93.34,-,"3,450,474",10.83,"4,912,679",13.05,...,...,...,...,...,...,"358,679",33.95,"4,554,000",11.67
1999M08,"356,578",41.21,"333,867",41.57,93.63,-,"3,481,115",10.87,"4,958,844",12.96,...,...,...,...,...,...,"360,844",33.65,"4,598,000",11.60
1999M09,"355,934",40.24,"333,993",39.83,93.84,-,"3,511,696",10.96,"5,016,043",13.14,...,...,...,...,...,...,"376,043",36.93,"4,640,000",11.57
1999M10,"356,731",40.15,"333,532",39.04,93.50,-,"3,542,395",11.04,"5,064,393",13.01,...,...,...,...,...,...,"376,393",35.77,"4,688,000",11.51
1999M11,"357,238",40.19,"334,811",39.24,93.72,-,"3,573,315",11.12,"5,113,475",12.96,...,...,...,...,...,...,"382,475",34.35,"4,731,000",11.53
1999M12,"357,278",40.03,"332,461",39.38,93.05,-,"3,604,279",11.20,"5,160,874",12.87,...,...,...,...,...,...,"408,874",38.48,"4,752,000",11.11
2000M01,"357,825",-3.37,"334,655",-4.18,93.52,-,"3,635,763",11.16,"5,210,745",13.19,...,...,...,...,...,...,"415,745",34.75,"4,795,000",11.64
2000M02,"357,303",-0.58,"335,725",-0.79,93.96,-,"3,667,139",11.12,"5,252,942",12.47,...,...,...,...,...,...,"417,942",28.32,"4,835,000",11.28
2000M03,"358,340",1.55,"335,065",0.68,93.50,-,"3,698,683",11.05,"5,308,620",12.98,...,...,...,...,...,...,"450,620",36.25,"4,858,000",11.22
2000M04,"358,912",1.32,"336,475",1.01,93.75,-,"3,730,336",11.29,"5,370,014",12.72,...,...,...,...,...,...,"468,014",38.89,"4,902,000",10.73
2000M05,"359,235",1.26,"336,912",0.47,93.79,-,"3,762,106",10.96,"5,416,296",12.49,...,...,...,...,...,...,"477,296",37.59,"4,939,000",10.54
2000M06,"359,665",1.22,"337,386",0.84,93.81,-,"3,796,899",11.00,"5,468,964",12.37,...,...,...,...,...,...,"508,964",42.58,"4,960,000",9.98
2000M07,"360,637",1.31,"337,406",1.54,93.56,-,"3,829,121",10.97,"5,479,268",11.53,...,...,...,...,...,...,"519,268",44.77,"4,960,000",8.92
2000M08,"360,917",1.22,"337,701",1.15,93.57,-,"3,861,692",10.93,"5,555,821",12.04,...,...,...,...,...,...,"565,821",56.80,"4,990,000",8.53
2000M09,"361,097",1.45,"337,927",1.18,93.58,-,"3,894,420",10.90,"5,624,364",12.13,...,...,...,...,...,...,"586,364",55.93,"5,038,000",8.58
2000M10,"361,858",1.44,"338,300",1.43,93.49,-,"3,927,326",10.87,"5,672,900",12.02,...,...,...,...,...,...,"586,900",55.93,"5,086,000",8.49
2000M11,"362,255",1.40,"336,115",0.39,92.78,-,"3,960,139",10.83,"5,724,462",11.95,...,...,...,...,...,...,"606,462",58.56,"5,118,000",8.18
2000M12,"362,702",1.52,"334,880",0.73,92.33,-,"3,993,355",10.79,"5,780,161",12.00,...,...,...,...,...,...,"622,161",52.16,"5,158,000",8.54
2001M01,"362,231",1.23,"336,413",0.53,92.87,-,"4,026,382",10.74,"5,826,773",11.82,...,...,...,...,...,...,"657,773",58.22,"5,169,000",7.80
2001M02,"361,972",1.31,"334,752",-0.29,92.48,-,"4,026,076",9.79,"5,860,001",11.56,...,...,...,...,...,...,"662,001",58.40,"5,198,000",7.51
2001M03,"361,750",0.95,"335,319",0.08,92.69,-,"4,091,945",10.63,"5,943,880",11.97,...,...,...,...,...,...,"691,880",53.54,"5,252,000",8.11
2001M04,"362,098",0.89,"334,364",-0.63,92.34,-,"4,124,536",10.57,"5,990,992",11.56,...,...,...,...,...,...,"692,992",48.07,"5,298,000",8.08
2001M05,"361,561",0.65,"332,884",-1.20,92.07,-,"4,157,111",10.50,"6,040,490",11.52,...,...,...,...,...,...,"696,490",45.92,"5,344,000",8.20
2001M06,"362,070",0.67,"334,079",-0.98,92.27,-,"4,190,101",10.36,"6,092,734",11.41,...,...,...,...,...,...,"775,734",52.41,"5,317,000",7.20
2001M07,"362,175",0.43,"329,204",-2.43,90.90,-,"4,222,604",10.28,"6,160,483",12.43,...,...,...,...,...,...,"787,483",51.65,"5,373,000",8.33
2001M08,"362,026",0.31,"332,504",-1.54,91.85,-,"4,254,686",10.18,"6,189,039",11.40,...,...,...,...,...,...,"818,039",44.58,"5,371,000",7.64
2001M09,"361,797",0.19,"333,500",-1.31,92.18,-,"4,288,437",10.12,"6,245,225",11.04,...,...,...,...,...,...,"846,951",44.44,"5,398,274",7.15
2001M10,"361,314",-0.15,"332,654",-1.67,92.07,-,"4,320,929",10.02,"6,289,701",10.87,...,...,...,...,...,...,"848,172",44.52,"5,441,528",6.99
2001M11,"361,213",-0.29,"334,467",-0.49,92.60,-,"4,353,319",9.93,"6,336,859",10.70,...,...,...,...,...,...,"885,744",46.05,"5,451,115",6.51
2001M12,"360,800",-0.52,"327,992",-2.06,90.91,-,"4,385,679",9.82,"6,381,640",10.41,...,...,...,...,...,...,"909,316",46.15,"5,472,324",6.09
2002M01,"360,441",-0.49,"332,247",-1.24,92.18,-,"4,417,945",9.72,"6,392,866",9.72,...,...,...,...,...,...,"971,259",47.66,"5,421,606",4.89
2002M02,"360,417",-0.43,"332,960",-0.54,92.38,-,"4,451,514",10.57,"6,470,909",10.43,...,...,...,...,...,...,"1,044,861",57.83,"5,426,048",4.39
2002M03,"359,964",-0.49,"332,733",-0.77,92.44,-,"4,483,533",9.57,"6,510,867",9.54,...,...,...,...,...,...,"1,069,097",54.52,"5,441,770",3.61
2002M04,"360,325",-0.49,"332,264",-0.63,92.21,-,"4,515,661",9.48,"6,555,920",9.43,...,...,...,...,...,...,"1,128,257",62.81,"5,427,662",2.45
2002M05,"360,843",-0.20,"333,781",0.27,92.50,-,"4,547,908",9.40,"6,599,736",9.26,...,...,...,...,...,...,"1,180,128",69.44,"5,419,608",1.41
2002M06,"361,334",-0.20,"333,661",-0.13,92.34,-,"4,580,371",9.31,"6,643,733",9.04,...,...,...,...,...,...,"1,188,064",53.15,"5,455,669",2.61
2002M07,"361,436",-0.20,"329,632",0.13,91.20,-,"4,612,481",9.23,"6,688,435",8.57,...,...,...,...,...,...,"1,191,785",51.34,"5,496,650",2.30
2002M08,"361,658",-0.10,"333,449",0.28,92.20,-,"4,644,984",9.17,"6,722,564",8.62,...,...,...,...,...,...,"1,221,637",49.34,"5,500,927",2.42
2002M09,"364,737",0.81,"336,822",1.00,92.35,-,"4,677,904",9.08,"6,766,271",8.34,...,...,...,...,...,...,"1,263,729",49.21,"5,502,542",1.93
2002M10,"365,452",1.15,"337,746",1.53,92.42,-,"4,710,964",9.03,"6,807,298",8.23,...,...,...,...,...,...,"1,316,015",55.16,"5,491,284",0.91
2002M11,"363,793",0.71,"336,760",0.69,92.57,-,"4,743,656",8.97,"6,846,354",8.04,...,...,...,...,...,...,"1,345,865",51.95,"5,500,489",0.91
2002M12,"363,578",0.77,"333,678",1.73,91.78,-,"4,776,619",8.91,"6,883,275",7.86,...,...,...,...,...,...,"1,371,153",50.79,"5,512,121",0.73
2003M01,"364,079",1.01,"337,098",1.46,92.59,-,"4,809,802",8.87,"6,926,906",8.35,7,...,175,...,"8,478",...,"1,379,631",42.05,"5,547,275",2.32
2003M02,"364,555",1.15,"337,652",1.41,92.62,-,"4,842,851",8.79,"6,958,520",7.54,7,...,363,...,"25,250",...,"1,404,881",34.46,"5,553,639",2.35
2003M03,"365,345",1.49,"339,009",1.89,92.79,-,"4,878,050",8.80,"6,985,101",7.28,12,...,"1,179",...,"52,491",...,"1,457,372",36.32,"5,527,729",1.58
2003M04,"366,141",1.61,"338,955",2.01,92.57,-,"4,911,311",8.76,"7,031,071",7.25,14,...,"1,087",...,"83,287",...,"1,540,659",36.55,"5,490,412",1.16
2003M05,"367,270",1.78,"341,338",2.26,92.94,-,"4,944,854",8.73,"7,079,773",7.27,14,...,489,...,"28,492",...,"1,569,151",32.96,"5,510,623",1.68
2003M06,"368,097",1.87,"342,048",2.51,92.92,-,"4,978,342",8.69,"7,119,605",7.16,5,...,273,...,"21,562",...,"1,590,713",33.89,"5,528,892",1.34
2003M07,"369,141",2.13,"342,644",3.95,92.82,-,"5,012,012",8.66,"7,162,879",7.09,10,...,270,...,"26,271",...,"1,616,984",35.68,"5,545,895",0.90
2003M08,"370,071",2.33,"344,371",3.28,93.06,-,"5,045,827",8.63,"7,197,622",7.07,5,...,143,...,"15,688",...,"1,632,672",33.65,"5,564,950",1.16
2003M09,"370,962",1.71,"345,267",2.51,93.07,-,"5,079,556",8.59,"7,240,428",7.01,4,...,270,...,"12,336",...,"1,645,008",30.17,"5,595,421",1.69
2003M10,"372,121",1.82,"346,713",2.65,93.17,-,"5,113,705",8.55,"7,274,790",6.87,2,...,95,...,"9,255",...,"1,654,263",25.70,"5,620,527",2.35
2003M11,"374,055",2.82,"346,221",2.81,92.56,-,"5,147,868",8.52,"7,311,690",6.80,5,...,422,...,"30,490",...,"1,684,754",25.18,"5,626,936",2.30
2003M12,"377,116",3.72,"350,357",5.00,92.90,-,"5,182,478",8.50,"7,349,473",6.77,2,...,494,...,"18,980",...,"1,703,734",24.26,"5,645,739",2.42
2004M01,"377,795",3.77,"352,454",4.56,93.29,-,"4,809,802",0.00,"7,386,492",6.63,1,-85.71,24,-86.29,"1,120",-86.79,"1,704,854",23.57,"5,681,637",2.42
2004M02,"379,268",4.04,"354,489",4.99,93.47,-,"5,251,747",8.44,"7,423,635",6.68,5,-28.57,165,-54.55,"5,652",-77.62,"1,710,506",21.75,"5,713,129",2.87
2004M03,"380,675",4.20,"354,932",4.70,93.24,-,"5,286,490",8.37,"7,257,746",3.90,4,-66.67,291,-75.32,"19,510",-62.83,"1,730,016",18.71,"5,527,729",0.00
2004M04,"382,171",4.38,"356,420",5.15,93.26,-,"5,322,620",8.37,"7,527,057",7.05,7,-50.00,258,-76.26,"20,153",-75.80,"1,750,169",13.60,"5,776,888",5.22
2004M05,"383,478",4.41,"357,665",4.78,93.27,-,"5,357,775",8.35,"7,565,399",6.86,4,-71.43,70,-85.69,"6,755",-76.29,"1,756,925",11.97,"5,808,474",5.41
2004M06,"384,525",4.46,"358,181",4.72,93.15,-,"5,393,280",8.33,"7,604,908",6.82,5,0.00,318,16.48,"23,390",8.48,"1,780,315",11.92,"5,824,593",5.35
2004M07,"386,062",4.58,"359,578",4.94,93.14,-,"5,429,150",8.32,"7,643,785",6.71,2,-80.00,115,-57.41,"10,285",-60.85,"1,790,600",10.74,"5,853,185",5.54
2004M08,"387,338",4.67,"360,847",4.78,93.16,-,"5,465,163",8.31,"7,682,484",6.74,3,-40.00,57,-60.14,"2,846",-81.86,"1,793,446",9.85,"5,889,038",5.82
2004M09,"388,646",4.77,"363,575",5.30,93.55,-,"5,501,280",8.30,"7,721,081",6.64,4,0.00,194,-28.15,"19,030",54.26,"1,812,476",10.18,"5,908,606",5.60
2004M10,"390,272",4.88,"365,389",5.39,93.62,-,"5,537,646",8.29,"7,761,740",6.69,6,200.00,164,72.63,"11,925",28.85,"1,824,401",10.28,"5,937,339",5.64
2004M11,"390,163",4.31,"365,694",5.62,93.73,-,"5,573,893",8.28,"7,791,518",6.56,8,60.00,97,-77.01,"8,341",-72.64,"1,832,742",8.78,"5,958,776",5.90
2004M12,"390,896",3.65,"360,640",2.94,92.26,-,"5,609,767",8.24,"7,833,941",6.59,4,100.00,50,-89.88,"3,104",-83.65,"1,835,846",7.75,"5,998,095",6.24
2005M01,"391,888",3.73,"367,899",4.38,93.88,-,"5,646,436",17.39,"7,865,540",6.49,5,400.00,131,445.83,"13,444","1,100.36","1,849,291",8.47,"6,016,249",5.89
2005M02,"392,846",3.58,"367,850",3.77,93.64,-,"5,682,422",8.20,"7,879,330",6.14,3,-40.00,67,-59.39,"1,941",-65.66,"1,851,231",8.23,"6,028,099",5.51
2005M03,"393,327",3.32,"368,080",3.70,93.58,-,"5,718,875",8.18,"7,948,693",9.52,6,50.00,353,21.31,"19,384",-0.65,"1,870,615",8.13,"6,078,077",9.96
2005M04,"394,342",3.18,"368,805",3.47,93.52,-,"5,757,664",8.17,"7,995,215",6.22,3,-57.14,234,-9.30,"9,174",-54.48,"1,879,789",7.41,"6,115,426",5.86
2005M05,"394,754",2.94,"369,188",3.22,93.52,-,"5,793,873",8.14,"8,039,794",6.27,3,-25.00,28,-60.00,"1,950",-71.13,"1,881,740",7.10,"6,158,054",6.02
2005M06,"392,745",2.14,"367,438",2.58,93.56,-,"5,830,859",8.11,"8,084,049",6.30,3,-40.00,42,-86.79,"3,629",-84.48,"1,885,369",5.90,"6,198,680",6.42
2005M07,"399,508",3.48,"374,529",4.16,93.75,-,"5,867,998",8.08,"8,131,604",6.38,5,150.00,592,414.78,"31,580",207.05,"1,916,949",7.06,"6,214,655",6.18
2005M08,"406,721",5.00,"380,725",5.51,93.61,-,"5,905,568",8.06,"8,177,591",6.44,4,33.33,161,182.46,"27,122",852.99,"1,944,070",8.40,"6,233,520",5.85
2005M09,"409,719",5.42,"384,144",5.66,93.76,-,"5,943,417",8.04,"8,219,250",6.45,7,75.00,836,330.93,"79,019",315.23,"2,023,090",11.62,"6,196,161",4.87
2005M10,"412,212",5.62,"386,036",5.65,93.65,-,"5,981,442",8.01,"8,297,734",6.91,4,-33.33,50,-69.51,"1,829",-84.66,"2,024,919",10.99,"6,272,815",5.65
2005M11,"414,417",6.22,"388,407",6.21,93.72,-,"6,019,490",7.99,"8,289,312",6.39,3,-62.50,45,-53.61,"4,893",-41.34,"2,029,812",10.75,"6,259,500",5.05
2005M12,"415,701",6.35,"387,234",7.37,93.15,-,"6,057,679",7.98,"8,365,261",6.78,3,-25.00,156,212.00,"21,099",579.74,"2,050,911",11.71,"6,314,350",5.27
2006M01,"417,342",6.50,"391,207",6.34,93.74,-,"6,095,955",7.96,"8,413,596",6.97,9,80.00,616,370.23,"34,371",155.66,"2,085,373",12.77,"6,328,223",5.19
2006M02,"418,621",6.56,"391,062",6.31,93.42,-,"6,134,062",7.95,"8,459,827",7.37,4,33.33,161,140.30,"10,478",439.82,"2,095,850",13.21,"6,363,977",5.57
2006M03,"420,158",6.82,"392,934",6.75,93.52,-,"6,174,537",7.97,"8,506,961",7.02,5,-16.67,907,156.94,"133,426",588.33,"2,229,276",19.17,"6,277,685",3.28
2006M04,"421,817",6.97,"395,296",7.18,93.71,-,"6,213,073",7.91,"8,545,482",6.88,5,66.67,108,-53.85,"6,584",-28.23,"2,235,769",18.94,"6,309,713",3.18
2006M05,"422,424",7.01,"394,558",6.87,93.40,-,"6,251,605",7.90,"8,598,218",6.95,7,133.33,136,385.71,"8,142",317.54,"2,243,912",19.25,"6,354,306",3.19
2006M06,"422,447",7.56,"395,890",7.74,93.71,-,"6,290,372",7.88,"8,661,252",7.14,11,266.67,224,433.33,"8,285",128.30,"2,252,196",19.46,"6,409,056",3.39
2006M07,"423,022",5.89,"395,702",5.65,93.54,-,"6,329,615",7.87,"8,708,716",7.10,7,40.00,479,-19.09,"18,426",-41.65,"2,270,622",18.45,"6,438,094",3.60
2006M08,"423,406",4.10,"395,558",3.90,93.42,-,"6,368,991",7.85,"8,733,506",6.80,10,150.00,266,65.22,"21,448",-20.92,"2,292,070",17.90,"6,441,436",3.34
2006M09,"424,105",3.51,"397,956",3.60,93.83,-,"6,408,584",7.83,"8,778,325",6.80,9,28.57,101,-87.92,"7,172",-90.92,"2,299,242",13.65,"6,479,083",4.57
2006M10,"424,617",3.01,"397,263",2.91,93.56,-,"6,448,224",7.80,"8,824,881",6.35,2,-50.00,184,268.00,"6,011",228.65,"2,305,253",13.84,"6,519,628",3.93
