期間,收受部門-保險公司及退休基金_原始值,收受部門-保險公司及退休基金_年增率(%),投保部門-家庭及非營利團體_原始值,投保部門-家庭及非營利團體_年增率(%)
2000,"2,492,372",...,"2,492,372",...
2001,"2,919,504",17.14,"2,919,504",17.14
2002,"3,494,402",19.69,"3,494,402",19.69
2003,"4,148,006",18.70,"4,148,006",18.70
2004,"4,873,543",17.49,"4,873,543",17.49
2005,"5,704,484",17.05,"5,704,484",17.05
2006,"6,434,160",12.79,"6,434,160",12.79
2007,"7,140,109",10.97,"7,140,109",10.97
2008,"7,842,007",9.83,"7,842,007",9.83
2009,"8,973,000",14.42,"8,973,000",14.42
2010,"10,224,292",13.95,"10,224,292",13.95
2011,"11,182,235",9.37,"11,182,235",9.37
2012,"12,547,269",12.21,"12,547,269",12.21
