期間,應提繳單位(家)_原始值,應提繳單位(家)_年增率(%),已繳納單位(家)_原始值,已繳納單位(家)_年增率(%),已繳率(%)_原始值,已繳率(%)_年增率(%),累計已繳納金額(千元)_原始值,累計已繳納金額(千元)_年增率(%),累計提繳本息(千元)_原始值,累計提繳本息(千元)_年增率(%),當期已墊付-事業單位(家)_原始值,當期已墊付-事業單位(家)_年增率(%),當期已墊付-人數(人)_原始值,當期已墊付-人數(人)_年增率(%),當期已墊付-金額(千元)_原始值,當期已墊付-金額(千元)_年增率(%),累計已墊付金額(千元)_原始值,累計已墊付金額(千元)_年增率(%),基金餘額(千元)_原始值,基金餘額(千元)_年增率(%)
1991,"141,848",...,"130,299",...,91.86,-,"1,028,767",...,"1,133,676",...,3,...,205,...,"4,136",...,"30,676",...,"1,103,000",...
1992,"156,101",10.05,"141,554",8.64,90.68,-,"1,332,073",29.48,"1,521,273",34.19,1,-66.67,59,-71.22,598,-85.54,"31,273",1.95,"1,490,000",35.09
1993,"166,465",6.64,"151,733",7.19,91.15,-,"1,682,788",26.33,"1,984,717",30.46,1,0.00,36,-38.98,444,-25.75,"31,717",1.42,"1,953,000",31.07
1994,"175,921",5.68,"159,479",5.11,90.65,-,"2,065,187",22.72,"2,517,285",26.83,2,100.00,328,811.11,"3,561",702.03,"35,285",11.25,"2,482,000",27.09
1995,"171,158",-2.71,"150,364",-5.72,87.85,-,"2,451,970",18.73,"3,053,492",21.30,7,250.00,503,53.35,"14,207",298.96,"49,492",40.26,"3,004,000",21.03
1996,"165,728",-3.17,"150,036",-0.22,90.53,-,"2,740,723",11.78,"3,631,891",18.94,4,-42.86,"1,521",202.39,"86,399",508.14,"135,891",174.57,"3,496,000",16.38
1997,"167,869",1.29,"154,378",2.89,91.96,-,"2,954,861",7.81,"4,057,720",11.72,17,325.00,"1,461",-3.94,"124,828",44.48,"260,720",91.86,"3,797,000",8.61
1998,"255,144",51.99,"238,524",54.51,93.49,-,"3,241,292",9.69,"4,572,251",12.68,16,-5.88,"1,179",-19.30,"34,531",-72.34,"295,251",13.24,"4,277,000",12.64
1999,"357,278",40.03,"332,461",39.38,93.05,-,"3,604,279",11.20,"5,160,874",12.87,22,37.50,"1,826",54.88,"113,624",229.05,"408,874",38.48,"4,752,000",11.11
2000,"362,702",1.52,"334,880",0.73,92.33,-,"3,993,355",10.79,"5,780,161",12.00,43,95.45,"3,010",64.84,"213,287",87.71,"622,161",52.16,"5,158,000",8.54
2001,"360,800",-0.52,"327,992",-2.06,90.91,-,"4,385,679",9.82,"6,381,640",10.41,54,25.58,"3,327",10.53,"287,155",34.63,"909,316",46.15,"5,472,324",6.09
2002,"363,578",0.77,"333,678",1.73,91.78,-,"4,776,619",8.91,"6,883,275",7.86,112,107.41,"6,340",90.56,"461,837",60.83,"1,371,153",50.79,"5,512,121",0.73
2003,"377,116",3.72,"350,357",5.00,92.90,-,"5,182,478",8.50,"7,349,473",6.77,87,-22.32,"5,260",-17.03,"332,581",-27.99,"1,703,734",24.26,"5,645,739",2.42
2004,"390,896",3.65,"360,640",2.94,92.26,-,"5,609,767",8.24,"7,833,941",6.59,53,-39.08,"1,803",-65.72,"132,112",-60.28,"1,835,846",7.75,"5,998,095",6.24
2005,"415,701",6.35,"387,234",7.37,93.15,-,"6,057,679",7.98,"8,365,261",6.78,49,-7.55,"2,695",49.47,"215,065",62.79,"2,050,911",11.71,"6,314,350",5.27
2006,"425,116",2.26,"391,830",1.19,92.17,-,"6,527,151",7.75,"8,939,653",6.87,82,67.35,"3,523",30.72,"290,515",35.08,"2,341,426",14.17,"6,598,227",4.50
2007,"427,907",0.66,"412,684",5.32,96.44,-,"7,012,281",7.43,"9,585,498",7.22,132,60.98,"3,652",3.66,"303,319",4.41,"2,644,745",12.95,"6,940,754",5.19
2008,"428,396",0.11,"402,015",-2.59,93.84,-,"7,514,541",7.16,"10,181,033",6.21,145,9.85,"5,077",39.02,"280,438",-7.54,"2,925,183",10.60,"7,255,850",4.54
2009,"436,453",1.88,"405,744",0.93,92.96,-,"8,003,347",6.50,"10,584,361",3.96,202,39.31,"5,735",12.96,"541,009",92.92,"3,466,192",18.49,"7,118,169",-1.90
2010,"449,385",2.96,"423,152",4.29,94.16,-,"8,520,463",6.46,"11,177,136",5.60,123,-39.11,"1,682",-70.67,"116,232",-78.52,"3,582,424",3.35,"7,594,712",6.69
2011,"461,860",2.78,"438,106",3.53,94.86,-,"9,067,094",6.42,"11,870,878",6.21,92,-25.20,"1,020",-39.36,"66,235",-43.01,"3,648,658",1.85,"8,222,220",8.26
2012,"466,875",1.09,"440,611",0.57,94.37,-,"9,638,970",6.31,"12,747,956",7.39,108,17.39,"1,824",78.82,"191,253",188.75,"3,839,912",5.24,"8,908,044",8.34
2013,"474,917",1.72,"450,366",2.21,94.83,-,"10,228,177",6.11,"13,595,162",6.65,95,-12.04,"1,936",6.14,"149,556",-21.80,"3,989,468",3.89,"9,605,694",7.83
