期間,自來水水質_檢驗件數,自來水水質_檢驗不合格件數,自來水水質_檢驗項次數,自來水水質_檢驗不合格項次數,簡易自來水水質_檢驗件數,簡易自來水水質_檢驗不合格件數,簡易自來水水質_檢驗項次數,簡易自來水水質_檢驗不合格項次數
2001,"11,602",103,"102,302",115,0,0,0,0
2002,"10,912",36,"97,726",38,0,0,0,0
2003,"12,376",58,"108,580",82,0,0,0,0
2004,"12,764",59,"110,321",84,0,0,0,0
2005,"10,259",26,"100,973",31,373,52,"3,968",78
2006,"10,087",48,"100,268",61,377,77,"3,939",124
2007,"9,888",42,"100,870",52,264,25,"2,521",31
2008,"9,943",65,"99,442",84,253,14,"2,598",14
2009,"11,127",41,"105,652",48,314,7,"3,092",13
2010,"11,086",31,"109,182",37,328,16,"3,607",23
2011,"10,673",36,"95,700",42,273,0,"2,992",0
2012,"10,442",28,"93,565",40,260,0,"1,846",0
2013,"10,543",15,"93,754",17,236,0,"1,937",0
